"id","confidence","support","class_suppport","var_length","levels_length","var_nbr_scaled","levels_nbr_scaled","cond","Ypred","var_used"
1,1,0.193877551020408,0.562130177514793,2,11,0.285714285714286,0.229166666666667,"X[,2] %in% c('5','7','8','10') & X[,7] %in% c('4','5','6','7','8','9','10')","'4'","V2,V7"
2,0.75,0.0163265306122449,0.0473372781065089,3,13,0.428571428571429,0.270833333333333,"X[,3] %in% c('5','6','7','9','10') & X[,7] %in% c('1','2','3') & X[,8] %in% c('1','2','3','6','7')","'4'","V3,V7,V8"
3,1,0.00204081632653061,0.00311526479750779,3,9,0.428571428571429,0.1875,"X[,2] %in% c('7') & X[,7] %in% c('1','2','3') & X[,8] %in% c('4','5','8','9','10')","'2'","V2,V7,V8"
4,0.6,0.0204081632653061,0.0311526479750779,3,15,0.428571428571429,0.3125,"X[,2] %in% c('1','2','3','4','6','9') & X[,3] %in% c('1','7') & X[,7] %in% c('4','5','6','7','8','9','10')","'2'","V2,V3,V7"
5,0.714285714285714,0.0142857142857143,0.0414201183431953,4,17,0.571428571428571,0.354166666666667,"X[,1] %in% c('7','8','9','10') & X[,3] %in% c('1','2','3','4','8') & X[,7] %in% c('1','2','3') & X[,8] %in% c('1','2','3','6','7')","'4'","V1,V3,V7,V8"
6,0.5,0.00816326530612245,0.0236686390532544,3,13,0.428571428571429,0.270833333333333,"X[,2] %in% c('1','2','3','4','5','6','8','9','10') & X[,7] %in% c('1','2','3') & X[,8] %in% c('5')","'4'","V2,V7,V8"
7,1,0.0224489795918367,0.0650887573964497,3,16,0.428571428571429,0.333333333333333,"X[,2] %in% c('1','2','3','4','5','6','8','9','10') & X[,7] %in% c('1','2','3') & X[,8] %in% c('4','8','9','10')","'4'","V2,V7,V8"
8,1,0.00204081632653061,0.00311526479750779,4,22,0.571428571428571,0.458333333333333,"X[,2] %in% c('1','2','3','4','6','9') & X[,3] %in% c('2','3','4','5','6','8','9','10') & X[,6] %in% c('7') & X[,7] %in% c('4','5','6','7','8','9','10')","'2'","V2,V3,V6,V7"
9,0.75,0.00816326530612245,0.0124610591900312,5,20,0.714285714285714,0.416666666666667,"X[,1] %in% c('1','2','3','4','5','6') & X[,3] %in% c('1','2','3','4','8') & X[,4] %in% c('4') & X[,7] %in% c('1','2','3') & X[,8] %in% c('1','2','3','6','7')","'2'","V1,V3,V4,V7,V8"
10,0.986754966887417,0.616326530612245,0.940809968847352,5,28,0.714285714285714,0.583333333333333,"X[,1] %in% c('1','2','3','4','5','6') & X[,3] %in% c('1','2','3','4','8') & X[,4] %in% c('1','2','3','5','6','7','8','9','10') & X[,7] %in% c('1','2','3') & X[,8] %in% c('1','2','3','6','7')","'2'","V1,V3,V4,V7,V8"
11,0.931034482758621,0.0591836734693878,0.171597633136095,4,28,0.571428571428571,0.583333333333333,"X[,2] %in% c('1','2','3','4','6','9') & X[,3] %in% c('2','3','6','8','9','10') & X[,6] %in% c('1','2','3','4','5','6','8','9','10') & X[,7] %in% c('4','5','6','7','8','9','10')","'4'","V2,V3,V6,V7"
