"id","confidence","support","class_suppport","var_length","levels_length","var_nbr_scaled","levels_nbr_scaled","cond","Ypred","var_used"
1,1,0.333333333333333,1,2,3,0.5,0.25,"X[,1] %in% c('(-Inf,4.95]','(4.95,5.89]') & X[,3] %in% c('(-Inf,2.5]')","'setosa'","V1,V3"
2,0.967741935483871,0.295238095238095,0.885714285714286,2,5,0.5,0.416666666666667,"X[,1] %in% c('(5.89,6.81]','(6.81, Inf]') & X[,4] %in% c('(-Inf,0.75]','(0.75,1.15]','(1.76, Inf]')","'virginica'","V1,V4"
3,0.5,0.019047619047619,0.0571428571428571,2,4,0.5,0.333333333333333,"X[,1] %in% c('(-Inf,4.95]') & X[,3] %in% c('(2.5,4.56]','(4.56,5.1]','(5.1, Inf]')","'virginica'","V1,V3"
4,1,0.00952380952380952,0.0285714285714286,2,3,0.5,0.25,"X[,1] %in% c('(6.81, Inf]') & X[,4] %in% c('(1.15,1.58]','(1.58,1.76]')","'versicolor'","V1,V4"
5,0.888888888888889,0.0857142857142857,0.257142857142857,3,5,0.75,0.416666666666667,"X[,1] %in% c('(4.95,5.89]') & X[,2] %in% c('(2.25,2.64]') & X[,3] %in% c('(2.5,4.56]','(4.56,5.1]','(5.1, Inf]')","'versicolor'","V1,V2,V3"
6,0.909090909090909,0.104761904761905,0.314285714285714,3,7,0.75,0.583333333333333,"X[,1] %in% c('(4.95,5.89]') & X[,2] %in% c('(-Inf,2.25]','(2.64,3.13]','(3.13, Inf]') & X[,3] %in% c('(2.5,4.56]','(4.56,5.1]','(5.1, Inf]')","'versicolor'","V1,V2,V3"
7,1,0.0857142857142857,0.257142857142857,3,4,0.75,0.333333333333333,"X[,1] %in% c('(5.89,6.81]') & X[,3] %in% c('(2.5,4.56]') & X[,4] %in% c('(1.15,1.58]','(1.58,1.76]')","'versicolor'","V1,V3,V4"
8,0.714285714285714,0.0666666666666667,0.2,3,6,0.75,0.5,"X[,1] %in% c('(5.89,6.81]') & X[,3] %in% c('(-Inf,2.5]','(4.56,5.1]','(5.1, Inf]') & X[,4] %in% c('(1.15,1.58]','(1.58,1.76]')","'versicolor'","V1,V3,V4"
9,1,0.333333333333333,1,1,1,0.25,0.0833333333333333,"X[,4] %in% c('(-Inf,0.75]')","'setosa'","V4"
10,1,0.171428571428571,0.514285714285714,3,6,0.75,0.5,"X[,1] %in% c('(4.95,5.89]') & X[,3] %in% c('(2.5,4.56]') & X[,4] %in% c('(0.75,1.15]','(1.15,1.58]','(1.58,1.76]','(1.76, Inf]')","'versicolor'","V1,V3,V4"
11,1,0.019047619047619,0.0571428571428571,3,8,0.75,0.666666666666667,"X[,1] %in% c('(4.95,5.89]') & X[,3] %in% c('(-Inf,2.5]','(4.56,5.1]','(5.1, Inf]') & X[,4] %in% c('(0.75,1.15]','(1.15,1.58]','(1.58,1.76]','(1.76, Inf]')","'virginica'","V1,V3,V4"
12,0.9375,0.304761904761905,0.914285714285714,2,5,0.5,0.416666666666667,"X[,1] %in% c('(-Inf,4.95]','(5.89,6.81]','(6.81, Inf]') & X[,4] %in% c('(0.75,1.15]','(1.76, Inf]')","'virginica'","V1,V4"
