"id","confidence","support","class_suppport","var_length","levels_length","var_nbr_scaled","levels_nbr_scaled","cond","Ypred","var_used"
1,0.5,0.0170940170940171,1,2,3,0.333333333333333,0.2,"X[,3] %in% c('(0.74, Inf]') & X[,6] %in% c('(0.564,0.805]','(0.805, Inf]')","'omL'","V3,V6"
2,0.904761904761905,0.0897435897435897,0.21,2,4,0.333333333333333,0.266666666666667,"X[,2] %in% c('(-Inf,0.334]','(0.511,0.772]','(0.772, Inf]') & X[,6] %in% c('(-Inf,0.334]')","'cp'","V2,V6"
3,1,0.0427350427350427,0.1,3,3,0.5,0.2,"X[,1] %in% c('(-Inf,0.261]') & X[,2] %in% c('(0.334,0.511]') & X[,6] %in% c('(-Inf,0.334]')","'cp'","V1,V2,V6"
4,0.75,0.0512820512820513,0.857142857142857,3,6,0.5,0.4,"X[,1] %in% c('(-Inf,0.261]','(0.644,0.885]','(0.885, Inf]') & X[,5] %in% c('(0.555,0.749]','(0.749, Inf]') & X[,6] %in% c('(0.334,0.564]')","'om'","V1,V5,V6"
5,1,0.0128205128205128,0.125,4,5,0.666666666666667,0.333333333333333,"X[,2] %in% c('(-Inf,0.334]') & X[,3] %in% c('(-Inf,0.74]') & X[,6] %in% c('(0.564,0.805]','(0.805, Inf]') & X[,7] %in% c('(0.624,0.815]')","'imU'","V2,V3,V6,V7"
6,1,0.0341880341880342,0.08,4,6,0.666666666666667,0.4,"X[,1] %in% c('(0.261,0.644]','(0.644,0.885]','(0.885, Inf]') & X[,2] %in% c('(0.334,0.511]') & X[,6] %in% c('(-Inf,0.334]') & X[,7] %in% c('(-Inf,0.305]')","'cp'","V1,V2,V6,V7"
7,0.958333333333333,0.102564102564103,0.24,4,8,0.666666666666667,0.533333333333333,"X[,1] %in% c('(0.261,0.644]','(0.644,0.885]','(0.885, Inf]') & X[,2] %in% c('(0.334,0.511]') & X[,6] %in% c('(-Inf,0.334]') & X[,7] %in% c('(0.305,0.624]','(0.624,0.815]','(0.815, Inf]')","'cp'","V1,V2,V6,V7"
8,1,0.0256410256410256,0.06,3,4,0.5,0.266666666666667,"X[,2] %in% c('(-Inf,0.334]') & X[,5] %in% c('(-Inf,0.199]','(0.199,0.555]') & X[,6] %in% c('(0.334,0.564]')","'cp'","V2,V5,V6"
9,0.592592592592593,0.115384615384615,0.75,3,4,0.5,0.266666666666667,"X[,2] %in% c('(0.511,0.772]') & X[,5] %in% c('(-Inf,0.199]','(0.199,0.555]') & X[,6] %in% c('(0.334,0.564]')","'pp'","V2,V5,V6"
10,1,0.0384615384615385,0.25,3,4,0.5,0.266666666666667,"X[,2] %in% c('(0.772, Inf]') & X[,5] %in% c('(-Inf,0.199]','(0.199,0.555]') & X[,6] %in% c('(0.334,0.564]')","'pp'","V2,V5,V6"
11,1,0.00427350427350427,0.0714285714285714,4,5,0.666666666666667,0.333333333333333,"X[,1] %in% c('(0.261,0.644]') & X[,5] %in% c('(0.555,0.749]','(0.749, Inf]') & X[,6] %in% c('(0.334,0.564]') & X[,7] %in% c('(-Inf,0.305]')","'om'","V1,V5,V6,V7"
12,0.666666666666667,0.0128205128205128,0.03,4,7,0.666666666666667,0.466666666666667,"X[,1] %in% c('(0.261,0.644]') & X[,5] %in% c('(0.555,0.749]','(0.749, Inf]') & X[,6] %in% c('(0.334,0.564]') & X[,7] %in% c('(0.305,0.624]','(0.624,0.815]','(0.815, Inf]')","'cp'","V1,V5,V6,V7"
13,0.659090909090909,0.188034188034188,0.814814814814815,5,9,0.833333333333333,0.6,"X[,2] %in% c('(0.334,0.511]','(0.511,0.772]','(0.772, Inf]') & X[,3] %in% c('(-Inf,0.74]') & X[,5] %in% c('(0.199,0.555]','(0.555,0.749]') & X[,6] %in% c('(0.564,0.805]','(0.805, Inf]') & X[,7] %in% c('(0.624,0.815]')","'im'","V2,V3,V5,V6,V7"
14,1,0.00427350427350427,0.0416666666666667,5,9,0.833333333333333,0.6,"X[,2] %in% c('(0.334,0.511]','(0.511,0.772]','(0.772, Inf]') & X[,3] %in% c('(-Inf,0.74]') & X[,5] %in% c('(-Inf,0.199]','(0.749, Inf]') & X[,6] %in% c('(0.564,0.805]','(0.805, Inf]') & X[,7] %in% c('(0.624,0.815]')","'imU'","V2,V3,V5,V6,V7"
15,1,0.0726495726495727,0.314814814814815,4,7,0.666666666666667,0.466666666666667,"X[,1] %in% c('(-Inf,0.261]','(0.261,0.644]') & X[,3] %in% c('(-Inf,0.74]') & X[,6] %in% c('(0.564,0.805]','(0.805, Inf]') & X[,7] %in% c('(0.305,0.624]','(0.815, Inf]')","'im'","V1,V3,V6,V7"
