"id","confidence","support","class_suppport","var_length","levels_length","var_nbr_scaled","levels_nbr_scaled","cond","Ypred","var_used"
1,0.857142857142857,0.0031616982836495,0.0660377358490566,4,8,0.666666666666667,0.571428571428571,"X[,1] %in% c('(-Inf,4.5]','(4.5,39.9]','(71.7, Inf]') & X[,7] %in% c('f') & X[,15] %in% c('(-Inf,0.025]','(0.025,21.4]') & X[,23] %in% c('(-Inf,0.7]','(0.7,55.2]')","'hypothyroid'","V1,V7,V15,V23"
2,0.916666666666667,0.016260162601626,0.339622641509434,4,7,0.666666666666667,0.5,"X[,7] %in% c('f') & X[,15] %in% c('(21.4,48]','(48,179]','(179, Inf]') & X[,21] %in% c('(1.03,1.62]') & X[,23] %in% c('(-Inf,0.7]','(0.7,55.2]')","'hypothyroid'","V7,V15,V21,V23"
3,1,0.0049683830171635,0.10377358490566,5,10,0.833333333333333,0.714285714285714,"X[,2] %in% c('M') & X[,7] %in% c('f') & X[,15] %in% c('(21.4,48]','(48,179]','(179, Inf]') & X[,21] %in% c('(-Inf,0.677]','(0.677,1.03]','(1.62, Inf]') & X[,23] %in% c('(-Inf,0.7]','(0.7,55.2]')","'hypothyroid'","V2,V7,V15,V21,V23"
4,1,0.219060523938573,0.230075901328273,4,5,0.666666666666667,0.357142857142857,"X[,3] %in% c('f') & X[,14] %in% c('y') & X[,15] %in% c('(-Inf,0.025]') & X[,23] %in% c('(67.1,356]','(356, Inf]')","'negative'","V3,V14,V15,V23"
5,0.956521739130435,0.0519421860885276,0.0545540796963947,3,8,0.5,0.571428571428571,"X[,1] %in% c('(71.7, Inf]') & X[,17] %in% c('(-Inf,0.24]','(1.75,6.15]','(6.15, Inf]') & X[,23] %in% c('(-Inf,0.7]','(0.7,55.2]','(67.1,356]','(356, Inf]')","'negative'","V1,V17,V23"
6,0.998201438848921,0.251129177958446,0.263757115749526,4,10,0.666666666666667,0.714285714285714,"X[,1] %in% c('(-Inf,4.5]','(4.5,39.9]','(39.9,71.7]') & X[,15] %in% c('(-Inf,0.025]','(21.4,48]','(48,179]','(179, Inf]') & X[,23] %in% c('(67.1,356]','(356, Inf]') & X[,24] %in% c('n')","'negative'","V1,V15,V23,V24"
7,1,0.003613369467028,0.0754716981132075,5,8,0.833333333333333,0.571428571428571,"X[,1] %in% c('(71.7, Inf]') & X[,11] %in% c('f') & X[,15] %in% c('(21.4,48]','(48,179]','(179, Inf]') & X[,17] %in% c('(0.24,1.75]') & X[,21] %in% c('(-Inf,0.677]','(1.03,1.62]')","'hypothyroid'","V1,V11,V15,V17,V21"
8,0.996960486322188,0.148599819331527,0.15607210626186,5,8,0.833333333333333,0.571428571428571,"X[,1] %in% c('(-Inf,4.5]','(4.5,39.9]','(39.9,71.7]') & X[,2] %in% c('M') & X[,15] %in% c('(0.025,21.4]') & X[,23] %in% c('(67.1,356]','(356, Inf]') & X[,24] %in% c('n')","'negative'","V1,V2,V15,V23,V24"
9,1,0.0040650406504065,0.0849056603773585,5,6,0.833333333333333,0.428571428571429,"X[,1] %in% c('(4.5,39.9]') & X[,5] %in% c('f') & X[,14] %in% c('y') & X[,15] %in% c('(21.4,48]') & X[,23] %in% c('(-Inf,0.7]','(0.7,55.2]')","'hypothyroid'","V1,V5,V14,V15,V23"
10,1,0.0609756097560976,0.0640417457305503,6,9,1,0.642857142857143,"X[,1] %in% c('(-Inf,4.5]','(4.5,39.9]','(39.9,71.7]') & X[,2] %in% c('F') & X[,15] %in% c('(0.025,21.4]') & X[,16] %in% c('n') & X[,23] %in% c('(67.1,356]','(356, Inf]') & X[,24] %in% c('n')","'negative'","V1,V2,V15,V16,V23,V24"
11,1,0.0031616982836495,0.0660377358490566,6,8,1,0.571428571428571,"X[,1] %in% c('(4.5,39.9]') & X[,2] %in% c('F') & X[,5] %in% c('f') & X[,14] %in% c('y') & X[,15] %in% c('(48,179]','(179, Inf]') & X[,23] %in% c('(-Inf,0.7]','(0.7,55.2]')","'hypothyroid'","V1,V2,V5,V14,V15,V23"
12,0.833333333333333,0.002710027100271,0.0566037735849057,4,9,0.666666666666667,0.642857142857143,"X[,7] %in% c('t') & X[,15] %in% c('(21.4,48]','(48,179]','(179, Inf]') & X[,17] %in% c('(-Inf,0.24]','(1.75,6.15]','(6.15, Inf]') & X[,19] %in% c('(-Inf,5.65]','(5.65,60.3]')","'hypothyroid'","V7,V15,V17,V19"
13,1,0.123757904245709,0.129981024667932,4,8,0.666666666666667,0.571428571428571,"X[,1] %in% c('(39.9,71.7]') & X[,19] %in% c('(60.3,236]','(236, Inf]') & X[,21] %in% c('(1.03,1.62]','(1.62, Inf]') & X[,23] %in% c('(-Inf,0.7]','(67.1,356]','(356, Inf]')","'negative'","V1,V19,V21,V23"
14,1,0.0822041553748871,0.0863377609108159,5,7,0.833333333333333,0.5,"X[,7] %in% c('f') & X[,16] %in% c('n') & X[,19] %in% c('(60.3,236]','(236, Inf]') & X[,21] %in% c('(-Inf,0.677]','(0.677,1.03]') & X[,22] %in% c('y')","'negative'","V7,V16,V19,V21,V22"
15,1,0.003613369467028,0.0754716981132075,5,9,0.833333333333333,0.642857142857143,"X[,7] %in% c('f') & X[,15] %in% c('(21.4,48]','(48,179]','(179, Inf]') & X[,17] %in% c('(-Inf,0.24]','(0.24,1.75]') & X[,19] %in% c('(-Inf,5.65]') & X[,23] %in% c('(-Inf,0.7]','(0.7,55.2]')","'hypothyroid'","V7,V15,V17,V19,V23"
16,1,0.0031616982836495,0.0660377358490566,6,11,1,0.785714285714286,"X[,7] %in% c('f') & X[,15] %in% c('(21.4,48]','(48,179]','(179, Inf]') & X[,17] %in% c('(1.75,6.15]','(6.15, Inf]') & X[,19] %in% c('(-Inf,5.65]','(5.65,60.3]') & X[,21] %in% c('(0.677,1.03]') & X[,23] %in% c('(-Inf,0.7]','(0.7,55.2]')","'hypothyroid'","V7,V15,V17,V19,V21,V23"
17,0.75,0.003613369467028,0.0754716981132075,6,13,1,0.928571428571429,"X[,7] %in% c('f') & X[,15] %in% c('(21.4,48]','(48,179]','(179, Inf]') & X[,17] %in% c('(1.75,6.15]','(6.15, Inf]') & X[,19] %in% c('(-Inf,5.65]','(5.65,60.3]') & X[,21] %in% c('(-Inf,0.677]','(1.03,1.62]','(1.62, Inf]') & X[,23] %in% c('(-Inf,0.7]','(0.7,55.2]')","'hypothyroid'","V7,V15,V17,V19,V21,V23"
18,1,0.002710027100271,0.0566037735849057,6,9,1,0.642857142857143,"X[,7] %in% c('f') & X[,8] %in% c('f') & X[,15] %in% c('(21.4,48]','(48,179]','(179, Inf]') & X[,17] %in% c('(-Inf,0.24]') & X[,19] %in% c('(5.65,60.3]') & X[,23] %in% c('(-Inf,0.7]','(0.7,55.2]')","'hypothyroid'","V7,V8,V15,V17,V19,V23"
19,1,0.0040650406504065,0.0849056603773585,2,4,0.333333333333333,0.285714285714286,"X[,15] %in% c('(21.4,48]','(48,179]','(179, Inf]') & X[,17] %in% c('(-Inf,0.24]')","'hypothyroid'","V15,V17"
20,0.9,0.004516711833785,0.0943396226415094,3,6,0.5,0.428571428571429,"X[,15] %in% c('(48,179]','(179, Inf]') & X[,17] %in% c('(1.75,6.15]','(6.15, Inf]') & X[,19] %in% c('(-Inf,5.65]','(5.65,60.3]')","'hypothyroid'","V15,V17,V19"
21,1,0.003613369467028,0.0754716981132075,4,6,0.666666666666667,0.428571428571429,"X[,15] %in% c('(21.4,48]') & X[,17] %in% c('(1.75,6.15]','(6.15, Inf]') & X[,19] %in% c('(-Inf,5.65]','(5.65,60.3]') & X[,21] %in% c('(0.677,1.03]')","'hypothyroid'","V15,V17,V19,V21"
22,1,0.0727190605239386,0.0763757115749526,5,9,0.833333333333333,0.642857142857143,"X[,3] %in% c('f') & X[,15] %in% c('(0.025,21.4]') & X[,19] %in% c('(60.3,236]','(236, Inf]') & X[,23] %in% c('(-Inf,0.7]','(55.2,67.1]','(67.1,356]','(356, Inf]') & X[,24] %in% c('y')","'negative'","V3,V15,V19,V23,V24"
23,1,0.0031616982836495,0.0660377358490566,5,8,0.833333333333333,0.571428571428571,"X[,2] %in% c('M') & X[,10] %in% c('f') & X[,15] %in% c('(21.4,48]','(48,179]','(179, Inf]') & X[,17] %in% c('(0.24,1.75]') & X[,21] %in% c('(1.03,1.62]','(1.62, Inf]')","'hypothyroid'","V2,V10,V15,V17,V21"
24,1,0.00767841011743451,0.160377358490566,6,9,1,0.642857142857143,"X[,6] %in% c('f') & X[,10] %in% c('f') & X[,15] %in% c('(21.4,48]','(48,179]','(179, Inf]') & X[,17] %in% c('(0.24,1.75]') & X[,21] %in% c('(-Inf,0.677]','(0.677,1.03]') & X[,23] %in% c('(0.7,55.2]')","'hypothyroid'","V6,V10,V15,V17,V21,V23"
25,0.9,0.00903342366757001,0.188679245283019,6,9,1,0.642857142857143,"X[,2] %in% c('F') & X[,3] %in% c('f') & X[,10] %in% c('f') & X[,15] %in% c('(21.4,48]','(48,179]','(179, Inf]') & X[,17] %in% c('(0.24,1.75]') & X[,21] %in% c('(1.03,1.62]','(1.62, Inf]')","'hypothyroid'","V2,V3,V10,V15,V17,V21"
26,1,0.0663956639566396,0.0697343453510436,4,4,0.666666666666667,0.285714285714286,"X[,10] %in% c('f') & X[,14] %in% c('y') & X[,15] %in% c('(-Inf,0.025]') & X[,21] %in% c('(1.03,1.62]')","'negative'","V10,V14,V15,V21"
27,0.997792494481236,0.204607046070461,0.214895635673624,4,8,0.666666666666667,0.571428571428571,"X[,7] %in% c('f') & X[,15] %in% c('(-Inf,0.025]') & X[,19] %in% c('(-Inf,5.65]','(60.3,236]','(236, Inf]') & X[,21] %in% c('(-Inf,0.677]','(0.677,1.03]','(1.62, Inf]')","'negative'","V7,V15,V19,V21"
28,1,0.117886178861789,0.123814041745731,5,9,0.833333333333333,0.642857142857143,"X[,7] %in% c('f') & X[,14] %in% c('n') & X[,15] %in% c('(0.025,21.4]') & X[,19] %in% c('(-Inf,5.65]','(60.3,236]','(236, Inf]') & X[,21] %in% c('(-Inf,0.677]','(0.677,1.03]','(1.62, Inf]')","'negative'","V7,V14,V15,V19,V21"
29,1,0.145889792231256,0.153225806451613,6,12,1,0.857142857142857,"X[,7] %in% c('f') & X[,14] %in% c('y') & X[,15] %in% c('(0.025,21.4]') & X[,17] %in% c('(-Inf,0.24]','(0.24,1.75]','(6.15, Inf]') & X[,19] %in% c('(-Inf,5.65]','(60.3,236]','(236, Inf]') & X[,21] %in% c('(-Inf,0.677]','(0.677,1.03]','(1.62, Inf]')","'negative'","V7,V14,V15,V17,V19,V21"
30,0.916666666666667,0.00542005420054201,0.113207547169811,6,8,1,0.571428571428571,"X[,4] %in% c('f') & X[,8] %in% c('f') & X[,10] %in% c('f') & X[,13] %in% c('f') & X[,19] %in% c('(-Inf,5.65]') & X[,21] %in% c('(0.677,1.03]','(1.03,1.62]','(1.62, Inf]')","'hypothyroid'","V4,V8,V10,V13,V19,V21"
31,1,0.142276422764228,0.149430740037951,2,3,0.333333333333333,0.214285714285714,"X[,3] %in% c('t') & X[,19] %in% c('(60.3,236]','(236, Inf]')","'negative'","V3,V19"
32,0.991228070175439,0.0514905149051491,0.0540796963946869,3,5,0.5,0.357142857142857,"X[,3] %in% c('f') & X[,8] %in% c('t') & X[,21] %in% c('(-Inf,0.677]','(0.677,1.03]','(1.62, Inf]')","'negative'","V3,V8,V21"
33,0.857142857142857,0.0031616982836495,0.0660377358490566,4,7,0.666666666666667,0.5,"X[,3] %in% c('t') & X[,13] %in% c('f') & X[,15] %in% c('(21.4,48]','(48,179]','(179, Inf]') & X[,19] %in% c('(-Inf,5.65]','(5.65,60.3]')","'hypothyroid'","V3,V13,V15,V19"
34,1,0.0560072267389341,0.0588235294117647,5,7,0.833333333333333,0.5,"X[,3] %in% c('f') & X[,8] %in% c('f') & X[,16] %in% c('n') & X[,20] %in% c('n') & X[,21] %in% c('(-Inf,0.677]','(0.677,1.03]','(1.62, Inf]')","'negative'","V3,V8,V16,V20,V21"
35,1,0.0569105691056911,0.0597722960151803,6,11,1,0.785714285714286,"X[,3] %in% c('f') & X[,8] %in% c('f') & X[,16] %in% c('n') & X[,20] %in% c('y') & X[,21] %in% c('(-Inf,0.677]','(0.677,1.03]','(1.62, Inf]') & X[,23] %in% c('(-Inf,0.7]','(55.2,67.1]','(67.1,356]','(356, Inf]')","'negative'","V3,V8,V16,V20,V21,V23"
36,0.75,0.003613369467028,0.0754716981132075,5,5,0.833333333333333,0.357142857142857,"X[,2] %in% c('F') & X[,8] %in% c('f') & X[,13] %in% c('f') & X[,17] %in% c('(-Inf,0.24]') & X[,19] %in% c('(5.65,60.3]')","'hypothyroid'","V2,V8,V13,V17,V19"
37,0.998927038626609,0.420957542908762,0.442125237191651,5,8,0.833333333333333,0.571428571428571,"X[,2] %in% c('F') & X[,6] %in% c('f') & X[,15] %in% c('(-Inf,0.025]','(0.025,21.4]') & X[,19] %in% c('(60.3,236]','(236, Inf]') & X[,21] %in% c('(-Inf,0.677]','(0.677,1.03]')","'negative'","V2,V6,V15,V19,V21"
38,1,0.288166214995483,0.302656546489564,2,5,0.333333333333333,0.357142857142857,"X[,15] %in% c('(-Inf,0.025]') & X[,23] %in% c('(0.7,55.2]','(55.2,67.1]','(67.1,356]','(356, Inf]')","'negative'","V15,V23"
39,0.8,0.004516711833785,0.0943396226415094,5,9,0.833333333333333,0.642857142857143,"X[,6] %in% c('f') & X[,7] %in% c('t') & X[,13] %in% c('f') & X[,15] %in% c('(21.4,48]','(48,179]','(179, Inf]') & X[,23] %in% c('(-Inf,0.7]','(0.7,55.2]','(55.2,67.1]')","'hypothyroid'","V6,V7,V13,V15,V23"
40,0.996865203761755,0.144083107497742,0.151328273244782,5,7,0.833333333333333,0.5,"X[,2] %in% c('M') & X[,13] %in% c('f') & X[,14] %in% c('y') & X[,15] %in% c('(0.025,21.4]') & X[,23] %in% c('(-Inf,0.7]','(67.1,356]','(356, Inf]')","'negative'","V2,V13,V14,V15,V23"
