"id","confidence","support","class_suppport","var_length","levels_length","var_nbr_scaled","levels_nbr_scaled","cond","Ypred","var_used"
1,1,0.0326633165829146,0.0878378378378378,2,4,0.333333333333333,0.19047619047619,"X[,1] %in% c('(-Inf,10.4]','(10.4,14.2]') & X[,28] %in% c('(0.165,0.175]','(0.175, Inf]')","'M'","V1,V28"
2,0.904761904761905,0.0527638190954774,0.084,4,9,0.666666666666667,0.428571428571429,"X[,1] %in% c('(14.2,17.2]','(17.2, Inf]') & X[,8] %in% c('(-Inf,0.0245]','(0.0245,0.049]','(0.0845, Inf]') & X[,19] %in% c('(0.0139,0.0223]','(0.0223,0.0275]') & X[,23] %in% c('(77.9,100]','(100,115]')","'B'","V1,V8,V19,V23"
3,1,0.278894472361809,0.75,2,5,0.333333333333333,0.238095238095238,"X[,8] %in% c('(-Inf,0.0245]','(0.049,0.0845]','(0.0845, Inf]') & X[,23] %in% c('(115,118]','(118, Inf]')","'M'","V8,V23"
4,0.992957746478873,0.35678391959799,0.568,4,9,0.666666666666667,0.428571428571429,"X[,7] %in% c('(-Inf,0.0802]') & X[,8] %in% c('(-Inf,0.0245]','(0.049,0.0845]') & X[,13] %in% c('(-Inf,1.26]','(1.26,2.93]','(2.93,6.25]') & X[,23] %in% c('(-Inf,77.9]','(77.9,100]','(100,115]')","'B'","V7,V8,V13,V23"
5,1,0.0527638190954774,0.084,4,12,0.666666666666667,0.571428571428571,"X[,2] %in% c('(-Inf,13.8]','(13.8,18.8]','(18.8,19.6]') & X[,7] %in% c('(0.0802,0.185]','(0.185,0.19]','(0.19, Inf]') & X[,23] %in% c('(-Inf,77.9]','(77.9,100]','(100,115]') & X[,28] %in% c('(-Inf,0.0825]','(0.0825,0.121]','(0.121,0.165]')","'B'","V2,V7,V23,V28"
6,0.972222222222222,0.0904522613065327,0.144,5,10,0.833333333333333,0.476190476190476,"X[,7] %in% c('(-Inf,0.0802]') & X[,8] %in% c('(0.0245,0.049]','(0.0845, Inf]') & X[,13] %in% c('(-Inf,1.26]','(1.26,2.93]','(2.93,6.25]') & X[,23] %in% c('(-Inf,77.9]','(77.9,100]','(100,115]') & X[,28] %in% c('(0.0825,0.121]')","'B'","V7,V8,V13,V23,V28"
7,0.989247311827957,0.233668341708543,0.628378378378378,3,9,0.5,0.428571428571429,"X[,16] %in% c('(-Inf,0.0105]','(0.0185,0.0467]','(0.0467,0.0481]','(0.0481, Inf]') & X[,21] %in% c('(15.4,18.1]','(18.1, Inf]') & X[,24] %in% c('(-Inf,449]','(449,717]','(946, Inf]')","'M'","V16,V21,V24"
8,1,0.0477386934673367,0.076,4,10,0.666666666666667,0.476190476190476,"X[,13] %in% c('(2.93,6.25]','(6.25, Inf]') & X[,21] %in% c('(-Inf,11.4]','(11.4,15.4]') & X[,25] %in% c('(-Inf,0.0945]','(0.0945,0.131]','(0.131,0.177]') & X[,26] %in% c('(0.0884,0.303]','(0.303,0.575]','(0.575, Inf]')","'B'","V13,V21,V25,V26"
9,1,0.0628140703517588,0.1,4,6,0.666666666666667,0.285714285714286,"X[,15] %in% c('(0.0035,0.0053]') & X[,21] %in% c('(15.4,18.1]','(18.1, Inf]') & X[,24] %in% c('(717,946]') & X[,25] %in% c('(-Inf,0.0945]','(0.0945,0.131]')","'B'","V15,V21,V24,V25"
10,1,0.0276381909547739,0.0743243243243243,4,7,0.666666666666667,0.333333333333333,"X[,12] %in% c('(0.458,1.13]') & X[,16] %in% c('(0.0105,0.0185]') & X[,21] %in% c('(15.4,18.1]','(18.1, Inf]') & X[,24] %in% c('(-Inf,449]','(449,717]','(946, Inf]')","'M'","V12,V16,V21,V24"
