"data","iter","id","confidence","support","class_suppport","var_length","levels_length","var_nbr_scaled","levels_nbr_scaled","cond","Ypred","var_used"
"Appendicitis",1,11,1,0.0810810810810811,0.101694915254237,4,11,0.666666666666667,0.611111111111111,"X[,1] %in% c('(0.157,0.41]','(0.41,0.942]','(0.942, Inf]') & X[,2] %in% c('(0.147,0.625]') & X[,5] %in% c('(0.007,0.0921]','(0.205,0.233]','(0.233, Inf]') & X[,6] %in% c('(-Inf,0.0645]','(0.408,0.736]','(0.736,0.744]','(0.744, Inf]')","'1'","V1,V2,V5,V6"
"Appendicitis",1,27,0.976744186046512,0.581081081081081,0.728813559322034,1,1,0.166666666666667,0.0555555555555556,"X[,3] %in% c('(0.351,0.861]')","'1'","V3"
"Appendicitis",1,146,1,0.027027027027027,0.133333333333333,5,11,0.833333333333333,0.611111111111111,"X[,1] %in% c('(-Inf,0.157]','(0.157,0.41]','(0.942, Inf]') & X[,2] %in% c('(0.147,0.625]') & X[,5] %in% c('(-Inf,0.007]','(0.007,0.0921]') & X[,6] %in% c('(-Inf,0.0645]','(0.0645,0.408]','(0.736,0.744]','(0.744, Inf]') & X[,7] %in% c('(0.105,0.384]')","'2'","V1,V2,V5,V6,V7"
"Appendicitis",1,225,1,0.108108108108108,0.135593220338983,4,12,0.666666666666667,0.666666666666667,"X[,1] %in% c('(-Inf,0.157]','(0.157,0.41]') & X[,5] %in% c('(0.0921,0.205]','(0.205,0.233]','(0.233, Inf]') & X[,6] %in% c('(-Inf,0.0645]','(0.0645,0.408]','(0.736,0.744]','(0.744, Inf]') & X[,7] %in% c('(0.105,0.384]','(0.384,0.918]','(0.918, Inf]')","'1'","V1,V5,V6,V7"
"Appendicitis",1,256,0.818181818181818,0.148648648648649,0.186440677966102,3,8,0.5,0.444444444444444,"X[,2] %in% c('(-Inf,0.147]','(0.625,0.864]','(0.864, Inf]') & X[,3] %in% c('(-Inf,0.0617]','(0.0617,0.351]','(0.861, Inf]') & X[,7] %in% c('(-Inf,0.105]','(0.105,0.384]')","'1'","V2,V3,V7"
"Appendicitis",1,297,1,0.027027027027027,0.133333333333333,5,11,0.833333333333333,0.611111111111111,"X[,2] %in% c('(0.147,0.625]') & X[,3] %in% c('(0.0617,0.351]') & X[,4] %in% c('(0.0862,0.324]','(0.445,0.64]','(0.64, Inf]') & X[,5] %in% c('(-Inf,0.007]','(0.0921,0.205]') & X[,6] %in% c('(-Inf,0.0645]','(0.408,0.736]','(0.736,0.744]','(0.744, Inf]')","'2'","V2,V3,V4,V5,V6"
"Appendicitis",1,304,1,0.108108108108108,0.533333333333333,3,9,0.5,0.5,"X[,4] %in% c('(-Inf,0.0862]','(0.0862,0.324]','(0.324,0.445]') & X[,6] %in% c('(0.0645,0.408]','(0.408,0.736]','(0.736,0.744]','(0.744, Inf]') & X[,7] %in% c('(-Inf,0.105]','(0.918, Inf]')","'2'","V4,V6,V7"
"Appendicitis",2,1,1,0.0945945945945946,0.466666666666667,2,3,0.333333333333333,0.1875,"X[,5] %in% c('(-Inf,0.007]','(0.007,0.0921]') & X[,6] %in% c('(0.0645,0.408]')","'2'","V5,V6"
"Appendicitis",2,46,0.947368421052632,0.513513513513513,0.644067796610169,3,8,0.5,0.5,"X[,5] %in% c('(-Inf,0.007]','(0.007,0.0921]','(0.0921,0.205]') & X[,6] %in% c('(-Inf,0.0645]','(0.408,0.736]','(0.744, Inf]') & X[,7] %in% c('(0.105,0.384]','(0.384,0.918]')","'1'","V5,V6,V7"
"Appendicitis",2,108,1,0.0945945945945946,0.466666666666667,3,9,0.5,0.5625,"X[,1] %in% c('(-Inf,0.157]','(0.942, Inf]') & X[,4] %in% c('(-Inf,0.0862]','(0.0862,0.324]','(0.324,0.445]') & X[,6] %in% c('(0.0645,0.408]','(0.408,0.736]','(0.736,0.744]','(0.744, Inf]')","'2'","V1,V4,V6"
"Appendicitis",2,122,1,0.189189189189189,0.23728813559322,3,7,0.5,0.4375,"X[,5] %in% c('(0.0921,0.205]','(0.233, Inf]') & X[,6] %in% c('(0.0645,0.408]','(0.408,0.736]') & X[,7] %in% c('(0.105,0.384]','(0.384,0.918]','(0.918, Inf]')","'1'","V5,V6,V7"
"Appendicitis",2,223,0.95,0.540540540540541,0.677966101694915,2,6,0.333333333333333,0.375,"X[,1] %in% c('(-Inf,0.157]','(0.157,0.41]','(0.41,0.942]') & X[,6] %in% c('(-Inf,0.0645]','(0.736,0.744]','(0.744, Inf]')","'1'","V1,V6"
"Appendicitis",3,19,1,0.432432432432432,0.542372881355932,3,9,0.5,0.529411764705882,"X[,1] %in% c('(-Inf,0.157]','(0.157,0.41]','(0.41,0.942]') & X[,6] %in% c('(-Inf,0.0645]','(0.736,0.744]','(0.744, Inf]') & X[,7] %in% c('(-Inf,0.105]','(0.384,0.918]','(0.918, Inf]')","'1'","V1,V6,V7"
"Appendicitis",3,85,0.971428571428571,0.472972972972973,0.593220338983051,2,4,0.333333333333333,0.235294117647059,"X[,5] %in% c('(0.0921,0.205]','(0.233, Inf]') & X[,7] %in% c('(0.105,0.384]','(0.384,0.918]')","'1'","V5,V7"
