"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"Appendicitis",1,0.9367,1.8583,1.6615,0.724,4.613,0.0039,0.0026,1.3583,NA,NA,NA,NA,NA
"Appendicitis",2,0.7623,1.7635,1.7729,0.656,4.842,0.0034,0.0026,1.1858,NA,NA,NA,NA,NA
"Appendicitis",3,0.8294,1.8252,1.6264,0.553,4.4156,0.0035,0.0025,1.28,NA,NA,NA,NA,NA
"Appendicitis",4,1.0251,2.1925,1.9549,0.884,5.5004,0.0041,0.0025,1.4834,NA,NA,NA,NA,NA
"Appendicitis",5,0.8407,1.8107,1.7205,0.499,4.525,0.0037,0.0026,1.2271,NA,NA,NA,NA,NA
"Appendicitis",6,0.8751,1.945,1.7973,1.195,5.2908,0.0043,0.0024,1.3629,NA,NA,NA,NA,NA
"Appendicitis",7,0.9582,1.9304,1.6562,0.671,4.7272,0.0037,0.0025,1.3444,NA,NA,NA,NA,NA
"Appendicitis",8,0.9048,2.0313,1.9142,0.713,5.1712,0.0036,0.0027,1.4028,NA,NA,NA,NA,NA
"Appendicitis",9,0.8078,1.7277,1.71,0.708,4.6402,0.0038,0.0027,1.1173,NA,NA,NA,NA,NA
"Appendicitis",10,0.9044,2.0668,1.7924,0.983,5.1286,0.0037,0.003,1.4931,NA,NA,NA,NA,NA
