"data","iter","pred_set","pred_sub_set","method","fidelity","fidelity_macroPrecision","fidelity_macroRecall","fidelity_macroF1","fidelity_correct","fidelity_macroPrecision_correct","fidelity_macroRecall_correct","fidelity_macroF1_correct","fidelity_incorrect","fidelity_macroPrecision_incorrect","fidelity_macroRecall_incorrect","fidelity_macroF1_incorrect"
"Appendicitis",1,"train","all","PreSelectedRules",0.972972972972973,0.984375,0.916666666666667,0.946608946608947,0.971830985915493,0.983606557377049,0.916666666666667,0.946212121212121,1,1,1,1
"Appendicitis",1,"train","covered","PreSelectedRules",0.972972972972973,0.984375,0.916666666666667,0.946608946608947,0.971830985915493,0.983606557377049,0.916666666666667,0.946212121212121,1,1,1,1
"Appendicitis",1,"train","notcovered","PreSelectedRules",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Appendicitis",1,"test","all","PreSelectedRules",0.96875,0.983333333333333,0.833333333333333,0.891525423728813,0.96551724137931,0.981481481481481,0.833333333333333,0.890566037735849,1,1,1,1
"Appendicitis",1,"test","covered","PreSelectedRules",0.96875,0.983333333333333,0.833333333333333,0.891525423728813,0.96551724137931,0.981481481481481,0.833333333333333,0.890566037735849,1,1,1,1
"Appendicitis",1,"test","notcovered","PreSelectedRules",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Appendicitis",1,"train","all","OptimalRules",0.972972972972973,0.950268817204301,0.950268817204301,0.950268817204301,0.985915492957746,0.991666666666667,0.958333333333333,0.974059188892948,0.666666666666667,0.5,0.666666666666667,0.8
"Appendicitis",1,"train","covered","OptimalRules",0.972602739726027,0.950136612021858,0.950136612021858,0.950136612021858,0.985714285714286,0.991525423728814,0.958333333333333,0.973987365291713,0.666666666666667,0.5,0.666666666666667,0.8
"Appendicitis",1,"train","notcovered","OptimalRules",1,1,1,1,1,1,1,1,NA,NA,NA,NA
"Appendicitis",1,"test","all","OptimalRules",1,1,1,1,1,1,1,1,1,1,1,1
"Appendicitis",1,"test","covered","OptimalRules",1,1,1,1,1,1,1,1,1,1,1,1
"Appendicitis",1,"test","notcovered","OptimalRules",1,1,1,1,1,1,1,1,NA,NA,NA,NA
"Appendicitis",1,"train","all","OPTSTEL",0.972972972972973,0.950268817204301,0.950268817204301,0.950268817204301,0.985915492957746,0.991666666666667,0.958333333333333,0.974059188892948,0.666666666666667,0.5,0.666666666666667,0.8
"Appendicitis",1,"train","covered","OPTSTEL",0.96875,0.948717948717949,0.948717948717949,0.948717948717949,0.984126984126984,0.990384615384615,0.958333333333333,0.973406500633178,0,0,0,NA
"Appendicitis",1,"train","notcovered","OPTSTEL",1,1,1,1,1,1,1,1,1,1,1,1
"Appendicitis",1,"test","all","OPTSTEL",1,1,1,1,1,1,1,1,1,1,1,1
"Appendicitis",1,"test","covered","OPTSTEL",1,1,1,1,1,1,1,1,1,1,1,1
"Appendicitis",1,"test","notcovered","OPTSTEL",1,1,1,1,1,1,1,1,NA,NA,NA,NA
"Appendicitis",1,"train","all","IntreesRRFVote",0.932432432432432,0.868221941992434,0.89247311827957,0.879674796747967,0.971830985915493,0.983606557377049,0.916666666666667,0.946212121212121,0,0,0,NA
"Appendicitis",1,"train","covered","IntreesRRFVote",0.891304347826087,0.854312354312354,0.872549019607843,0.862686567164179,0.953488372093023,0.96969696969697,0.916666666666667,0.938920454545455,0,0,0,NA
"Appendicitis",1,"train","notcovered","IntreesRRFVote",1,1,1,1,1,1,1,1,NA,NA,NA,NA
"Appendicitis",1,"test","all","IntreesRRFVote",0.90625,0.75,0.948275862068966,0.806060606060606,0.931034482758621,0.8,0.961538461538462,0.855,0.666666666666667,0.5,0.666666666666667,0.8
"Appendicitis",1,"test","covered","IntreesRRFVote",0.833333333333333,0.75,0.9,0.777777777777778,0.882352941176471,0.8,0.928571428571429,0.836538461538461,0,0,0,NA
"Appendicitis",1,"test","notcovered","IntreesRRFVote",1,1,1,1,1,1,1,1,1,1,1,1
"Appendicitis",1,"train","all","IntreesVote",0.932432432432432,0.868221941992434,0.89247311827957,0.879674796747967,0.971830985915493,0.983606557377049,0.916666666666667,0.946212121212121,0,0,0,NA
"Appendicitis",1,"train","covered","IntreesVote",0.891304347826087,0.854312354312354,0.872549019607843,0.862686567164179,0.953488372093023,0.96969696969697,0.916666666666667,0.938920454545455,0,0,0,NA
"Appendicitis",1,"train","notcovered","IntreesVote",1,1,1,1,1,1,1,1,NA,NA,NA,NA
"Appendicitis",1,"test","all","IntreesVote",1,1,1,1,1,1,1,1,1,1,1,1
"Appendicitis",1,"test","covered","IntreesVote",1,1,1,1,1,1,1,1,NA,NA,NA,NA
"Appendicitis",1,"test","notcovered","IntreesVote",1,1,1,1,1,1,1,1,1,1,1,1
"Appendicitis",1,"train","all","IntreesSTEL",0.959459459459459,0.9,0.975806451612903,0.932047750229568,1,1,1,1,0,0,0,NA
"Appendicitis",1,"train","covered","IntreesSTEL",0.934782608695652,0.9,0.955882352941176,0.921367521367521,1,1,1,1,0,0,0,NA
