"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max"
"Appendicitis",1,"RF",3.77,1,3,4,5,7
"Appendicitis",1,"CART",1,1,1,1,1,1
"Appendicitis",1,"PreSelectedRules",3.28,1,3,3,4,6
"Appendicitis",1,"OptimalRules",3.57,1,3,4,4.5,5
"Appendicitis",1,"OPTSTEL",3.67,1,3.25,4,4.75,5
"Appendicitis",1,"IntreesRRFVote",3.44,2,3,4,4,4
"Appendicitis",1,"IntreesVote",3.5,2,3.25,4,4,4
"Appendicitis",1,"IntreesSTEL",3.5,2,3.25,4,4,4
"Appendicitis",2,"RF",3.38,1,3,3,4,7
"Appendicitis",2,"CART",1,1,1,1,1,1
"Appendicitis",2,"PreSelectedRules",3.04,1,2,3,4,6
"Appendicitis",2,"OptimalRules",2.6,2,2,3,3,3
"Appendicitis",2,"OPTSTEL",2.6,2,2,3,3,3
"Appendicitis",2,"IntreesRRFVote",1.62,1,1,1,2,4
"Appendicitis",2,"IntreesVote",1.78,1,1,2,2,4
"Appendicitis",2,"IntreesSTEL",1.78,1,1,2,2,4
"Appendicitis",3,"RF",3.58,1,3,4,4,7
"Appendicitis",3,"CART",1,1,1,1,1,1
"Appendicitis",3,"PreSelectedRules",3.29,1,3,3,4,6
"Appendicitis",3,"OptimalRules",3.4,2,3,3,4,5
"Appendicitis",3,"OPTSTEL",3.25,2,2.75,3,3.5,5
"Appendicitis",3,"IntreesRRFVote",2.5,1,2,2,3,4
"Appendicitis",3,"IntreesVote",2.5,2,2,2,3,4
"Appendicitis",3,"IntreesSTEL",2.5,2,2,2,3,4
"Appendicitis",4,"RF",3.75,1,3,4,5,7
"Appendicitis",4,"CART",1,1,1,1,1,1
"Appendicitis",4,"PreSelectedRules",3.52,1,3,4,4,6
"Appendicitis",4,"OptimalRules",2.86,1,2,3,3.5,5
"Appendicitis",4,"OPTSTEL",2.86,1,2,3,3.5,5
"Appendicitis",4,"IntreesRRFVote",2.57,1,2,3,3,5
"Appendicitis",4,"IntreesVote",2.8,1,2,3,3,5
"Appendicitis",4,"IntreesSTEL",2.8,1,2,3,3,5
"Appendicitis",5,"RF",3.57,1,3,3,4,7
"Appendicitis",5,"CART",1.5,1,1,1.5,2,2
"Appendicitis",5,"PreSelectedRules",3.34,1,3,3,4,6
"Appendicitis",5,"OptimalRules",2.67,1,1.5,3,3.75,4
"Appendicitis",5,"OPTSTEL",2.6,1,1,3,4,4
"Appendicitis",5,"IntreesRRFVote",2.42,1,2,2.5,3,4
"Appendicitis",5,"IntreesVote",2.2,1,1,3,3,3
"Appendicitis",5,"IntreesSTEL",2.2,1,1,3,3,3
"Appendicitis",6,"RF",3.64,1,3,4,4,7
"Appendicitis",6,"CART",1,1,1,1,1,1
"Appendicitis",6,"PreSelectedRules",3.28,1,2,3,4,6
"Appendicitis",6,"OptimalRules",3,2,2.5,3,3.5,4
"Appendicitis",6,"OPTSTEL",3,2,2.5,3,3.5,4
"Appendicitis",6,"IntreesRRFVote",2.6,1,2,2.5,3,4
"Appendicitis",6,"IntreesVote",2.67,2,2,2,3,4
"Appendicitis",6,"IntreesSTEL",2.67,2,2,2,3,4
"Appendicitis",7,"RF",3.78,1,3,4,5,7
"Appendicitis",7,"CART",1,1,1,1,1,1
"Appendicitis",7,"PreSelectedRules",3.42,1,3,3,4,6
"Appendicitis",7,"OptimalRules",3.14,1,2.5,3,4,5
"Appendicitis",7,"OPTSTEL",3.5,2,3,3.5,4,5
"Appendicitis",7,"IntreesRRFVote",2.61,1,2,3,3,4
"Appendicitis",7,"IntreesVote",2.55,1,2,3,3,4
"Appendicitis",7,"IntreesSTEL",2.55,1,2,3,3,4
"Appendicitis",8,"RF",3.7,1,3,4,5,7
"Appendicitis",8,"CART",1,1,1,1,1,1
"Appendicitis",8,"PreSelectedRules",3.33,1,3,3,4,6
"Appendicitis",8,"OptimalRules",2.67,1,2,2.5,3.75,4
"Appendicitis",8,"OPTSTEL",2.67,1,2,2.5,3.75,4
"Appendicitis",8,"IntreesRRFVote",2.77,1,2,3,3,4
"Appendicitis",8,"IntreesVote",2.82,2,2,3,3,4
"Appendicitis",8,"IntreesSTEL",2.82,2,2,3,3,4
"Appendicitis",9,"RF",3.6,1,3,4,5,7
"Appendicitis",9,"CART",1,1,1,1,1,1
"Appendicitis",9,"PreSelectedRules",3.35,1,3,3,4,6
"Appendicitis",9,"OptimalRules",2.6,2,2,2,3,4
"Appendicitis",9,"OPTSTEL",2.75,2,2,2.5,3.25,4
"Appendicitis",9,"IntreesRRFVote",2.85,2,2,3,3,4
"Appendicitis",9,"IntreesVote",2.5,2,2,2.5,3,3
"Appendicitis",9,"IntreesSTEL",2.5,2,2,2.5,3,3
"Appendicitis",10,"RF",3.72,1,3,4,5,7
"Appendicitis",10,"CART",1,1,1,1,1,1
"Appendicitis",10,"PreSelectedRules",3.3,1,3,3,4,6
"Appendicitis",10,"OptimalRules",3.33,2,3,3.5,4,4
"Appendicitis",10,"OPTSTEL",3.33,2,3,3.5,4,4
"Appendicitis",10,"IntreesRRFVote",2.52,1,2,2,3,4
"Appendicitis",10,"IntreesVote",2.54,2,2,2,3,4
"Appendicitis",10,"IntreesSTEL",2.54,2,2,2,3,4
