"data","iter","id","confidence","support","class_suppport","var_length","levels_length","var_nbr_scaled","levels_nbr_scaled","cond","Ypred","var_used"
"BCo",1,8,1,0.0551020408163265,0.0841121495327103,4,22,0.666666666666667,0.478260869565217,"X[,2] %in% c('1','2','3','6') & X[,3] %in% c('3','4','5','6','7','8','9','10') & X[,6] %in% c('1') & X[,8] %in% c('1','2','3','4','6','7','8','9','10')","'2'","V2,V3,V6,V8"
"BCo",1,93,0.968992248062015,0.263265306122449,0.763313609467456,2,14,0.333333333333333,0.304347826086957,"X[,1] %in% c('1','2','5','7','8','9','10') & X[,2] %in% c('4','5','6','7','8','9','10')","'4'","V1,V2"
"BCo",1,207,0.978571428571429,0.285714285714286,0.828402366863905,3,24,0.5,0.521739130434783,"X[,3] %in% c('3','4','5','6','7','8','9','10') & X[,6] %in% c('3','4','5','6','7','8','9','10') & X[,8] %in% c('1','3','4','5','6','8','9','10')","'4'","V3,V6,V8"
"BCo",1,209,0.983193277310924,0.242857142857143,0.704142011834319,3,23,0.5,0.5,"X[,1] %in% c('2','5','6','7','8','9','10') & X[,2] %in% c('1','2','3','4','5','6','9','10') & X[,6] %in% c('3','4','5','6','7','8','9','10')","'4'","V1,V2,V6"
"BCo",1,321,0.996415770609319,0.569387755102041,0.869158878504673,2,5,0.333333333333333,0.108695652173913,"X[,3] %in% c('1','2') & X[,7] %in% c('1','2','3')","'2'","V3,V7"
"BCo",2,74,1,0.497959183673469,0.7601246105919,3,16,0.5,0.313725490196078,"X[,1] %in% c('1','2','3','4','6') & X[,4] %in% c('1','2','3','5','6','7','9','10') & X[,7] %in% c('1','2','3')","'2'","V1,V4,V7"
"BCo",2,221,0.993288590604027,0.608163265306122,0.928348909657321,3,14,0.5,0.274509803921569,"X[,1] %in% c('1','2','3','4','5') & X[,6] %in% c('1','2','3','4') & X[,8] %in% c('1','2','3','6','8')","'2'","V1,V6,V8"
"BCo",2,226,1,0.036734693877551,0.106508875739645,3,17,0.5,0.333333333333333,"X[,1] %in% c('1','2','3','4') & X[,6] %in% c('4','6','7','8','9','10') & X[,7] %in% c('4','5','6','7','8','9','10')","'4'","V1,V6,V7"
"BCo",2,311,0.869565217391304,0.0469387755102041,0.136094674556213,3,17,0.5,0.333333333333333,"X[,1] %in% c('2','4','5','7','8','9','10') & X[,2] %in% c('1','2','3') & X[,6] %in% c('3','5','6','7','8','9','10')","'4'","V1,V2,V6"
"BCo",2,365,0.955223880597015,0.273469387755102,0.792899408284024,2,15,0.333333333333333,0.294117647058824,"X[,1] %in% c('1','2','5','6','7','8','9','10') & X[,2] %in% c('4','5','6','7','8','9','10')","'4'","V1,V2"
"BCo",3,74,1,0.0551020408163265,0.0841121495327103,4,17,0.666666666666667,0.377777777777778,"X[,2] %in% c('1','2','3','9') & X[,3] %in% c('3','4','5','6','7','8','9','10') & X[,6] %in% c('1','2') & X[,7] %in% c('1','2','3')","'2'","V2,V3,V6,V7"
"BCo",3,165,0.975806451612903,0.253061224489796,0.733727810650887,3,23,0.5,0.511111111111111,"X[,2] %in% c('4','5','6','7','8','10') & X[,5] %in% c('1','3','4','5','6','7','8','9','10') & X[,6] %in% c('1','2','3','4','6','8','9','10')","'4'","V2,V5,V6"
"BCo",3,189,0.967741935483871,0.253061224489796,0.733727810650887,3,23,0.5,0.511111111111111,"X[,3] %in% c('3','4','5','6','7','8','9','10') & X[,6] %in% c('3','4','5','6','7','8','9','10') & X[,8] %in% c('1','3','4','5','6','9','10')","'4'","V3,V6,V8"
"BCo",3,313,0.993006993006993,0.583673469387755,0.890965732087228,3,14,0.5,0.311111111111111,"X[,1] %in% c('1','2','3','4','5','6','7','8') & X[,3] %in% c('1','2') & X[,7] %in% c('1','2','3','4')","'2'","V1,V3,V7"
"BCo",4,23,1,0.0836734693877551,0.127725856697819,6,24,1,0.51063829787234,"X[,2] %in% c('2','3') & X[,5] %in% c('2','3','4') & X[,6] %in% c('1','2','3','4') & X[,7] %in% c('1','2','3','5','6','7','8','9','10') & X[,8] %in% c('1','2','3','5') & X[,9] %in% c('1','2')","'2'","V2,V5,V6,V7,V8,V9"
