"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"BCo",1,0.9466,5.5086,12.4743,21.244,53.8526,0.1514,0.0049,2.1748,NA,NA,NA,NA,NA
"BCo",2,0.96,5.5074,13.1389,19.097,53.7327,0.1551,0.0046,2.2179,NA,NA,NA,NA,NA
"BCo",3,0.905,5.2791,12.9134,3.403,35.6268,0.1485,0.0044,2.0424,NA,NA,NA,NA,NA
"BCo",4,1.0381,5.8758,14.0995,48.045,84.8313,0.1652,0.0044,2.3939,NA,NA,NA,NA,NA
"BCo",5,1.0594,6.0658,15.1507,3.141,41.7429,0.1674,0.0045,2.5474,NA,NA,NA,NA,NA
"BCo",6,0.9961,5.9546,14.2865,31.959,69.3695,0.1615,0.0043,2.4205,NA,NA,NA,NA,NA
"BCo",7,0.9706,5.2633,11.9709,39.074,70.1263,0.1554,0.0043,2.2642,NA,NA,NA,NA,NA
"BCo",8,1.1078,5.959,14.082,45.23,81.1024,0.1741,0.0044,2.6055,NA,NA,NA,NA,NA
"BCo",9,0.9559,5.5096,13.1042,21.683,55.6405,0.1553,0.0043,2.2671,NA,NA,NA,NA,NA
"BCo",10,0.9928,5.712,14.0173,25.187,60.6061,0.1609,0.0044,2.3954,NA,NA,NA,NA,NA
