"data","iter","RFTree","RFRules","PreSelectedRules","OPTRules","OPTRulesSTEL","IntreesRRFRules","IntreesSTELRules","CART","CBA","RIPPER","C4.5","RCAR","SBRL"
"BCo",1,100,1149,397,5,5,9,6,4,NA,NA,NA,NA,NA
"BCo",2,100,1181,427,5,5,4,4,6,NA,NA,NA,NA,NA
"BCo",3,100,1138,405,4,4,12,5,8,NA,NA,NA,NA,NA
"BCo",4,100,1269,459,5,5,8,4,5,NA,NA,NA,NA,NA
"BCo",5,100,1280,485,4,4,13,7,4,NA,NA,NA,NA,NA
"BCo",6,100,1241,464,5,5,5,2,4,NA,NA,NA,NA,NA
"BCo",7,100,1191,387,5,5,6,4,4,NA,NA,NA,NA,NA
"BCo",8,100,1332,448,5,5,8,5,6,NA,NA,NA,NA,NA
"BCo",9,100,1179,424,5,5,9,6,4,NA,NA,NA,NA,NA
"BCo",10,100,1232,444,5,5,10,5,4,NA,NA,NA,NA,NA
