"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"Iris",1,0.6398,0.9607,1.5577,0.243,2.5351,0.0032,0.0102,0.4782,NA,NA,NA,NA,NA
"Iris",2,0.368,0.6133,1.0077,0.017,1.9027,0.0028,0.0021,0.3525,NA,NA,NA,NA,NA
"Iris",3,0.5143,0.8417,1.3109,0.044,2.4843,0.0031,0.0022,0.5348,NA,NA,NA,NA,NA
"Iris",4,0.5285,0.8472,1.3242,0.399,2.906,0.0031,0.0022,0.556,NA,NA,NA,NA,NA
"Iris",5,0.4697,0.7436,1.1445,0.026,2.3129,0.0036,0.0021,0.4975,NA,NA,NA,NA,NA
"Iris",6,0.5057,0.7611,1.2971,0.024,2.59,0.005,0.003,0.5426,NA,NA,NA,NA,NA
"Iris",7,0.4334,0.6817,1.0626,0.026,2.0734,0.0035,0.0022,0.4165,NA,NA,NA,NA,NA
"Iris",8,0.537,0.8045,1.2251,0.045,2.4216,0.0032,0.0022,0.5578,NA,NA,NA,NA,NA
"Iris",9,0.5408,0.8403,1.3483,0.112,2.7908,0.0032,0.0022,0.5529,NA,NA,NA,NA,NA
"Iris",10,0.4467,0.6959,1.064,0.02,2.073,0.003,0.0021,0.4557,NA,NA,NA,NA,NA
