"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max"
"TICTACTOE",1,"RF",5.34,3,5,5,6,9
"TICTACTOE",1,"CART",4.82,3,4,5,5,7
"TICTACTOE",1,"PreSelectedRules",4.91,3,4,5,6,6
"TICTACTOE",1,"OptimalRules",3.5,3,3,3.5,4,4
"TICTACTOE",1,"OPTSTEL",3.47,3,3,3,4,4
"TICTACTOE",1,"IntreesRRFVote",3.3,3,3,3,3,5
"TICTACTOE",1,"IntreesVote",3,3,3,3,3,3
"TICTACTOE",1,"IntreesSTEL",3,3,3,3,3,3
"TICTACTOE",2,"RF",5.37,3,5,5,6,9
"TICTACTOE",2,"CART",4.68,3,4,5,5,6
"TICTACTOE",2,"PreSelectedRules",4.94,3,4,5,6,6
"TICTACTOE",2,"OptimalRules",3.53,3,3,3,4,5
"TICTACTOE",2,"OPTSTEL",3.44,3,3,3,4,5
"TICTACTOE",2,"IntreesRRFVote",3.3,3,3,3,3,5
"TICTACTOE",2,"IntreesVote",3,3,3,3,3,3
"TICTACTOE",2,"IntreesSTEL",3,3,3,3,3,3
"TICTACTOE",3,"RF",5.34,3,5,5,6,8
"TICTACTOE",3,"CART",4.58,3,4,5,5,6
"TICTACTOE",3,"PreSelectedRules",4.87,3,4,5,6,6
"TICTACTOE",3,"OptimalRules",3.5,3,3,3,4,5
"TICTACTOE",3,"OPTSTEL",3.5,3,3,3,4,5
"TICTACTOE",3,"IntreesRRFVote",3.22,3,3,3,3,5
"TICTACTOE",3,"IntreesVote",3,3,3,3,3,3
"TICTACTOE",3,"IntreesSTEL",3,3,3,3,3,3
"TICTACTOE",4,"RF",5.37,3,5,5,6,9
"TICTACTOE",4,"CART",4.57,3,4,5,5,6
"TICTACTOE",4,"PreSelectedRules",4.93,3,4,5,6,6
"TICTACTOE",4,"OptimalRules",3.75,3,3,3.5,4,6
"TICTACTOE",4,"OPTSTEL",3.68,3,3,3,4,6
"TICTACTOE",4,"IntreesRRFVote",3.11,3,3,3,3,4
"TICTACTOE",4,"IntreesVote",3,3,3,3,3,3
"TICTACTOE",4,"IntreesSTEL",3,3,3,3,3,3
"TICTACTOE",5,"RF",5.34,3,5,5,6,9
"TICTACTOE",5,"CART",4.67,3,4,5,5,6
"TICTACTOE",5,"PreSelectedRules",4.9,3,4,5,6,6
"TICTACTOE",5,"OptimalRules",4.1,3,3,4,5,6
"TICTACTOE",5,"OPTSTEL",4,3,3,4,4.5,6
"TICTACTOE",5,"IntreesRRFVote",3.1,3,3,3,3,4
"TICTACTOE",5,"IntreesVote",3,3,3,3,3,3
"TICTACTOE",5,"IntreesSTEL",3,3,3,3,3,3
"TICTACTOE",6,"RF",5.32,3,5,5,6,9
"TICTACTOE",6,"CART",4.73,3,4,5,5,6
"TICTACTOE",6,"PreSelectedRules",4.92,3,4,5,6,6
"TICTACTOE",6,"OptimalRules",3.68,3,3,4,4,5
"TICTACTOE",6,"OPTSTEL",3.68,3,3,4,4,5
"TICTACTOE",6,"IntreesRRFVote",3.27,3,3,3,3.5,4
"TICTACTOE",6,"IntreesVote",3,3,3,3,3,3
"TICTACTOE",6,"IntreesSTEL",3,3,3,3,3,3
"TICTACTOE",7,"RF",5.36,3,5,5,6,9
"TICTACTOE",7,"CART",4.65,3,4,5,5,6
"TICTACTOE",7,"PreSelectedRules",4.94,3,4,5,6,6
"TICTACTOE",7,"OptimalRules",3.71,3,3,3,4,6
"TICTACTOE",7,"OPTSTEL",3.71,3,3,3,4,6
"TICTACTOE",7,"IntreesRRFVote",3.11,3,3,3,3,4
"TICTACTOE",7,"IntreesVote",3,3,3,3,3,3
"TICTACTOE",7,"IntreesSTEL",3,3,3,3,3,3
"TICTACTOE",8,"RF",5.35,3,5,5,6,9
"TICTACTOE",8,"CART",4.83,3,4,5,5.5,6
"TICTACTOE",8,"PreSelectedRules",4.88,3,4,5,6,6
"TICTACTOE",8,"OptimalRules",3.33,3,3,3,4,4
"TICTACTOE",8,"OPTSTEL",3.25,3,3,3,3.25,4
"TICTACTOE",8,"IntreesRRFVote",3,3,3,3,3,3
"TICTACTOE",8,"IntreesVote",3,3,3,3,3,3
"TICTACTOE",8,"IntreesSTEL",3,3,3,3,3,3
"TICTACTOE",9,"RF",5.37,3,5,5,6,9
"TICTACTOE",9,"CART",4.83,3,4,5,5.5,6
"TICTACTOE",9,"PreSelectedRules",4.96,3,4,5,6,6
"TICTACTOE",9,"OptimalRules",3.83,3,3,4,4,5
"TICTACTOE",9,"OPTSTEL",3.83,3,3,4,4,5
"TICTACTOE",9,"IntreesRRFVote",3,3,3,3,3,3
"TICTACTOE",9,"IntreesVote",3,3,3,3,3,3
"TICTACTOE",9,"IntreesSTEL",3,3,3,3,3,3
"TICTACTOE",10,"RF",5.38,3,5,5,6,9
"TICTACTOE",10,"CART",4.76,3,4,5,5,7
"TICTACTOE",10,"PreSelectedRules",4.93,3,4,5,6,6
"TICTACTOE",10,"OptimalRules",3.61,3,3,3,4,6
"TICTACTOE",10,"OPTSTEL",3.59,3,3,3,4,6
"TICTACTOE",10,"IntreesRRFVote",3.11,3,3,3,3,4
"TICTACTOE",10,"IntreesVote",3,3,3,3,3,3
"TICTACTOE",10,"IntreesSTEL",3,3,3,3,3,3
