"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"XOR",1,0.3446,1.3675,1.9781,0.05,4.2181,0.0084,0.003,0.3535,NA,NA,NA,NA,NA
"XOR",2,0.3337,1.3366,1.9677,0.047,4.2187,0.0076,0.003,0.3574,NA,NA,NA,NA,NA
"XOR",3,0.3784,1.33,2.2347,0.063,4.2569,0.0075,0.0029,0.3708,NA,NA,NA,NA,NA
"XOR",4,0.3416,1.3331,2.0188,0.061,4.3527,0.0073,0.0029,0.3474,NA,NA,NA,NA,NA
"XOR",5,0.3378,1.3194,1.9979,0.055,4.3624,0.0072,0.0028,0.3424,NA,NA,NA,NA,NA
"XOR",6,0.3318,1.2059,1.9748,0.048,4.2617,0.0071,0.0029,0.3355,NA,NA,NA,NA,NA
"XOR",7,0.326,1.2741,2.1777,0.047,4.2078,0.0073,0.003,0.3332,NA,NA,NA,NA,NA
"XOR",8,0.328,1.2199,2.2908,0.052,4.4431,0.0071,0.0028,0.3282,NA,NA,NA,NA,NA
"XOR",9,0.3354,1.264,1.923,0.043,3.927,0.0073,0.0029,0.3459,NA,NA,NA,NA,NA
"XOR",10,0.3555,1.1792,1.93,0.055,4.1233,0.0072,0.0029,0.3476,NA,NA,NA,NA,NA
