"data","iter","RFTree","RFRules","PreSelectedRules","OPTRules","OPTRulesSTEL","IntreesRRFRules","IntreesSTELRules","CART","CBA","RIPPER","C4.5","RCAR","SBRL"
"XOR",1,100,659,42,4,2,2,2,16,NA,NA,NA,NA,NA
"XOR",2,100,637,42,4,2,2,2,16,NA,NA,NA,NA,NA
"XOR",3,100,641,42,4,2,2,2,10,NA,NA,NA,NA,NA
"XOR",4,100,648,43,4,2,2,2,10,NA,NA,NA,NA,NA
"XOR",5,100,627,43,4,2,2,2,6,NA,NA,NA,NA,NA
"XOR",6,100,614,42,4,2,2,2,6,NA,NA,NA,NA,NA
"XOR",7,100,630,42,4,2,2,2,10,NA,NA,NA,NA,NA
"XOR",8,100,594,44,4,2,2,2,6,NA,NA,NA,NA,NA
"XOR",9,100,600,39,4,2,2,2,6,NA,NA,NA,NA,NA
"XOR",10,100,662,41,4,2,2,2,14,NA,NA,NA,NA,NA
