"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"anneal",1,4.4182,14.3248,27.966,2.106,44.4883,0.0278,0.0117,4.7246,NA,NA,NA,NA,NA
"anneal",2,4.1846,13.5764,27.0336,0.703,40.8074,0.0272,0.0114,4.5622,NA,NA,NA,NA,NA
"anneal",3,4.4245,13.4571,27.2766,17.63,58.3265,0.0274,0.0117,4.5594,NA,NA,NA,NA,NA
"anneal",4,4.2,13.1452,25.8607,15.409,54.4958,0.027,0.0114,4.6819,NA,NA,NA,NA,NA
"anneal",5,4.3027,13.148,24.6646,2.978,39.6306,0.0282,0.0114,4.8196,NA,NA,NA,NA,NA
"anneal",6,4.1267,13.528,28.1089,4.162,46.1361,0.0279,0.012,4.6926,NA,NA,NA,NA,NA
"anneal",7,4.3656,13.6356,26.2432,2.906,41.9947,0.0277,0.0127,4.7748,NA,NA,NA,NA,NA
"anneal",8,4.4689,13.3752,24.9734,1.269,38.8023,0.0278,0.011,4.5608,NA,NA,NA,NA,NA
"anneal",9,4.0407,12.6578,24.7791,2.931,39.7106,0.0263,0.0113,4.0026,NA,NA,NA,NA,NA
"anneal",10,4.2708,13.1858,28.0292,5.23,46.3351,0.0274,0.011,4.5292,NA,NA,NA,NA,NA
