"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max"
"anneal",1,"RF",6.46,1,5,6,8,13
"anneal",1,"CART",5,2,5,5,6,6
"anneal",1,"PreSelectedRules",4.58,1,4,5,6,6
"anneal",1,"OptimalRules",3.75,1,2,3.5,5.25,6
"anneal",1,"OPTSTEL",3.82,1,2,4,5.5,6
"anneal",1,"IntreesRRFVote",2.17,1,1,2,3,4
"anneal",1,"IntreesVote",2.25,1,1,2.5,3,4
"anneal",1,"IntreesSTEL",2.25,1,1,2.5,3,4
"anneal",2,"RF",6.71,1,5,7,8,14
"anneal",2,"CART",5,2,5,5,6,6
"anneal",2,"PreSelectedRules",4.56,1,4,5,6,6
"anneal",2,"OptimalRules",4.08,1,3,4.5,5.25,6
"anneal",2,"OPTSTEL",4.08,1,3,4.5,5.25,6
"anneal",2,"IntreesRRFVote",2.08,1,1,2,3,4
"anneal",2,"IntreesVote",2.4,1,1.25,2.5,3,4
"anneal",2,"IntreesSTEL",2.4,1,1.25,2.5,3,4
"anneal",3,"RF",6.73,1,5,7,8,13
"anneal",3,"CART",5,2,5,5,6,6
"anneal",3,"PreSelectedRules",4.51,1,4,5,6,6
"anneal",3,"OptimalRules",4.07,1,2.5,5,5.5,6
"anneal",3,"OPTSTEL",3.92,1,2.75,4.5,5,6
"anneal",3,"IntreesRRFVote",2.38,1,1,2,4,5
"anneal",3,"IntreesVote",3.29,1,2.5,4,4,5
"anneal",3,"IntreesSTEL",3.29,1,2.5,4,4,5
"anneal",4,"RF",6.63,1,5,7,8,13
"anneal",4,"CART",4.78,2,5,5,5,6
"anneal",4,"PreSelectedRules",4.56,1,4,5,6,6
"anneal",4,"OptimalRules",4,1,3,3.5,6,6
"anneal",4,"OPTSTEL",4,1,3,3.5,6,6
"anneal",4,"IntreesRRFVote",2.08,1,1,2,2,4
"anneal",4,"IntreesVote",2.33,1,2,2,3,4
"anneal",4,"IntreesSTEL",2.33,1,2,2,3,4
"anneal",5,"RF",6.7,1,5,7,8,14
"anneal",5,"CART",4.89,2,4,5,6,6
"anneal",5,"PreSelectedRules",4.39,1,3,5,6,6
"anneal",5,"OptimalRules",4,1,2,4,6,6
"anneal",5,"OPTSTEL",3.91,1,2,4,6,6
"anneal",5,"IntreesRRFVote",2.4,1,1.25,2.5,3,4
"anneal",5,"IntreesVote",2.33,1,1.25,2.5,3,4
"anneal",5,"IntreesSTEL",2.33,1,1.25,2.5,3,4
"anneal",6,"RF",6.63,1,5,7,8,14
"anneal",6,"CART",4.62,2,4,5,5.25,6
"anneal",6,"PreSelectedRules",4.59,1,4,5,6,6
"anneal",6,"OptimalRules",3.58,1,2.75,3,5,6
"anneal",6,"OPTSTEL",3.64,1,2.5,3,5,6
"anneal",6,"IntreesRRFVote",2.47,1,1.5,2,3.5,4
"anneal",6,"IntreesVote",2.4,1,2,2,3,4
"anneal",6,"IntreesSTEL",2.4,1,2,2,3,4
"anneal",7,"RF",6.59,1,5,7,8,14
"anneal",7,"CART",4.67,2,5,5,5,5
"anneal",7,"PreSelectedRules",4.55,1,4,5,6,6
"anneal",7,"OptimalRules",3.38,1,2,3,5,6
"anneal",7,"OPTSTEL",3.5,1,2,3.5,5.25,6
"anneal",7,"IntreesRRFVote",2.33,1,1.75,2,3,5
"anneal",7,"IntreesVote",2.25,1,1.75,2,2.25,5
"anneal",7,"IntreesSTEL",2.25,1,1.75,2,2.25,5
"anneal",8,"RF",6.8,1,5,7,8,14
"anneal",8,"CART",5.18,2,5,6,6,6
"anneal",8,"PreSelectedRules",4.49,1,4,5,6,6
"anneal",8,"OptimalRules",3.91,1,2.5,3,6,6
"anneal",8,"OPTSTEL",4,1,2.25,4,6,6
"anneal",8,"IntreesRRFVote",2,1,1,2,3,4
"anneal",8,"IntreesVote",2.33,1,1.25,2.5,3,4
"anneal",8,"IntreesSTEL",2.33,1,1.25,2.5,3,4
"anneal",9,"RF",6.75,1,5,7,9,14
"anneal",9,"CART",4.91,2,4.5,5,6,6
"anneal",9,"PreSelectedRules",4.49,1,4,5,6,6
"anneal",9,"OptimalRules",3.73,1,2,4,5.5,6
"anneal",9,"OPTSTEL",3.5,1,2,3.5,5,6
"anneal",9,"IntreesRRFVote",2.54,1,1,2,4,5
"anneal",9,"IntreesVote",2.38,1,1,2,4,4
"anneal",9,"IntreesSTEL",2.38,1,1,2,4,4
"anneal",10,"RF",6.78,1,5,7,8,14
"anneal",10,"CART",5,2,5,5,6,6
"anneal",10,"PreSelectedRules",4.59,1,4,5,6,6
"anneal",10,"OptimalRules",3.67,1,2,3,5,6
"anneal",10,"OPTSTEL",3.75,1,2,4,5.25,6
"anneal",10,"IntreesRRFVote",2.44,1,1,2,3.25,5
"anneal",10,"IntreesVote",2.36,1,1,2,3,5
"anneal",10,"IntreesSTEL",2.36,1,1,2,3,5
