"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"auto",1,0.01,0.025,0.979,0,0.0071,0.2071,"Optimal",2.161,21.5538,811,18
"auto",2,0.01,0.025,0.979,0,0.0071,0.3143,"Optimal",4.398,23.9841,838,18
"auto",3,0.01,0.025,0.979,0,0.0071,0.2786,"Optimal",5.372,24.6315,821,19
"auto",4,0.01,0.025,0.979,0,0.0071,0.3929,"Optimal",1.092,18.9937,764,18
"auto",5,0.01,0.025,0.979,0,0.0071,0.2714,"Optimal",10.546,27.9136,747,21
"auto",6,0.01,0.025,0.979,0,0.0071,0.3429,"Optimal",4.854,22.967,781,20
"auto",7,0.01,0.025,0.979,0,0.0071,0.4214,"Optimal",1.444,20.6999,818,19
"auto",8,0.01,0.025,0.979,0,0.0071,0.3429,"Optimal",4.236,22.2116,774,19
"auto",9,0.01,0.025,0.979,0,0.0071,0.35,"Optimal",4.2,23.1859,806,17
"auto",10,0.01,0.025,0.979,0,0.0071,0.4071,"Optimal",2.935,19.9792,736,19
