"data","iter","RFTree","RFRules","PreSelectedRules","OPTRules","OPTRulesSTEL","IntreesRRFRules","IntreesSTELRules","CART","CBA","RIPPER","C4.5","RCAR","SBRL"
"auto",1,100,3394,811,18,17,39,16,7,NA,NA,NA,NA,NA
"auto",2,100,3500,838,18,17,47,16,7,NA,NA,NA,NA,NA
"auto",3,100,3555,821,19,19,46,20,9,NA,NA,NA,NA,NA
"auto",4,100,3609,764,18,17,43,16,9,NA,NA,NA,NA,NA
"auto",5,100,3537,747,21,20,31,13,8,NA,NA,NA,NA,NA
"auto",6,100,3601,781,20,18,43,14,8,NA,NA,NA,NA,NA
"auto",7,100,3547,818,19,18,43,17,7,NA,NA,NA,NA,NA
"auto",8,100,3510,774,19,19,43,18,8,NA,NA,NA,NA,NA
"auto",9,100,3333,806,17,16,33,11,7,NA,NA,NA,NA,NA
"auto",10,100,3630,736,19,18,39,15,8,NA,NA,NA,NA,NA
