"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"banana",1,0.01,0.025,0.9851,0.2682,0.2747,0.025,"Optimal",87.466,120.2055,53,7
"banana",2,0.01,0.025,0.9825,0.259,0.2669,0.0214,"Optimal",69.768,106.6735,59,7
"banana",3,0.01,0.025,0.9825,0.2547,0.2584,0.0247,"Optimal",307.516,346.1402,62,7
"banana",4,0.01,0.025,0.9768,0.2472,0.2525,0.0273,"Optimal",373.675,413.9827,64,7
"banana",5,0.01,0.025,0.9811,0.2553,0.2599,0.0242,"Optimal",262.783,301.2241,62,7
"banana",6,0.01,0.025,0.9957,0.2493,0.2566,0.0249,"Optimal",210.329,245.35,56,7
"banana",7,0.01,0.025,0.9817,0.2504,0.2545,0.0255,"Optimal",475.485,510.4645,56,7
"banana",8,0.01,0.025,0.9895,0.2655,0.2618,0.0237,"Optimal",415.579,452.5043,59,7
"banana",9,0.01,0.025,0.9776,0.2501,0.2556,0.0237,"Optimal",375.333,414.8745,64,7
"banana",10,0.01,0.025,0.9776,0.2461,0.2537,0,"Optimal",353.813,392.8086,63,7
