"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"banana",1,0.6257,13.0234,15.9132,87.466,120.2055,0.0616,0.0105,0.7711,NA,NA,NA,NA,NA
"banana",2,0.6017,15.9007,17.9013,69.768,106.6735,0.0599,0.0103,0.8146,NA,NA,NA,NA,NA
"banana",3,0.6378,18.2997,18.587,307.516,346.1402,0.0609,0.0104,0.8487,NA,NA,NA,NA,NA
"banana",4,0.6329,20.146,19.2752,373.675,413.9827,0.0602,0.0103,0.8463,NA,NA,NA,NA,NA
"banana",5,0.6706,17.6253,18.5192,262.783,301.2241,0.0619,0.0102,0.8945,NA,NA,NA,NA,NA
"banana",6,0.707,17.4919,17.4615,210.329,245.35,0.0614,0.0104,0.914,NA,NA,NA,NA,NA
"banana",7,0.7658,18.1726,17.4341,475.485,510.4645,0.0616,0.0104,0.8753,NA,NA,NA,NA,NA
"banana",8,0.6526,17.426,18.3217,415.579,452.5043,0.061,0.0102,0.9214,NA,NA,NA,NA,NA
"banana",9,0.6417,19.4011,19.2343,375.333,414.8745,0.0591,0.0104,1.2418,NA,NA,NA,NA,NA
"banana",10,0.6646,19.2507,18.7978,353.813,392.8086,0.0609,0.0103,0.9771,NA,NA,NA,NA,NA
