"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"cryotherapy",1,1.1016,1.9806,2.1839,0.743,5.3436,0.017,0.0095,1.375,NA,NA,NA,NA,NA
"cryotherapy",2,0.9099,1.7957,2.0528,0.736,5.793,0.0151,0.0024,1.3977,NA,NA,NA,NA,NA
"cryotherapy",3,0.9061,1.6753,1.7672,0.754,4.969,0.0143,0.0023,1.1942,NA,NA,NA,NA,NA
"cryotherapy",4,1.154,2.0335,2.1023,0.379,5.4447,0.0182,0.0024,1.5766,NA,NA,NA,NA,NA
"cryotherapy",5,0.8788,1.6985,2.0013,0.549,5.4003,0.0146,0.0025,1.3138,NA,NA,NA,NA,NA
"cryotherapy",6,1.0528,2.005,2.0977,0.201,5.2805,0.0158,0.0024,1.4667,NA,NA,NA,NA,NA
"cryotherapy",7,1.0493,1.9285,1.9858,1.452,6.3852,0.0154,0.0025,1.477,NA,NA,NA,NA,NA
"cryotherapy",8,0.8986,1.7273,1.7523,0.356,4.4688,0.014,0.0026,1.1837,NA,NA,NA,NA,NA
"cryotherapy",9,1.0623,1.8214,2.0747,0.478,4.8259,0.0155,0.0024,1.3796,NA,NA,NA,NA,NA
"cryotherapy",10,0.9899,2.1003,1.9054,0.987,5.7769,0.015,0.0023,1.387,NA,NA,NA,NA,NA
