"data","iter","pred_set","pred_sub_set","method","fidelity","fidelity_macroPrecision","fidelity_macroRecall","fidelity_macroF1","fidelity_correct","fidelity_macroPrecision_correct","fidelity_macroRecall_correct","fidelity_macroF1_correct","fidelity_incorrect","fidelity_macroPrecision_incorrect","fidelity_macroRecall_incorrect","fidelity_macroF1_incorrect"
"cryotherapy",1,"train","all","PreSelectedRules",0.984126984126984,0.986111111111111,0.982142857142857,0.983866837387964,0.983333333333333,0.985294117647059,0.981481481481481,0.983103351168685,1,1,1,1
"cryotherapy",1,"train","covered","PreSelectedRules",0.984126984126984,0.986111111111111,0.982142857142857,0.983866837387964,0.983333333333333,0.985294117647059,0.981481481481481,0.983103351168685,1,1,1,1
"cryotherapy",1,"train","notcovered","PreSelectedRules",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cryotherapy",1,"test","all","PreSelectedRules",0.962962962962963,0.964285714285714,0.964285714285714,0.962962962962963,1,1,1,1,0.857142857142857,0.875,0.875,0.857142857142857
"cryotherapy",1,"test","covered","PreSelectedRules",0.962962962962963,0.964285714285714,0.964285714285714,0.962962962962963,1,1,1,1,0.857142857142857,0.875,0.875,0.857142857142857
"cryotherapy",1,"test","notcovered","PreSelectedRules",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cryotherapy",1,"train","all","OptimalRules",0.952380952380952,0.950811359026369,0.953571428571429,0.951945080091533,0.983333333333333,0.982142857142857,0.984848484848485,0.983216783216783,0.333333333333333,0.25,0.25,0.5
"cryotherapy",1,"train","covered","OptimalRules",0.951612903225806,0.950365726227795,0.952731092436975,0.951296150824823,0.983050847457627,0.982142857142857,0.984375,0.982972582972583,0.333333333333333,0.25,0.25,0.5
"cryotherapy",1,"train","notcovered","OptimalRules",1,1,1,1,1,1,1,1,NA,NA,NA,NA
"cryotherapy",1,"test","all","OptimalRules",0.703703703703704,0.703296703296703,0.703296703296703,0.703296703296703,0.65,0.651515151515151,0.65,0.649122807017544,0.857142857142857,0.875,0.875,0.857142857142857
