"data","iter","id","confidence","support","class_suppport","var_length","levels_length","var_nbr_scaled","levels_nbr_scaled","cond","Ypred","var_used"
"derma",1,71,1,0.0549019607843137,1,4,8,0.666666666666667,0.5,"X[,7] %in% c('1','2','3') & X[,22] %in% c('0') & X[,27] %in% c('0') & X[,31] %in% c('1','2','3')","'6'","V7,V22,V27,V31"
"derma",1,88,1,0.101960784313725,0.604651162790698,6,9,1,0.5625,"X[,4] %in% c('2','3') & X[,5] %in% c('0') & X[,15] %in% c('0') & X[,20] %in% c('0') & X[,31] %in% c('0','1') & X[,33] %in% c('0','1')","'2'","V4,V5,V15,V20,V31,V33"
"derma",1,127,1,0.196078431372549,1,2,3,0.333333333333333,0.1875,"X[,10] %in% c('0') & X[,33] %in% c('2','3')","'3'","V10,V33"
"derma",1,132,1,0.298039215686275,0.974358974358974,2,4,0.333333333333333,0.25,"X[,22] %in% c('1','2','3') & X[,28] %in% c('0')","'1'","V22,V28"
"derma",1,205,1,0.141176470588235,1,2,4,0.333333333333333,0.25,"X[,6] %in% c('0') & X[,15] %in% c('1','2','3')","'5'","V6,V15"
"derma",1,239,0.978723404255319,0.184313725490196,0.602564102564103,3,6,0.5,0.375,"X[,8] %in% c('0') & X[,14] %in% c('1','2','3') & X[,21] %in% c('2','3')","'1'","V8,V14,V21"
"derma",1,256,1,0.105882352941176,0.794117647058823,3,4,0.5,0.25,"X[,5] %in% c('1','2') & X[,8] %in% c('0') & X[,22] %in% c('0')","'4'","V5,V8,V22"
"derma",1,271,1,0.0431372549019608,0.255813953488372,6,8,1,0.5,"X[,4] %in% c('1') & X[,5] %in% c('0') & X[,7] %in% c('0','1') & X[,26] %in% c('0') & X[,28] %in% c('2','3') & X[,29] %in% c('0')","'2'","V4,V5,V7,V26,V28,V29"
"derma",1,308,1,0.0549019607843137,0.411764705882353,4,5,0.666666666666667,0.3125,"X[,9] %in% c('0') & X[,19] %in% c('0','1') & X[,25] %in% c('0') & X[,26] %in% c('1')","'4'","V9,V19,V25,V26"
"derma",2,53,1,0.0392156862745098,0.294117647058824,4,7,0.666666666666667,0.5,"X[,20] %in% c('0') & X[,26] %in% c('1','2','3') & X[,28] %in% c('2','3') & X[,29] %in% c('0')","'4'","V20,V26,V28,V29"
"derma",2,117,1,0.141176470588235,1,2,4,0.333333333333333,0.285714285714286,"X[,5] %in% c('0') & X[,15] %in% c('1','2','3')","'5'","V5,V15"
"derma",2,123,0.844444444444444,0.176470588235294,1.04651162790698,6,9,1,0.642857142857143,"X[,5] %in% c('0') & X[,15] %in% c('0') & X[,16] %in% c('1','2','3') & X[,24] %in% c('0') & X[,25] %in% c('0') & X[,28] %in% c('2','3')","'2'","V5,V15,V16,V24,V25,V28"
"derma",2,210,1,0.0470588235294118,0.857142857142857,3,5,0.5,0.357142857142857,"X[,7] %in% c('1','2','3') & X[,21] %in% c('0') & X[,34] %in% c('(-Inf,14]')","'6'","V7,V21,V34"
"derma",2,229,1,0.196078431372549,1,1,3,0.166666666666667,0.214285714285714,"X[,29] %in% c('1','2','3')","'3'","V29"
"derma",2,296,1,0.305882352941176,1,3,5,0.5,0.357142857142857,"X[,15] %in% c('0') & X[,21] %in% c('1','2','3') & X[,28] %in% c('0')","'1'","V15,V21,V28"
"derma",2,447,1,0.0941176470588235,0.705882352941177,4,6,0.666666666666667,0.428571428571429,"X[,5] %in% c('1','2','3') & X[,14] %in% c('0') & X[,20] %in% c('0') & X[,29] %in% c('0')","'4'","V5,V14,V20,V29"
"derma",2,449,1,0.0980392156862745,0.581395348837209,5,9,0.833333333333333,0.642857142857143,"X[,4] %in% c('1','2','3') & X[,14] %in% c('1','2','3') & X[,20] %in% c('0') & X[,29] %in% c('0') & X[,31] %in% c('0')","'2'","V4,V14,V20,V29,V31"
"derma",2,490,1,0.0509803921568627,0.382352941176471,3,6,0.5,0.428571428571429,"X[,21] %in% c('0') & X[,26] %in% c('1','2','3') & X[,33] %in% c('0','1')","'4'","V21,V26,V33"
"derma",2,494,1,0.0470588235294118,0.857142857142857,3,4,0.5,0.285714285714286,"X[,12] %in% c('0') & X[,21] %in% c('0') & X[,31] %in% c('2','3')","'6'","V12,V21,V31"
"derma",3,39,1,0.196078431372549,1,1,3,0.166666666666667,0.1875,"X[,27] %in% c('1','2','3')","'3'","V27"
