"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"derma",1,2.3401,6.8211,14.1033,0.538,18.6543,0.012,0.0073,2.6854,NA,NA,NA,NA,NA
"derma",2,2.2287,7.1241,16.6402,5.618,27.3793,0.0124,0.0073,2.8428,NA,NA,NA,NA,NA
"derma",3,2.2315,7.1634,16.3838,0.982,22.2742,0.0124,0.0077,2.8609,NA,NA,NA,NA,NA
"derma",4,2.291,6.8815,15.512,1.137,20.9273,0.0133,0.0073,2.7561,NA,NA,NA,NA,NA
"derma",5,2.2463,7.32,16.3407,0.594,21.9195,0.0125,0.0075,2.9128,NA,NA,NA,NA,NA
"derma",6,2.4329,7.7216,18.6184,1.556,25.3651,0.0128,0.0077,3.0873,NA,NA,NA,NA,NA
"derma",7,2.25,7.0285,16.3524,1.247,22.0861,0.0132,0.0077,2.843,NA,NA,NA,NA,NA
"derma",8,2.1431,7.0986,14.7889,0.615,19.7271,0.0122,0.0074,2.7564,NA,NA,NA,NA,NA
"derma",9,2.5071,7.2505,16.9982,1.594,23.2171,0.0131,0.0075,2.8887,NA,NA,NA,NA,NA
"derma",10,1.9792,6.3167,13.7126,1.047,18.8349,0.0131,0.007,2.5495,NA,NA,NA,NA,NA
