"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"ecoli",1,1.9804,8.1451,20.1236,1.068,21.6405,0.0095,0.0033,3.1823,NA,NA,NA,NA,NA
"ecoli",2,1.8954,8.0052,19.6905,0.862,20.925,0.0085,0.0034,3.2049,NA,NA,NA,NA,NA
"ecoli",3,1.8737,8.3456,20.0357,1.52,21.9711,0.0083,0.0033,3.1944,NA,NA,NA,NA,NA
"ecoli",4,1.8897,8.1965,19.6008,3.124,23.1069,0.0084,0.0034,3.042,NA,NA,NA,NA,NA
"ecoli",5,1.9739,8.1299,19.2382,0.942,20.3914,0.0093,0.0035,3.2315,NA,NA,NA,NA,NA
"ecoli",6,1.8927,8.1011,16.872,1.107,18.4551,0.0082,0.0033,3.2233,NA,NA,NA,NA,NA
"ecoli",7,1.7384,7.4038,18.2668,1.397,19.9347,0.0082,0.0033,3.0053,NA,NA,NA,NA,NA
"ecoli",8,1.8328,7.8953,19.7964,0.865,20.9878,0.0083,0.0034,3.0774,NA,NA,NA,NA,NA
"ecoli",9,2.0174,8.4904,19.5989,1.19,20.7577,0.0086,0.0034,3.4284,NA,NA,NA,NA,NA
"ecoli",10,1.8547,7.6553,20.4234,0.978,21.4154,0.0083,0.0033,2.9709,NA,NA,NA,NA,NA
