"data","iter","RFTree","RFRules","PreSelectedRules","OPTRules","OPTRulesSTEL","IntreesRRFRules","IntreesSTELRules","CART","CBA","RIPPER","C4.5","RCAR","SBRL"
"ecoli",1,100,2345,520,12,11,12,6,5,NA,NA,NA,NA,NA
"ecoli",2,100,2354,518,11,11,22,9,7,NA,NA,NA,NA,NA
"ecoli",3,100,2346,529,12,11,15,10,6,NA,NA,NA,NA,NA
"ecoli",4,100,2340,518,14,14,15,8,9,NA,NA,NA,NA,NA
"ecoli",5,100,2415,508,12,12,18,8,6,NA,NA,NA,NA,NA
"ecoli",6,100,2356,443,11,9,17,8,6,NA,NA,NA,NA,NA
"ecoli",7,100,2243,476,12,12,15,7,5,NA,NA,NA,NA,NA
"ecoli",8,100,2285,514,11,11,17,9,6,NA,NA,NA,NA,NA
"ecoli",9,100,2511,507,14,14,24,11,5,NA,NA,NA,NA,NA
"ecoli",10,100,2301,533,11,11,13,7,8,NA,NA,NA,NA,NA
