"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"heart",1,0.01,0.025,0.9788,0.0265,0.0324,0.4919,"Optimal",52.354,77.6275,818,14
"heart",2,0.01,0.025,0.9788,0.0582,0.0649,0.4973,"Optimal",26.147,53.3649,873,11
"heart",3,0.01,0.025,0.9788,0.0529,0.0595,0.427,"Optimal",232.35,259.8202,894,13
"heart",4,0.01,0.025,0.9788,0.0317,0.0378,0.4919,"Optimal",62.366,89.1148,856,12
"heart",5,0.01,0.025,0.9788,0.0317,0.0378,0.4865,"Optimal",126.818,154.2956,876,13
"heart",6,0.01,0.025,0.9788,0.0476,0.0541,0.3351,"Optimal",67.407,96.733,929,12
"heart",7,0.01,0.025,0.9788,0.0529,0.0595,0.4865,"Optimal",15.572,42.8838,871,11
"heart",8,0.01,0.025,0.9788,0.0317,0.0378,0.4919,"Optimal",159.801,186.484,852,15
"heart",9,0.01,0.025,0.9788,0.0423,0.0486,0.4378,"Optimal",111.028,136.8038,830,13
"heart",10,0.01,0.025,0.9788,0.0423,0.0486,0.4811,"Optimal",171.777,197.6817,829,14
