"data","iter","RFTree","RFRules","PreSelectedRules","OPTRules","OPTRulesSTEL","IntreesRRFRules","IntreesSTELRules","CART","CBA","RIPPER","C4.5","RCAR","SBRL"
"heart",1,100,2429,818,14,14,18,13,6,NA,NA,NA,NA,NA
"heart",2,100,2360,873,11,11,45,18,6,NA,NA,NA,NA,NA
"heart",3,100,2526,894,13,13,37,17,6,NA,NA,NA,NA,NA
"heart",4,100,2283,856,12,12,27,15,6,NA,NA,NA,NA,NA
"heart",5,100,2273,876,13,13,49,18,6,NA,NA,NA,NA,NA
"heart",6,100,2520,929,12,12,40,18,5,NA,NA,NA,NA,NA
"heart",7,100,2361,871,11,11,41,17,8,NA,NA,NA,NA,NA
"heart",8,100,2543,852,15,15,46,23,7,NA,NA,NA,NA,NA
"heart",9,100,2358,830,13,13,32,15,7,NA,NA,NA,NA,NA
"heart",10,100,2500,829,14,14,39,18,7,NA,NA,NA,NA,NA
