"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"indian",1,0.01,0.025,0.9769,0.1495,0.1575,0.4961,"Optimal",80.541,107.4864,421,30
"indian",2,0.01,0.025,0.9772,0.1716,0.1792,0.4987,"Optimal",81.135,107.0638,398,26
"indian",3,0.01,0.025,0.9755,0.1716,0.1809,0.3995,"Optimal",121.267,150.1458,432,25
"indian",4,0.01,0.025,0.9773,0.1569,0.1649,0.4948,"Optimal",39.067,64.6228,391,28
"indian",5,0.01,0.025,0.9755,0.152,0.1608,0.495,"Optimal",27.195,54.1193,399,32
"indian",6,0.01,0.025,0.9754,0.1324,0.1411,0.4937,"Optimal",243.424,272.6132,435,36
"indian",7,0.01,0.025,0.9755,0.1618,0.1709,0.3945,"Optimal",35.313,63.8245,419,25
"indian",8,0.01,0.025,0.9752,0.1814,0.1908,0.4885,"Optimal",30.829,57.6956,401,24
"indian",9,0.01,0.025,0.977,0.1642,0.1728,0.4869,"Optimal",176.328,202.6517,406,28
"indian",10,0.01,0.025,0.9773,0.152,0.1602,0.4083,"Optimal",24.54,56.0822,483,28
