"data","iter","pred_set","pred_sub_set","method","fidelity","fidelity_macroPrecision","fidelity_macroRecall","fidelity_macroF1","fidelity_correct","fidelity_macroPrecision_correct","fidelity_macroRecall_correct","fidelity_macroF1_correct","fidelity_incorrect","fidelity_macroPrecision_incorrect","fidelity_macroRecall_incorrect","fidelity_macroF1_incorrect"
"indian",1,"train","all","PreSelectedRules",0.862745098039216,0.768724696356275,0.851190476190476,0.797159090909091,0.884726224783862,0.802416014726185,0.862825750883392,0.826517348265174,0.737704918032787,0.646270396270396,0.795990566037736,0.646376811594203
"indian",1,"train","covered","PreSelectedRules",0.897435897435897,0.817472460220318,0.870535714285714,0.83974358974359,0.905044510385757,0.833411949685535,0.873108504398827,0.850967385295744,0.849056603773585,0.737179487179487,0.859722222222222,0.770562770562771
"indian",1,"train","notcovered","PreSelectedRules",0.111111111111111,0.111111111111111,0.5,0.2,0.2,0.2,0.5,0.333333333333333,0,0,0,NA
"indian",1,"test","all","PreSelectedRules",0.908571428571429,0.842105263157895,0.898623279098874,0.865539761813292,0.922480620155039,0.833675143560295,0.889234449760766,0.857804232804233,0.869565217391304,0.84990253411306,0.886021505376344,0.860040567951318
"indian",1,"test","covered","PreSelectedRules",0.924418604651163,0.869577790630422,0.908567774936061,0.886973664257191,0.937007874015748,0.866801437556155,0.897904483430799,0.881308411214953,0.888888888888889,0.87037037037037,0.9,0.880382775119617
"indian",1,"test","notcovered","PreSelectedRules",0,0,0,NA,0,0,0,NA,0,0,0,NA
"indian",1,"train","all","OptimalRules",0.889705882352941,0.806567658035474,0.829365079365079,0.817158791017278,0.9164265129683,0.872474289171204,0.839940371024735,0.854859879134034,0.737704918032787,0.646270396270396,0.795990566037736,0.646376811594203
"indian",1,"train","covered","OptimalRules",0.89501312335958,0.812264230027664,0.854121114174351,0.830546166162605,0.927272727272727,0.879699248120301,0.869535305522547,0.874492900608519,0.686274509803922,0.641849529780564,0.763081395348837,0.622222222222222
"indian",1,"train","notcovered","OptimalRules",0.814814814814815,0.814814814814815,0.5,0.897959183673469,0.705882352941177,0.705882352941177,0.5,0.827586206896552,1,1,1,1
"indian",1,"test","all","OptimalRules",0.88,0.813172043010753,0.791614518147685,0.801619433198381,0.914728682170543,0.827064220183486,0.841148325358852,0.833860203723217,0.782608695652174,0.763636363636364,0.718279569892473,0.731934731934732
"indian",1,"test","covered","OptimalRules",0.882352941176471,0.815270364353678,0.800486618004866,0.807518115942029,0.912698412698413,0.826415094339623,0.840383669454009,0.833152762730228,0.795454545454545,0.772727272727273,0.735714285714286,0.748571428571429
"indian",1,"test","notcovered","OptimalRules",0.8,0.8,0.5,0.888888888888889,1,1,1,1,0.5,0.5,0.5,0.666666666666667
"indian",1,"train","all","OPTSTEL",0.850490196078431,0.754106250194057,0.838293650793651,0.781728247809652,0.899135446685879,0.824607843137255,0.865613957597173,0.842569187892929,0.573770491803279,0.592133620689655,0.701650943396226,0.516463414634146
"indian",1,"train","covered","OPTSTEL",0.912806539509537,0.834465921675224,0.8607220412595,0.846700083542189,0.940809968847352,0.906512605042017,0.875780274656679,0.890141758380316,0.717391304347826,0.629817444219067,0.766666666666667,0.623188405797102
"indian",1,"train","notcovered","OPTSTEL",0.292682926829268,0.292682926829268,0.5,0.452830188679245,0.384615384615385,0.384615384615385,0.5,0.555555555555556,0.133333333333333,0.133333333333333,0.5,0.235294117647059
"indian",1,"test","all","OPTSTEL",0.851428571428571,0.764920194309507,0.818523153942428,0.785539215686275,0.868217054263566,0.748055162659123,0.835645933014354,0.778864575980639,0.804347826086957,0.777083333333333,0.786021505376344,0.781068217874141
