"data","iter","id","confidence","support","class_suppport","var_length","levels_length","var_nbr_scaled","levels_nbr_scaled","cond","Ypred","var_used"
"ion",1,9,1,0.0528455284552846,0.147727272727273,3,6,0.5,0.272727272727273,"X[,1] %in% c('1') & X[,9] %in% c('(-Inf,-0.703]','(0.972, Inf]') & X[,15] %in% c('(-Inf,-0.764]','(-0.764,-0.0654]','(-0.0654,0.199]')","'b'","V1,V9,V15"
"ion",1,129,1,0.040650406504065,0.113636363636364,2,5,0.333333333333333,0.227272727272727,"X[,5] %in% c('(-Inf,-0.874]') & X[,6] %in% c('(0.00713,0.307]','(0.307,0.695]','(0.695,0.93]','(0.93, Inf]')","'b'","V5,V6"
"ion",1,146,1,0.0365853658536585,0.102272727272727,5,14,0.833333333333333,0.636363636363636,"X[,4] %in% c('(0.292,0.972]','(0.972, Inf]') & X[,15] %in% c('(-Inf,-0.764]','(0.818, Inf]') & X[,18] %in% c('(0.131,0.541]','(0.541,0.94]','(0.94, Inf]') & X[,25] %in% c('(-Inf,-0.765]','(-0.765,-0.71]','(0.00564,0.883]','(0.883, Inf]') & X[,32] %in% c('(-0.771,-0.561]','(0.123,0.973]','(0.973, Inf]')","'b'","V4,V15,V18,V25,V32"
"ion",1,204,0.976470588235294,0.345528455284553,0.537974683544304,5,15,0.833333333333333,0.681818181818182,"X[,2] %in% c('(0.269,0.808]','(0.808, Inf]') & X[,6] %in% c('(0.00713,0.307]','(0.307,0.695]','(0.695,0.93]','(0.93, Inf]') & X[,20] %in% c('(-Inf,-0.275]','(-0.275,0.201]','(0.815, Inf]') & X[,23] %in% c('(-0.982,-0.622]','(-0.622,-0.0832]','(-0.0832,0.676]','(0.676, Inf]') & X[,31] %in% c('(-0.591,0.206]','(0.206,0.867]')","'g'","V2,V6,V20,V23,V31"
"ion",1,282,1,0.182926829268293,0.511363636363636,2,5,0.333333333333333,0.227272727272727,"X[,6] %in% c('(-Inf,0.00713]') & X[,22] %in% c('(-Inf,-0.667]','(-0.667,0.155]','(0.504,0.986]','(0.986, Inf]')","'b'","V6,V22"
"ion",1,286,0.974683544303797,0.321138211382114,0.5,6,22,1,1,"X[,5] %in% c('(-Inf,-0.874]','(-0.717,-0.0709]','(-0.0709,0.656]','(0.656, Inf]') & X[,6] %in% c('(0.00713,0.307]','(0.307,0.695]','(0.695,0.93]','(0.93, Inf]') & X[,15] %in% c('(-Inf,-0.764]','(-0.0654,0.199]','(0.199,0.818]','(0.818, Inf]') & X[,17] %in% c('(-0.776,0.0407]','(0.0407,0.601]','(0.601, Inf]') & X[,26] %in% c('(-Inf,-0.3]','(-0.3,0.217]','(0.217,0.446]','(0.446,0.962]') & X[,32] %in% c('(-Inf,-0.771]','(-0.771,-0.561]','(0.123,0.973]')","'g'","V5,V6,V15,V17,V26,V32"
"ion",1,329,1,0.0569105691056911,0.159090909090909,3,9,0.5,0.409090909090909,"X[,2] %in% c('(-Inf,-0.336]','(-0.336,0.269]') & X[,4] %in% c('(-Inf,-0.169]','(-0.169,0.292]','(0.972, Inf]') & X[,6] %in% c('(0.00713,0.307]','(0.307,0.695]','(0.695,0.93]','(0.93, Inf]')","'b'","V2,V4,V6"
"ion",1,472,0.962962962962963,0.219512195121951,0.341772151898734,6,20,1,0.909090909090909,"X[,2] %in% c('(0.269,0.808]','(0.808, Inf]') & X[,5] %in% c('(-0.874,-0.717]','(-0.717,-0.0709]','(-0.0709,0.656]','(0.656, Inf]') & X[,6] %in% c('(0.00713,0.307]','(0.307,0.695]','(0.695,0.93]','(0.93, Inf]') & X[,7] %in% c('(-0.888,-0.0833]','(-0.0833,-0.0805]','(-0.0805,0.86]','(0.86, Inf]') & X[,15] %in% c('(-0.764,-0.0654]','(-0.0654,0.199]','(0.199,0.818]','(0.818, Inf]') & X[,29] %in% c('(-Inf,-0.909]','(-0.909,-0.156]')","'g'","V2,V5,V6,V7,V15,V29"
"ion",1,474,0.974683544303797,0.321138211382114,0.5,5,15,0.833333333333333,0.681818181818182,"X[,9] %in% c('(-0.703,0.0204]','(0.0204,0.88]','(0.88,0.972]') & X[,22] %in% c('(0.155,0.504]','(0.504,0.986]') & X[,28] %in% c('(-0.835,0.091]','(0.091,0.861]','(0.861, Inf]') & X[,29] %in% c('(-Inf,-0.909]','(-0.156,0.687]','(0.687, Inf]') & X[,30] %in% c('(-0.644,0.324]','(0.324,0.824]','(0.824,0.992]','(0.992, Inf]')","'g'","V9,V22,V28,V29,V30"
"ion",1,506,1,0.0487804878048781,0.136363636363636,3,9,0.5,0.409090909090909,"X[,4] %in% c('(-Inf,-0.169]','(-0.169,0.292]') & X[,6] %in% c('(0.00713,0.307]','(0.307,0.695]','(0.695,0.93]','(0.93, Inf]') & X[,27] %in% c('(-Inf,-0.945]','(-0.945,-0.322]','(0.73, Inf]')","'b'","V4,V6,V27"
