"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"ion",1,2.4066,6.7708,9.5734,462.615,484.7932,0.0122,0.0087,2.8543,NA,NA,NA,NA,NA
"ion",2,2.4246,7.45,10.6426,389.897,413.6171,0.0126,0.0089,3.21,NA,NA,NA,NA,NA
"ion",3,2.3327,7.0283,10.0377,170.462,193.8046,0.0352,0.0084,3.0854,NA,NA,NA,NA,NA
"ion",4,2.5824,7.2541,9.9449,42.803,66.4342,0.0136,0.0097,2.9563,NA,NA,NA,NA,NA
"ion",5,2.2023,6.596,9.9725,117.34,140.2294,0.0128,0.0085,2.7081,NA,NA,NA,NA,NA
"ion",6,2.2866,6.8477,10.1953,101.249,125.0081,0.0142,0.0082,2.9105,NA,NA,NA,NA,NA
"ion",7,2.2893,7.2485,11.5038,93.117,116.2912,0.0121,0.008,3.0091,NA,NA,NA,NA,NA
"ion",8,2.665,7.1351,12.1149,18.373,40.8411,0.0129,0.0087,2.9401,NA,NA,NA,NA,NA
"ion",9,2.569,7.1174,10.2789,231.612,255.2266,0.0124,0.0089,2.9194,NA,NA,NA,NA,NA
"ion",10,2.3917,7.3278,10.5013,182.615,207.0197,0.0128,0.0084,3.4228,NA,NA,NA,NA,NA
