"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max"
"ion",1,"RF",5.42,1,4,5,7,12
"ion",1,"CART",2.25,1,1.75,2.5,3,3
"ion",1,"PreSelectedRules",4.22,1,3,4,5,6
"ion",1,"OptimalRules",4,2,3,4,5,6
"ion",1,"OPTSTEL",4.11,2,3,5,5,6
"ion",1,"IntreesRRFVote",2.22,1,1,2,3,4
"ion",1,"IntreesVote",2.33,1,2,2,2.75,4
"ion",1,"IntreesSTEL",2.33,1,2,2,2.75,4
"ion",2,"RF",5.24,1,4,5,6,12
"ion",2,"CART",2.25,1,1.75,2.5,3,3
"ion",2,"PreSelectedRules",4.39,1,4,4,5,6
"ion",2,"OptimalRules",4.3,3,3.25,4,5,6
"ion",2,"OPTSTEL",4.3,3,3.25,4,5,6
"ion",2,"IntreesRRFVote",2.1,1,2,2,2,4
"ion",2,"IntreesVote",2.29,2,2,2,2,4
"ion",2,"IntreesSTEL",2.29,2,2,2,2,4
"ion",3,"RF",5.21,1,4,5,6,12
"ion",3,"CART",2.6,1,3,3,3,3
"ion",3,"PreSelectedRules",4.25,1,3,4,5,6
"ion",3,"OptimalRules",3.75,3,3,3.5,4.25,5
"ion",3,"OPTSTEL",3.75,3,3,3.5,4.25,5
"ion",3,"IntreesRRFVote",2.29,1,1,2,3,4
"ion",3,"IntreesVote",1.88,1,1,1.5,2.25,4
"ion",3,"IntreesSTEL",1.88,1,1,1.5,2.25,4
"ion",4,"RF",5.56,1,4,5,7,13
"ion",4,"CART",2.83,1,2.25,3,3.75,4
"ion",4,"PreSelectedRules",4.26,1,3,4,5,6
"ion",4,"OptimalRules",4.44,2,4,4,5,6
"ion",4,"OPTSTEL",4.44,2,4,4,5,6
"ion",4,"IntreesRRFVote",2.09,1,1.5,2,3,3
"ion",4,"IntreesVote",2.33,1,2,2.5,3,3
"ion",4,"IntreesSTEL",2.33,1,2,2.5,3,3
"ion",5,"RF",5.25,1,4,5,7,11
"ion",5,"CART",2.25,1,1.75,2.5,3,3
"ion",5,"PreSelectedRules",4.11,1,3,4,5,6
"ion",5,"OptimalRules",4.38,3,3.75,4.5,5,6
"ion",5,"OPTSTEL",4.38,3,3.75,4.5,5,6
"ion",5,"IntreesRRFVote",2.36,1,1,2,3.5,4
"ion",5,"IntreesVote",2,1,1,1.5,2.75,4
"ion",5,"IntreesSTEL",2,1,1,1.5,2.75,4
"ion",6,"RF",5.27,1,4,5,7,13
"ion",6,"CART",2.25,1,1.75,2.5,3,3
"ion",6,"PreSelectedRules",4.19,1,3,4,5,6
"ion",6,"OptimalRules",4.33,2,3,5,5,6
"ion",6,"OPTSTEL",4.33,2,3,5,5,6
"ion",6,"IntreesRRFVote",2.25,1,1.75,2,3,5
"ion",6,"IntreesVote",2.75,2,2,2.5,3,5
"ion",6,"IntreesSTEL",2.75,2,2,2.5,3,5
"ion",7,"RF",5.03,1,4,5,6,12
"ion",7,"CART",2.25,1,1.75,2.5,3,3
"ion",7,"PreSelectedRules",4.29,1,3,4,5,6
"ion",7,"OptimalRules",4,2,3,4,5,6
"ion",7,"OPTSTEL",4,2,3,4,5,6
"ion",7,"IntreesRRFVote",2.57,1,1.25,2.5,3.75,5
"ion",7,"IntreesVote",2.88,1,1.75,3,4,5
"ion",7,"IntreesSTEL",2.88,1,1.75,3,4,5
"ion",8,"RF",5.23,1,4,5,7,12
"ion",8,"CART",2.25,1,1.75,2.5,3,3
"ion",8,"PreSelectedRules",4.25,1,3,4,5,6
"ion",8,"OptimalRules",3.75,2,2.75,3.5,5,6
"ion",8,"OPTSTEL",3.75,2,2.75,3.5,5,6
"ion",8,"IntreesRRFVote",2.44,1,1.75,2.5,3,4
"ion",8,"IntreesVote",2.62,1,2,2.5,3.25,4
"ion",8,"IntreesSTEL",2.62,1,2,2.5,3.25,4
"ion",9,"RF",5.48,1,4,5,7,13
"ion",9,"CART",3.33,1,2.25,3.5,4.75,5
"ion",9,"PreSelectedRules",4.17,1,3,4,5,6
"ion",9,"OptimalRules",3,2,2,3,3,5
"ion",9,"OPTSTEL",3,2,2,3,3.25,5
"ion",9,"IntreesRRFVote",2.1,1,1,1.5,3,4
"ion",9,"IntreesVote",2.4,1,1,3,3,4
"ion",9,"IntreesSTEL",2.4,1,1,3,3,4
"ion",10,"RF",5.23,1,4,5,6,11
"ion",10,"CART",3,1,3,3,3.75,4
"ion",10,"PreSelectedRules",4.35,1,3,4,5,6
"ion",10,"OptimalRules",4,2,3,3,6,6
"ion",10,"OPTSTEL",4.12,2,3,3.5,6,6
"ion",10,"IntreesRRFVote",2.67,1,2,3,3,4
"ion",10,"IntreesVote",2.62,2,2,2.5,3,4
"ion",10,"IntreesSTEL",2.62,2,2,2.5,3,4
