"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max"
"mammographic",1,"RF",4.21,2,4,4,5,5
"mammographic",1,"CART",2.8,1,2,3,4,4
"mammographic",1,"PreSelectedRules",4.13,2,4,4,5,5
"mammographic",1,"OptimalRules",3.7,2,3,3.5,5,5
"mammographic",1,"OPTSTEL",3.7,2,3,3.5,5,5
"mammographic",1,"IntreesRRFVote",1.9,1,1.25,2,2,3
"mammographic",1,"IntreesVote",1.89,1,1,2,2,3
"mammographic",1,"IntreesSTEL",1.89,1,1,2,2,3
"mammographic",2,"RF",4.19,1,4,4,5,5
"mammographic",2,"CART",2.25,1,1.75,2.5,3,3
"mammographic",2,"PreSelectedRules",4.19,1,4,4,5,5
"mammographic",2,"OptimalRules",3.1,1,3,3,3.75,4
"mammographic",2,"OPTSTEL",3,1,3,3,3,4
"mammographic",2,"IntreesRRFVote",1.56,1,1,2,2,2
"mammographic",2,"IntreesVote",1.57,1,1,2,2,2
"mammographic",2,"IntreesSTEL",1.57,1,1,2,2,2
"mammographic",3,"RF",4.18,1,4,4,5,5
"mammographic",3,"CART",2.25,1,1.75,2.5,3,3
"mammographic",3,"PreSelectedRules",4.04,2,4,4,5,5
"mammographic",3,"OptimalRules",2.9,2,3,3,3,3
"mammographic",3,"OPTSTEL",2.9,2,3,3,3,3
"mammographic",3,"IntreesRRFVote",1.8,1,1,1.5,2,4
"mammographic",3,"IntreesVote",1.57,1,1,1,2,3
"mammographic",3,"IntreesSTEL",1.57,1,1,1,2,3
"mammographic",4,"RF",4.22,1,4,4,5,5
"mammographic",4,"CART",2.25,1,1.75,2.5,3,3
"mammographic",4,"PreSelectedRules",4.12,1,4,4,5,5
"mammographic",4,"OptimalRules",2.82,1,2,3,3.5,5
"mammographic",4,"OPTSTEL",2.82,1,2,3,3.5,5
"mammographic",4,"IntreesRRFVote",2,1,1.75,2,2.25,3
"mammographic",4,"IntreesVote",1.86,1,1.5,2,2,3
"mammographic",4,"IntreesSTEL",1.86,1,1.5,2,2,3
"mammographic",5,"RF",4.21,1,4,4,5,5
"mammographic",5,"CART",1.67,1,1.5,2,2,2
"mammographic",5,"PreSelectedRules",4.26,2,4,4,5,5
"mammographic",5,"OptimalRules",3.2,2,3,3,3.75,4
"mammographic",5,"OPTSTEL",3.11,2,3,3,3,4
"mammographic",5,"IntreesRRFVote",2.2,2,2,2,2,3
"mammographic",5,"IntreesVote",2.33,2,2,2,2.5,3
"mammographic",5,"IntreesSTEL",2.33,2,2,2,2.5,3
"mammographic",6,"RF",4.11,2,4,4,5,5
"mammographic",6,"CART",1.67,1,1.5,2,2,2
"mammographic",6,"PreSelectedRules",4,2,3,4,5,5
"mammographic",6,"OptimalRules",3,2,2,3,4,4
"mammographic",6,"OPTSTEL",3.17,2,2.25,3.5,4,4
"mammographic",6,"IntreesRRFVote",2.25,1,1.75,2,2.25,5
"mammographic",6,"IntreesVote",1.6,1,1,2,2,2
"mammographic",6,"IntreesSTEL",1.6,1,1,2,2,2
"mammographic",7,"RF",4.26,2,4,4,5,5
"mammographic",7,"CART",2.8,1,2,3,4,4
"mammographic",7,"PreSelectedRules",4.23,2,4,4,5,5
"mammographic",7,"OptimalRules",3.64,2,3,4,4,5
"mammographic",7,"OPTSTEL",3.64,2,3,4,4,5
"mammographic",7,"IntreesRRFVote",2.11,1,2,2,2,3
"mammographic",7,"IntreesVote",2,1,2,2,2,3
"mammographic",7,"IntreesSTEL",2,1,2,2,2,3
"mammographic",8,"RF",4.22,1,4,4,5,5
"mammographic",8,"CART",2.25,1,1.75,2.5,3,3
"mammographic",8,"PreSelectedRules",4.1,2,3,4,5,5
"mammographic",8,"OptimalRules",2.9,2,2.25,3,3,5
"mammographic",8,"OPTSTEL",2.89,2,2,3,3,5
"mammographic",8,"IntreesRRFVote",1.75,1,1,2,2,3
"mammographic",8,"IntreesVote",1.4,1,1,1,2,2
"mammographic",8,"IntreesSTEL",1.4,1,1,1,2,2
"mammographic",9,"RF",4.24,1,4,4,5,5
"mammographic",9,"CART",2.8,1,2,3,4,4
"mammographic",9,"PreSelectedRules",4.16,1,4,4,5,5
"mammographic",9,"OptimalRules",3,1,2.5,3,4,4
"mammographic",9,"OPTSTEL",3,1,2.5,3,4,4
"mammographic",9,"IntreesRRFVote",1.71,1,1,1,2.5,3
"mammographic",9,"IntreesVote",1.75,1,1,1.5,2.25,3
"mammographic",9,"IntreesSTEL",1.75,1,1,1.5,2.25,3
"mammographic",10,"RF",4.19,2,4,4,5,5
"mammographic",10,"CART",2.8,1,2,3,4,4
"mammographic",10,"PreSelectedRules",4.11,2,4,4,5,5
"mammographic",10,"OptimalRules",3.2,2,3,3,3.75,5
"mammographic",10,"OPTSTEL",3.11,2,3,3,3,5
"mammographic",10,"IntreesRRFVote",2.29,1,2,2,2.5,4
"mammographic",10,"IntreesVote",1.67,1,1.5,2,2,2
"mammographic",10,"IntreesSTEL",1.67,1,1.5,2,2,2
