"data","iter","id","confidence","support","class_suppport","var_length","levels_length","var_nbr_scaled","levels_nbr_scaled","cond","Ypred","var_used"
"mushroom",1,43,1,0.447160189906805,0.863204344874406,4,18,0.666666666666667,0.529411764705882,"X[,5] %in% c('a','l','n') & X[,15] %in% c('g','n','o','p','w') & X[,18] %in% c('n','o') & X[,20] %in% c('b','h','k','n','o','r','u','y')","'e'","V5,V15,V18,V20"
"mushroom",1,44,1,0.467030068577457,0.968989419919737,1,6,0.166666666666667,0.176470588235294,"X[,5] %in% c('c','f','m','p','s','y')","'p'","V5"
"mushroom",1,82,1,0.483383154563038,0.933129667345553,3,16,0.5,0.470588235294118,"X[,8] %in% c('b') & X[,15] %in% c('b','e','g','n','o','p','w','y') & X[,20] %in% c('b','k','n','o','u','w','y')","'e'","V8,V15,V20"
"mushroom",2,7,1,0.465447511869175,0.965705946734768,1,6,0.166666666666667,0.157894736842105,"X[,5] %in% c('c','f','m','p','s','y')","'p'","V5"
"mushroom",2,304,1,0.446105152101284,0.861167684996606,3,12,0.5,0.315789473684211,"X[,5] %in% c('a','l','n') & X[,18] %in% c('o') & X[,20] %in% c('b','h','k','n','o','r','u','y')","'e'","V5,V18,V20"
"mushroom",2,336,1,0.482503956391771,0.931432450780719,3,10,0.5,0.263157894736842,"X[,8] %in% c('b') & X[,18] %in% c('o','t') & X[,20] %in% c('b','k','n','o','u','w','y')","'e'","V8,V18,V20"
"mushroom",3,26,1,0.466326710040443,0.967530098504196,1,6,0.166666666666667,0.162162162162162,"X[,5] %in% c('c','f','m','p','s','y')","'p'","V5"
"mushroom",3,27,0.997896950578339,0.501670476525409,0.968431771894094,4,17,0.666666666666667,0.459459459459459,"X[,5] %in% c('a','l','n') & X[,12] %in% c('f','s','y') & X[,17] %in% c('n','o','w') & X[,20] %in% c('b','h','k','n','o','u','w','y')","'e'","V5,V12,V17,V20"
"mushroom",3,182,1,0.482679796026024,0.931771894093686,3,12,0.5,0.324324324324324,"X[,5] %in% c('a','l','n') & X[,8] %in% c('b') & X[,20] %in% c('b','h','k','n','o','u','w','y')","'e'","V5,V8,V20"
"mushroom",4,34,1,0.482152277123264,0.930753564154786,3,10,0.5,0.27027027027027,"X[,8] %in% c('b') & X[,18] %in% c('o','t') & X[,20] %in% c('b','k','n','o','u','w','y')","'e'","V8,V18,V20"
