"data","iter","id","confidence","support","class_suppport","var_length","levels_length","var_nbr_scaled","levels_nbr_scaled","cond","Ypred","var_used"
"mutagenesis",1,24,0.631205673758865,0.124448367166814,0.187749667110519,4,8,0.666666666666667,0.571428571428571,"X[,2] %in% c('(-0.432,0.192]','(0.192,0.914]','(0.914, Inf]') & X[,3] %in% c('(2,34.2]','(34.2,62.9]','(113, Inf]') & X[,8] %in% c('0') & X[,10] %in% c('1')","'1'","V2,V3,V8,V10"
"mutagenesis",1,62,0.71830985915493,0.75198587819947,1.13448735019973,3,6,0.5,0.428571428571429,"X[,2] %in% c('(-0.758,-0.432]','(-0.432,0.192]') & X[,3] %in% c('(2,34.2]','(34.2,62.9]','(113, Inf]') & X[,10] %in% c('0')","'1'","V2,V3,V10"
"mutagenesis",1,201,0.644067796610169,0.10414827890556,0.308900523560209,2,6,0.333333333333333,0.428571428571429,"X[,2] %in% c('(-Inf,-0.758]','(-0.758,-0.432]','(0.192,0.914]','(0.914, Inf]') & X[,3] %in% c('(-Inf,2]','(2,34.2]')","'0'","V2,V3"
"mutagenesis",2,48,0.708585247883918,0.729920564872021,1.10119840213049,3,4,0.5,0.285714285714286,"X[,2] %in% c('(-0.432,0.192]') & X[,3] %in% c('(2,34.2]','(34.2,62.9]') & X[,10] %in% c('0')","'1'","V2,V3,V10"
"mutagenesis",2,65,0.712230215827338,0.490732568402471,0.74034620505992,5,12,0.833333333333333,0.857142857142857,"X[,1] %in% c('(230,951]','(951,1.04e+03]','(1.04e+03,1.7e+03]','(1.7e+03, Inf]') & X[,2] %in% c('(-0.758,-0.432]','(-0.432,0.192]') & X[,3] %in% c('(-Inf,2]','(2,34.2]','(34.2,62.9]','(113, Inf]') & X[,8] %in% c('0') & X[,10] %in% c('0')","'1'","V1,V2,V3,V8,V10"
"mutagenesis",2,164,0.782608695652174,0.0203000882612533,0.0602094240837696,2,3,0.333333333333333,0.214285714285714,"X[,2] %in% c('(-Inf,-0.758]','(-0.758,-0.432]') & X[,11] %in% c('0')","'0'","V2,V11"
"mutagenesis",2,169,0.649006622516556,0.133274492497793,0.201065246338216,2,4,0.333333333333333,0.285714285714286,"X[,2] %in% c('(-0.432,0.192]','(0.192,0.914]','(0.914, Inf]') & X[,10] %in% c('1')","'1'","V2,V10"
"mutagenesis",2,226,0.606741573033708,0.0785525154457193,0.232984293193717,4,7,0.666666666666667,0.5,"X[,2] %in% c('(-Inf,-0.758]','(0.192,0.914]','(0.914, Inf]') & X[,3] %in% c('(-Inf,2]','(2,34.2]') & X[,10] %in% c('0') & X[,11] %in% c('0')","'0'","V2,V3,V10,V11"
"mutagenesis",3,37,0.785714285714286,0.0247131509267432,0.0732984293193717,2,3,0.333333333333333,0.214285714285714,"X[,2] %in% c('(-Inf,-0.758]','(-0.758,-0.432]') & X[,11] %in% c('0')","'0'","V2,V11"
"mutagenesis",3,64,0.722304283604136,0.597528684907326,0.901464713715047,4,7,0.666666666666667,0.5,"X[,2] %in% c('(-0.432,0.192]','(0.914, Inf]') & X[,3] %in% c('(2,34.2]','(34.2,62.9]','(113, Inf]') & X[,4] %in% c('0') & X[,11] %in% c('0')","'1'","V2,V3,V4,V11"
