"data","iter","RFTree","RFRules","PreSelectedRules","OPTRules","OPTRulesSTEL","IntreesRRFRules","IntreesSTELRules","CART","CBA","RIPPER","C4.5","RCAR","SBRL"
"mutagenesis",1,100,1525,228,3,3,9,5,3,NA,NA,NA,NA,NA
"mutagenesis",2,100,1744,238,5,5,15,8,3,NA,NA,NA,NA,NA
"mutagenesis",3,100,1702,228,4,4,14,8,3,NA,NA,NA,NA,NA
"mutagenesis",4,100,1646,219,4,4,13,7,3,NA,NA,NA,NA,NA
"mutagenesis",5,100,1607,246,3,3,17,8,4,NA,NA,NA,NA,NA
"mutagenesis",6,100,1636,218,4,4,12,4,3,NA,NA,NA,NA,NA
"mutagenesis",7,100,1519,204,4,4,13,4,4,NA,NA,NA,NA,NA
"mutagenesis",8,100,1740,250,4,3,18,8,4,NA,NA,NA,NA,NA
"mutagenesis",9,100,1687,238,4,3,14,5,5,NA,NA,NA,NA,NA
"mutagenesis",10,100,1578,240,3,1,11,6,3,NA,NA,NA,NA,NA
