"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"newthyroid",1,0.01,0.025,0.98,0.04,0.0476,0.4966,"Optimal",0.356,8.4533,324,5
"newthyroid",2,0.01,0.025,0.9867,0.04,0.0473,0.5,"Optimal",0.551,7.4006,276,6
"newthyroid",3,0.01,0.025,0.98,0.0467,0.0544,0.4626,"Optimal",0.47,8.5434,327,6
"newthyroid",4,0.01,0.025,0.9867,0.0267,0.0338,0.4257,"Optimal",0.542,7.8641,297,5
"newthyroid",5,0.01,0.025,0.98,0.0267,0.034,0.4966,"Optimal",0.282,6.9559,269,5
"newthyroid",6,0.01,0.025,0.98,0.04,0.0476,0.4898,"Optimal",0.823,9.1664,333,6
"newthyroid",7,0.01,0.025,0.98,0.0333,0.0408,0.3333,"Optimal",0.227,7.8052,306,5
"newthyroid",8,0.01,0.025,0.98,0.02,0.0204,0.4626,"Optimal",0.625,7.7446,288,6
"newthyroid",9,0.01,0.025,0.98,0.0267,0.034,0.4762,"Optimal",0.133,7.4015,297,6
"newthyroid",10,0.01,0.025,0.98,0.0267,0.0272,0.483,"Optimal",0.87,7.7928,280,6
