"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max"
"pageblocks",1,"RF",6.14,2,5,6,7,10
"pageblocks",1,"CART",3.82,3,4,4,4,4
"pageblocks",1,"PreSelectedRules",4.59,2,4,5,6,6
"pageblocks",1,"OptimalRules",3.38,2,2,3,4.25,6
"pageblocks",1,"OPTSTEL",3.83,2,3,3.5,4.75,6
"pageblocks",1,"IntreesRRFVote",2.4,1,1.25,2,3.75,4
"pageblocks",1,"IntreesVote",2.2,1,1,2,3,4
"pageblocks",1,"IntreesSTEL",2.2,1,1,2,3,4
"pageblocks",2,"RF",6.06,1,5,6,7,10
"pageblocks",2,"CART",3.62,2,3.75,4,4,4
"pageblocks",2,"PreSelectedRules",4.57,1,4,5,5,6
"pageblocks",2,"OptimalRules",3.5,1,2,3,5.25,6
"pageblocks",2,"OPTSTEL",3.57,1,2,3,5.5,6
"pageblocks",2,"IntreesRRFVote",2,1,1.25,2,2.75,3
"pageblocks",2,"IntreesVote",2,1,1.75,2,2.25,3
"pageblocks",2,"IntreesSTEL",2,1,1.75,2,2.25,3
"pageblocks",3,"RF",6.15,1,5,6,7,10
"pageblocks",3,"CART",3.82,3,4,4,4,4
"pageblocks",3,"PreSelectedRules",4.59,1,4,5,6,6
"pageblocks",3,"OptimalRules",4.12,2,4,4,4.25,6
"pageblocks",3,"OPTSTEL",4.14,2,4,4,4.5,6
"pageblocks",3,"IntreesRRFVote",2.33,1,2,2,3,4
"pageblocks",3,"IntreesVote",2.2,1,2,2,3,3
"pageblocks",3,"IntreesSTEL",2.2,1,2,2,3,3
"pageblocks",4,"RF",6.08,1,5,6,7,10
"pageblocks",4,"CART",3.82,3,4,4,4,4
"pageblocks",4,"PreSelectedRules",4.45,1,4,5,5,6
"pageblocks",4,"OptimalRules",3.33,2,2.25,3,3.75,6
"pageblocks",4,"OPTSTEL",3.33,2,2.25,3,3.75,6
"pageblocks",4,"IntreesRRFVote",2.17,1,1.25,2.5,3,3
"pageblocks",4,"IntreesVote",2.2,1,1,3,3,3
"pageblocks",4,"IntreesSTEL",2.2,1,1,3,3,3
"pageblocks",5,"RF",5.98,1,5,6,7,10
"pageblocks",5,"CART",4.61,3,4,4.5,5,6
"pageblocks",5,"PreSelectedRules",4.54,1,4,5,5,6
"pageblocks",5,"OptimalRules",3.78,1,2,5,5,6
"pageblocks",5,"OPTSTEL",3.86,1,2.5,5,5,6
"pageblocks",5,"IntreesRRFVote",1.85,1,1,2,2,4
"pageblocks",5,"IntreesVote",1.6,1,1,2,2,2
"pageblocks",5,"IntreesSTEL",1.6,1,1,2,2,2
"pageblocks",6,"RF",6.05,2,5,6,7,10
"pageblocks",6,"CART",4.56,3,4,4,5.25,6
"pageblocks",6,"PreSelectedRules",4.49,2,4,5,5,6
"pageblocks",6,"OptimalRules",4,2,3,4,5,6
"pageblocks",6,"OPTSTEL",4.22,2,3,4,5,6
"pageblocks",6,"IntreesRRFVote",2.33,1,2,2.5,3,3
"pageblocks",6,"IntreesVote",2.25,1,1.75,2.5,3,3
"pageblocks",6,"IntreesSTEL",2.25,1,1.75,2.5,3,3
"pageblocks",7,"RF",5.97,1,5,6,7,10
"pageblocks",7,"CART",3.8,3,4,4,4,4
"pageblocks",7,"PreSelectedRules",4.5,1,4,5,5,6
"pageblocks",7,"OptimalRules",4.89,3,5,5,6,6
"pageblocks",7,"OPTSTEL",4.89,3,5,5,6,6
"pageblocks",7,"IntreesRRFVote",2.25,1,1,2.5,3,4
"pageblocks",7,"IntreesVote",2.33,1,1.25,2.5,3,4
"pageblocks",7,"IntreesSTEL",2.33,1,1.25,2.5,3,4
"pageblocks",8,"RF",6.13,2,5,6,7,10
"pageblocks",8,"CART",4.31,3,4,4,5,6
"pageblocks",8,"PreSelectedRules",4.45,2,4,4,5,6
"pageblocks",8,"OptimalRules",4.25,2,2.75,4.5,6,6
"pageblocks",8,"OPTSTEL",4.38,2,2.75,5,6,6
"pageblocks",8,"IntreesRRFVote",1.9,1,1,1.5,2.75,4
"pageblocks",8,"IntreesVote",1.75,1,1,1.5,2.25,3
"pageblocks",8,"IntreesSTEL",1.75,1,1,1.5,2.25,3
"pageblocks",9,"RF",6.14,1,5,6,7,10
"pageblocks",9,"CART",3.91,3,3.5,4,4,5
"pageblocks",9,"PreSelectedRules",4.56,1,4,5,5,6
"pageblocks",9,"OptimalRules",3.7,1,2.25,4,4.75,6
"pageblocks",9,"OPTSTEL",4.12,2,3.5,4,5.25,6
"pageblocks",9,"IntreesRRFVote",2.38,1,2,2.5,3,3
"pageblocks",9,"IntreesVote",2.5,2,2,2.5,3,3
"pageblocks",9,"IntreesSTEL",2.5,2,2,2.5,3,3
"pageblocks",10,"RF",6.05,1,5,6,7,10
"pageblocks",10,"CART",4.23,3,4,4,5,6
"pageblocks",10,"PreSelectedRules",4.58,1,4,5,5,6
"pageblocks",10,"OptimalRules",4.11,1,3,5,5,6
"pageblocks",10,"OPTSTEL",4.38,1,4.5,5,5,6
"pageblocks",10,"IntreesRRFVote",2.22,1,2,2,3,3
"pageblocks",10,"IntreesVote",2.33,1,1.5,3,3,3
"pageblocks",10,"IntreesSTEL",2.33,1,1.5,3,3,3
