"data","iter","id","confidence","support","class_suppport","var_length","levels_length","var_nbr_scaled","levels_nbr_scaled","cond","Ypred","var_used"
"phoneme",1,35,0.770491803278688,0.0161247687020883,0.054954954954955,3,9,0.6,0.5625,"X[,1] %in% c('(-Inf,-1.09]','(-1.09,-1]','(-1,-0.484]','(-0.484,0.796]') & X[,2] %in% c('(-Inf,-2.28]','(-0.497,1.45]','(1.45, Inf]') & X[,4] %in% c('(1.63,1.88]','(1.88, Inf]')","'2'","V1,V2,V4"
"phoneme",1,40,0.950617283950617,0.021411578112609,0.072972972972973,5,12,1,0.75,"X[,1] %in% c('(-0.484,0.796]') & X[,2] %in% c('(-2.28,-1.82]','(-1.82,-0.497]') & X[,3] %in% c('(0.0182,1.34]','(1.34,1.45]','(1.45, Inf]') & X[,4] %in% c('(-1.98,-0.318]','(-0.318,1.63]') & X[,5] %in% c('(-Inf,-2.06]','(-2.06,-1]','(-1,-0.044]','(2.41, Inf]')","'2'","V1,V2,V3,V4,V5"
"phoneme",1,108,0.764044943820225,0.0470526037536347,0.16036036036036,4,9,0.8,0.5625,"X[,1] %in% c('(-Inf,-1.09]','(-1.09,-1]','(-1,-0.484]','(-0.484,0.796]') & X[,2] %in% c('(-1.82,-0.497]') & X[,3] %in% c('(0.0182,1.34]') & X[,5] %in% c('(-Inf,-2.06]','(-0.044,2.41]','(2.41, Inf]')","'2'","V1,V2,V3,V5"
"phoneme",1,123,0.739910313901345,0.0589479249273064,0.083426861204639,4,8,0.8,0.5,"X[,1] %in% c('(-Inf,-1.09]','(-1.09,-1]','(-1,-0.484]') & X[,2] %in% c('(-0.497,1.45]') & X[,3] %in% c('(0.0182,1.34]','(1.34,1.45]','(1.45, Inf]') & X[,4] %in% c('(-0.318,1.63]')","'1'","V1,V2,V3,V4"
"phoneme",1,126,0.862944162436548,0.0520750726936294,0.177477477477477,3,6,0.6,0.375,"X[,1] %in% c('(-0.484,0.796]') & X[,2] %in% c('(-1.82,-0.497]') & X[,3] %in% c('(-Inf,-1.63]','(0.0182,1.34]','(1.34,1.45]','(1.45, Inf]')","'2'","V1,V2,V3"
"phoneme",1,140,0.716312056737589,0.0372720063441713,0.127027027027027,3,4,0.6,0.25,"X[,2] %in% c('(-1.82,-0.497]') & X[,4] %in% c('(-0.318,1.63]','(1.63,1.88]') & X[,5] %in% c('(-2.06,-1]')","'2'","V2,V4,V5"
"phoneme",1,171,0.837239583333333,0.203013481363997,0.287317620650954,3,5,0.6,0.3125,"X[,1] %in% c('(-1.09,-1]','(-1,-0.484]','(-0.484,0.796]') & X[,4] %in% c('(-1.98,-0.318]') & X[,5] %in% c('(-1,-0.044]')","'1'","V1,V4,V5"
"phoneme",1,267,0.605882352941176,0.0449378799894264,0.153153153153153,5,11,1,0.6875,"X[,1] %in% c('(-Inf,-1.09]','(-1.09,-1]','(-1,-0.484]','(-0.484,0.796]') & X[,2] %in% c('(-1.82,-0.497]') & X[,3] %in% c('(-1.63,0.0182]') & X[,4] %in% c('(-0.318,1.63]') & X[,5] %in% c('(-Inf,-2.06]','(-2.06,-1]','(-0.044,2.41]','(2.41, Inf]')","'2'","V1,V2,V3,V4,V5"
"phoneme",1,271,0.666666666666667,0.0293417922283902,0.1,5,12,1,0.75,"X[,1] %in% c('(-1.09,-1]','(-0.484,0.796]') & X[,2] %in% c('(-0.497,1.45]') & X[,3] %in% c('(-Inf,-1.63]','(0.0182,1.34]','(1.34,1.45]','(1.45, Inf]') & X[,4] %in% c('(-0.318,1.63]') & X[,5] %in% c('(-Inf,-2.06]','(-2.06,-1]','(-0.044,2.41]','(2.41, Inf]')","'2'","V1,V2,V3,V4,V5"
"phoneme",1,288,0.652173913043478,0.0364789849325932,0.124324324324324,5,13,1,0.8125,"X[,1] %in% c('(-1,-0.484]') & X[,2] %in% c('(-1.82,-0.497]') & X[,3] %in% c('(-Inf,-1.63]','(0.0182,1.34]','(1.34,1.45]','(1.45, Inf]') & X[,4] %in% c('(-Inf,-1.98]','(-1.98,-0.318]','(-0.318,1.63]','(1.88, Inf]') & X[,5] %in% c('(-Inf,-2.06]','(-0.044,2.41]','(2.41, Inf]')","'2'","V1,V2,V3,V4,V5"
"phoneme",1,359,0.947856315179606,0.22812582606397,0.322858211747101,2,2,0.4,0.125,"X[,3] %in% c('(-1.63,0.0182]') & X[,4] %in% c('(-1.98,-0.318]')","'1'","V3,V4"
"phoneme",1,371,0.846743295019157,0.206978588421887,0.292929292929293,3,6,0.6,0.375,"X[,1] %in% c('(-Inf,-1.09]','(-1.09,-1]','(-1,-0.484]','(-0.484,0.796]') & X[,2] %in% c('(-0.497,1.45]') & X[,4] %in% c('(-1.98,-0.318]')","'1'","V1,V2,V4"
"phoneme",1,413,0.986784140969163,0.0600052868094105,0.0849233071455294,2,4,0.4,0.25,"X[,1] %in% c('(0.796, Inf]') & X[,5] %in% c('(-Inf,-2.06]','(-0.044,2.41]','(2.41, Inf]')","'1'","V1,V5"
"phoneme",1,415,1,0.110494316679884,0.156378600823045,3,5,0.6,0.3125,"X[,1] %in% c('(0.796, Inf]') & X[,3] %in% c('(-1.63,0.0182]','(0.0182,1.34]','(1.34,1.45]') & X[,5] %in% c('(-1,-0.044]')","'1'","V1,V3,V5"
"phoneme",1,416,0.570833333333333,0.063441712926249,0.0897867564534231,4,8,0.8,0.5,"X[,1] %in% c('(-1,-0.484]') & X[,2] %in% c('(-2.28,-1.82]','(-1.82,-0.497]') & X[,3] %in% c('(-1.63,0.0182]','(0.0182,1.34]') & X[,4] %in% c('(-Inf,-1.98]','(-1.98,-0.318]','(1.88, Inf]')","'1'","V1,V2,V3,V4"
"phoneme",1,439,0.890829694323144,0.0605339677504626,0.0856715301159746,4,6,0.8,0.375,"X[,2] %in% c('(-Inf,-2.28]','(-0.497,1.45]','(1.45, Inf]') & X[,3] %in% c('(-1.63,0.0182]') & X[,4] %in% c('(-0.318,1.63]') & X[,5] %in% c('(-0.044,2.41]')","'1'","V2,V3,V4,V5"
"phoneme",1,443,0.943502824858757,0.0467882632831086,0.0662177328843995,3,7,0.6,0.4375,"X[,1] %in% c('(-Inf,-1.09]','(-1.09,-1]','(-1,-0.484]','(-0.484,0.796]') & X[,2] %in% c('(1.45, Inf]') & X[,4] %in% c('(-Inf,-1.98]','(-1.98,-0.318]')","'1'","V1,V2,V4"
"phoneme",1,454,0.688264058679707,0.216230504890299,0.306023194912084,3,6,0.6,0.375,"X[,1] %in% c('(-Inf,-1.09]','(-1.09,-1]','(-1,-0.484]','(-0.484,0.796]') & X[,4] %in% c('(-0.318,1.63]') & X[,5] %in% c('(-1,-0.044]')","'1'","V1,V4,V5"
"phoneme",2,56,0.95933014354067,0.220988633359767,0.31275720164609,3,4,0.6,0.25,"X[,3] %in% c('(-1.63,0.0182]') & X[,4] %in% c('(-1.98,-0.318]') & X[,5] %in% c('(-1,-0.044]','(-0.044,2.41]')","'1'","V3,V4,V5"
"phoneme",2,64,0.747706422018349,0.0576262225746762,0.196396396396396,4,8,0.8,0.5,"X[,2] %in% c('(-1.82,-0.497]') & X[,3] %in% c('(-Inf,-1.63]','(0.0182,1.34]','(1.34,1.45]','(1.45, Inf]') & X[,4] %in% c('(-0.318,1.63]') & X[,5] %in% c('(-2.06,-1]','(-0.044,2.41]')","'2'","V2,V3,V4,V5"
"phoneme",2,69,0.741935483870968,0.098334655035686,0.335135135135135,4,8,0.8,0.5,"X[,1] %in% c('(-0.484,0.796]') & X[,2] %in% c('(-1.82,-0.497]','(-0.497,1.45]') & X[,3] %in% c('(-Inf,-1.63]','(0.0182,1.34]','(1.34,1.45]','(1.45, Inf]') & X[,4] %in% c('(-0.318,1.63]')","'2'","V1,V2,V3,V4"
"phoneme",2,91,0.791284403669725,0.115252445149352,0.163112607557052,3,3,0.6,0.1875,"X[,1] %in% c('(-0.484,0.796]') & X[,2] %in% c('(-0.497,1.45]') & X[,4] %in% c('(-1.98,-0.318]')","'1'","V1,V2,V4"
