"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max"
"phoneme",1,"RF",4.51,2,4,5,5,5
"phoneme",1,"CART",3.2,2,3,3,4,4
"phoneme",1,"PreSelectedRules",4.36,2,4,4,5,5
"phoneme",1,"OptimalRules",3.56,2,3,3,4,5
"phoneme",1,"OPTSTEL",3.56,2,3,3,4,5
"phoneme",1,"IntreesRRFVote",2.5,1,2,2.5,3,4
"phoneme",1,"IntreesVote",2.2,1,2,2,3,3
"phoneme",1,"IntreesSTEL",2.2,1,2,2,3,3
"phoneme",2,"RF",4.54,2,4,5,5,5
"phoneme",2,"CART",3.33,2,3,3,4,4
"phoneme",2,"PreSelectedRules",4.34,2,4,4,5,5
"phoneme",2,"OptimalRules",3.53,2,3,4,4,5
"phoneme",2,"OPTSTEL",3.62,2,3,4,4,5
"phoneme",2,"IntreesRRFVote",2.17,1,2,2,2.75,3
"phoneme",2,"IntreesVote",NA,NA,NA,NA,NA,NA
"phoneme",2,"IntreesSTEL",NA,NA,NA,NA,NA,NA
"phoneme",3,"RF",4.5,2,4,5,5,5
"phoneme",3,"CART",3,1,3,3,3.75,4
"phoneme",3,"PreSelectedRules",4.36,2,4,4,5,5
"phoneme",3,"OptimalRules",4.05,3,3.5,4,5,5
"phoneme",3,"OPTSTEL",3.93,3,3.5,4,4,5
"phoneme",3,"IntreesRRFVote",2,1,1.5,2,2,4
"phoneme",3,"IntreesVote",2.5,1,1.75,2.5,3.25,4
"phoneme",3,"IntreesSTEL",2.5,1,1.75,2.5,3.25,4
"phoneme",4,"RF",4.54,2,4,5,5,5
"phoneme",4,"CART",3.33,2,3,3,4,4
"phoneme",4,"PreSelectedRules",4.37,2,4,4,5,5
"phoneme",4,"OptimalRules",3.89,3,3,4,4,5
"phoneme",4,"OPTSTEL",3.94,3,3,4,4,5
"phoneme",4,"IntreesRRFVote",2.5,1,2,2.5,3,4
"phoneme",4,"IntreesVote",2.4,1,2,2,3,4
"phoneme",4,"IntreesSTEL",2.4,1,2,2,3,4
"phoneme",5,"RF",4.53,2,4,5,5,5
"phoneme",5,"CART",3.5,2,3,4,4,4
"phoneme",5,"PreSelectedRules",4.4,2,4,5,5,5
"phoneme",5,"OptimalRules",3.5,2,3,4,4,5
"phoneme",5,"OPTSTEL",3.5,2,3,4,4,5
"phoneme",5,"IntreesRRFVote",1.83,1,1.25,2,2,3
"phoneme",5,"IntreesVote",2,1,2,2,2,3
"phoneme",5,"IntreesSTEL",2,1,2,2,2,3
"phoneme",6,"RF",4.5,2,4,5,5,5
"phoneme",6,"CART",3.62,2,4,4,4,4
"phoneme",6,"PreSelectedRules",4.31,2,4,4,5,5
"phoneme",6,"OptimalRules",3.65,2,3,4,4,5
"phoneme",6,"OPTSTEL",3.64,2,3,4,4,5
"phoneme",6,"IntreesRRFVote",2.2,1,1,2,3,4
"phoneme",6,"IntreesVote",2.5,1,1.75,2.5,3.25,4
"phoneme",6,"IntreesSTEL",2.5,1,1.75,2.5,3.25,4
"phoneme",7,"RF",4.5,2,4,5,5,5
"phoneme",7,"CART",2.71,2,2,2,3.5,4
"phoneme",7,"PreSelectedRules",4.34,2,4,5,5,5
"phoneme",7,"OptimalRules",3.67,2,3,4,4,5
"phoneme",7,"OPTSTEL",3.71,2,3,4,4,5
"phoneme",7,"IntreesRRFVote",2,1,1.25,2,2.75,3
"phoneme",7,"IntreesVote",2,1,1.25,2,2.75,3
"phoneme",7,"IntreesSTEL",2,1,1.25,2,2.75,3
"phoneme",8,"RF",4.53,2,4,5,5,5
"phoneme",8,"CART",2.71,2,2,2,3.5,4
"phoneme",8,"PreSelectedRules",4.37,2,4,5,5,5
"phoneme",8,"OptimalRules",3.56,2,3,3.5,4,5
"phoneme",8,"OPTSTEL",3.59,2,3,4,4,5
"phoneme",8,"IntreesRRFVote",1.86,1,1.5,2,2,3
"phoneme",8,"IntreesVote",2,1,2,2,2,3
"phoneme",8,"IntreesSTEL",2,1,2,2,2,3
"phoneme",9,"RF",4.54,2,4,5,5,5
"phoneme",9,"CART",3.6,2,3,3.5,4,5
"phoneme",9,"PreSelectedRules",4.4,2,4,5,5,5
"phoneme",9,"OptimalRules",3.67,2,3,3,4.5,5
"phoneme",9,"OPTSTEL",3.67,2,3,3,4.5,5
"phoneme",9,"IntreesRRFVote",1.8,1,1,2,2,3
"phoneme",9,"IntreesVote",2,1,1.75,2,2.25,3
"phoneme",9,"IntreesSTEL",2,1,1.75,2,2.25,3
"phoneme",10,"RF",4.52,2,4,5,5,5
"phoneme",10,"CART",3.25,2,2.75,3.5,4,4
"phoneme",10,"PreSelectedRules",4.33,2,4,4,5,5
"phoneme",10,"OptimalRules",3.65,2,3,4,4,5
"phoneme",10,"OPTSTEL",3.65,2,3,4,4,5
"phoneme",10,"IntreesRRFVote",2.43,1,1.5,3,3,4
"phoneme",10,"IntreesVote",2.4,1,2,3,3,3
"phoneme",10,"IntreesSTEL",2.4,1,2,3,3,3
