"data","iter","id","confidence","support","class_suppport","var_length","levels_length","var_nbr_scaled","levels_nbr_scaled","cond","Ypred","var_used"
"texture",1,13,0.761904761904762,0.00545454545454545,0.06,5,10,0.833333333333333,0.454545454545455,"X[,16] %in% c('(-Inf,-0.804]','(-0.804,-0.543]') & X[,23] %in% c('(-0.804,-0.646]','(-0.646,-0.303]','(-0.303, Inf]') & X[,25] %in% c('(-Inf,-0.84]','(-0.84,-0.479]','(-0.479,-0.116]') & X[,27] %in% c('(-1.11,-0.76]') & X[,40] %in% c('(-0.761,-0.611]')","'14'","V16,V23,V25,V27,V40"
"texture",1,14,0.909090909090909,0.00571428571428571,0.0628571428571429,6,14,1,0.636363636363636,"X[,6] %in% c('(-Inf,-0.605]','(-0.212,0.0242]','(0.0242, Inf]') & X[,16] %in% c('(-0.543,-0.335]','(-0.335, Inf]') & X[,23] %in% c('(-0.804,-0.646]','(-0.646,-0.303]','(-0.303, Inf]') & X[,25] %in% c('(-Inf,-0.84]','(-0.84,-0.479]','(-0.479,-0.116]') & X[,27] %in% c('(-1.11,-0.76]') & X[,40] %in% c('(-0.992,-0.761]','(-0.761,-0.611]')","'3'","V6,V16,V23,V25,V27,V40"
"texture",1,39,0.916666666666667,0.00623376623376623,0.0685714285714286,6,15,1,0.681818181818182,"X[,1] %in% c('(-1.06,-0.357]','(-0.357,-0.253]','(-0.253, Inf]') & X[,3] %in% c('(-0.937,-0.492]','(-0.492,-0.134]','(-0.134, Inf]') & X[,4] %in% c('(-Inf,-0.941]','(-0.43,-0.0397]','(-0.0397, Inf]') & X[,10] %in% c('(-Inf,-0.934]','(-0.934,-0.585]') & X[,30] %in% c('(-Inf,-1.1]','(-1.1,-0.863]','(-0.863,-0.756]') & X[,38] %in% c('(-0.831,-0.558]')","'9'","V1,V3,V4,V10,V30,V38"
"texture",1,44,0.777777777777778,0.00467532467532468,0.0514285714285714,4,8,0.666666666666667,0.363636363636364,"X[,3] %in% c('(-0.937,-0.492]') & X[,26] %in% c('(-Inf,-0.929]','(-0.298,0.0545]','(0.0545, Inf]') & X[,35] %in% c('(-Inf,-0.7]','(-0.7,-0.452]') & X[,36] %in% c('(-0.564,-0.326]','(-0.326, Inf]')","'9'","V3,V26,V35,V36"
"texture",1,55,0.714285714285714,0.00545454545454545,0.06,6,15,1,0.681818181818182,"X[,20] %in% c('(-0.818,-0.398]','(-0.398,-0.175]','(-0.175,0.0184]','(0.0184, Inf]') & X[,24] %in% c('(-Inf,-1.05]','(-0.651,-0.294]','(-0.294,-0.0018]','(-0.0018, Inf]') & X[,25] %in% c('(-Inf,-0.84]','(-0.84,-0.479]','(-0.479,-0.116]') & X[,27] %in% c('(-1.11,-0.76]') & X[,36] %in% c('(-0.564,-0.326]','(-0.326, Inf]') & X[,38] %in% c('(-0.831,-0.558]')","'9'","V20,V24,V25,V27,V36,V38"
"texture",1,68,0.814814814814815,0.00701298701298701,0.0771428571428572,6,11,1,0.5,"X[,1] %in% c('(-1.39,-1.06]') & X[,3] %in% c('(-0.937,-0.492]') & X[,18] %in% c('(-Inf,-0.993]','(-0.402,-0.156]','(-0.156, Inf]') & X[,30] %in% c('(-1.1,-0.863]','(-0.863,-0.756]','(-0.756,-0.313]') & X[,34] %in% c('(-0.815,-0.602]') & X[,36] %in% c('(-0.564,-0.326]','(-0.326, Inf]')","'10'","V1,V3,V18,V30,V34,V36"
"texture",1,69,1,0.0127272727272727,0.14,6,11,1,0.5,"X[,3] %in% c('(-0.492,-0.134]','(-0.134, Inf]') & X[,10] %in% c('(-Inf,-0.934]','(-0.234, Inf]') & X[,18] %in% c('(-Inf,-0.993]','(-0.402,-0.156]','(-0.156, Inf]') & X[,30] %in% c('(-0.756,-0.313]') & X[,34] %in% c('(-0.815,-0.602]') & X[,36] %in% c('(-0.564,-0.326]','(-0.326, Inf]')","'6'","V3,V10,V18,V30,V34,V36"
"texture",1,70,0.821428571428571,0.00727272727272727,0.08,3,5,0.5,0.227272727272727,"X[,29] %in% c('(-0.206, Inf]') & X[,30] %in% c('(-0.756,-0.313]') & X[,40] %in% c('(-Inf,-0.992]','(-0.992,-0.761]','(-0.239, Inf]')","'10'","V29,V30,V40"
"texture",1,71,0.996197718631179,0.0683116883116883,0.751428571428571,4,8,0.666666666666667,0.363636363636364,"X[,3] %in% c('(-Inf,-0.937]') & X[,6] %in% c('(-Inf,-0.605]') & X[,12] %in% c('(-0.919,-0.589]','(-0.589,-0.154]','(-0.154, Inf]') & X[,29] %in% c('(-Inf,-0.873]','(-0.873,-0.556]','(-0.556,-0.206]')","'4'","V3,V6,V12,V29"
"texture",1,92,0.9,0.00519480519480519,0.0571428571428571,6,12,1,0.545454545454545,"X[,3] %in% c('(-0.937,-0.492]','(-0.492,-0.134]','(-0.134, Inf]') & X[,5] %in% c('(-0.621,-0.228]') & X[,14] %in% c('(-0.756,-0.562]','(-0.562,-0.514]') & X[,17] %in% c('(-1.01,-0.681]') & X[,18] %in% c('(-Inf,-0.993]','(-0.402,-0.156]','(-0.156, Inf]') & X[,23] %in% c('(-0.804,-0.646]','(-0.646,-0.303]')","'10'","V3,V5,V14,V17,V18,V23"
