"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"texture",1,34.4587,643.4555,421.7559,416.61,799.1575,0.2309,0.0981,150.5549,NA,NA,NA,NA,NA
"texture",2,36.7425,597.1232,451.0446,55.04,451.4819,0.2306,0.0979,157.6168,NA,NA,NA,NA,NA
"texture",3,34.1765,542.1909,431.3928,42.168,430.4912,0.2316,0.1033,144.7259,NA,NA,NA,NA,NA
"texture",4,35.1909,562.3638,413.1543,338.208,713.6725,0.2332,0.0991,147.7579,NA,NA,NA,NA,NA
"texture",5,36.0982,577.4379,464.745,1105.619,1512.183,0.2313,0.1024,150.7199,NA,NA,NA,NA,NA
"texture",6,34.989,647.149,464.7116,48.084,464.8172,0.2334,0.098,154.2027,NA,NA,NA,NA,NA
"texture",7,35.5697,596.3012,435.7575,105.434,499.9062,0.233,0.0989,149.0984,NA,NA,NA,NA,NA
"texture",8,33.9646,552.1792,448.0679,1189.813,1599.1504,0.2322,0.1001,160.7688,NA,NA,NA,NA,NA
"texture",9,35.5083,668.3833,479.6746,2134.489,2564.4935,0.2348,0.1042,151.6815,NA,NA,NA,NA,NA
"texture",10,33.7822,632.8886,452.8646,164.617,577.2847,0.2306,0.104,151.6749,NA,NA,NA,NA,NA
