"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max"
"texture",1,"RF",10.07,2,8,10,12,25
"texture",1,"CART",5.62,2,5,6,6,8
"texture",1,"PreSelectedRules",5.28,2,5,6,6,6
"texture",1,"OptimalRules",5.49,3,5,6,6,6
"texture",1,"OPTSTEL",5.13,4,4,5,6,6
"texture",1,"IntreesRRFVote",2.44,1,2,3,3,3
"texture",1,"IntreesVote",2.86,2,3,3,3,3
"texture",1,"IntreesSTEL",2.86,2,3,3,3,3
"texture",2,"RF",10.04,2,8,10,12,24
"texture",2,"CART",5.56,3,5,6,6,8
"texture",2,"PreSelectedRules",5.25,2,5,6,6,6
"texture",2,"OptimalRules",5.26,3,5,6,6,6
"texture",2,"OPTSTEL",5,3,4.25,5,6,6
"texture",2,"IntreesRRFVote",2.78,2,2,3,3,4
"texture",2,"IntreesVote",2.71,2,2.5,3,3,3
"texture",2,"IntreesSTEL",2.71,2,2.5,3,3,3
"texture",3,"RF",10.08,2,8,10,12,25
"texture",3,"CART",6.29,2,5,7,8,9
"texture",3,"PreSelectedRules",5.25,2,5,5,6,6
"texture",3,"OptimalRules",5.44,3,5,6,6,6
"texture",3,"OPTSTEL",5.22,4,5,5,6,6
"texture",3,"IntreesRRFVote",2.89,2,3,3,3,4
"texture",3,"IntreesVote",2.83,2,2.25,3,3,4
"texture",3,"IntreesSTEL",2.83,2,2.25,3,3,4
"texture",4,"RF",10.04,2,8,10,12,25
"texture",4,"CART",5.88,3,5,6,6.25,9
"texture",4,"PreSelectedRules",5.23,2,5,5,6,6
"texture",4,"OptimalRules",5.29,2,5,5,6,6
"texture",4,"OPTSTEL",5.07,3,5,5,5.5,6
"texture",4,"IntreesRRFVote",2.6,2,2,3,3,3
"texture",4,"IntreesVote",2.6,2,2,3,3,3
"texture",4,"IntreesSTEL",2.6,2,2,3,3,3
"texture",5,"RF",10.05,2,8,10,12,24
"texture",5,"CART",6.56,2,5.5,7,8,9
"texture",5,"PreSelectedRules",5.26,2,5,6,6,6
"texture",5,"OptimalRules",5.58,3,5,6,6,6
"texture",5,"OPTSTEL",5.5,3,5,6,6,6
"texture",5,"IntreesRRFVote",2.56,2,2,2,3,5
"texture",5,"IntreesVote",2.67,2,2,2,2.75,5
"texture",5,"IntreesSTEL",2.67,2,2,2,2.75,5
"texture",6,"RF",10.12,2,8,10,12,26
"texture",6,"CART",5.64,2,5.25,6,6.75,7
"texture",6,"PreSelectedRules",5.27,2,5,6,6,6
"texture",6,"OptimalRules",5.44,2,5,6,6,6
"texture",6,"OPTSTEL",5.29,3,5,6,6,6
"texture",6,"IntreesRRFVote",2.85,2,2,3,3,4
"texture",6,"IntreesVote",2.88,2,2,2.5,4,4
"texture",6,"IntreesSTEL",2.88,2,2,2.5,4,4
"texture",7,"RF",9.97,2,8,10,12,25
"texture",7,"CART",5.53,2,5,6,6,8
"texture",7,"PreSelectedRules",5.24,2,5,6,6,6
"texture",7,"OptimalRules",5.29,2,5,6,6,6
"texture",7,"OPTSTEL",5.07,2,4.25,6,6,6
"texture",7,"IntreesRRFVote",2.44,1,2,3,3,4
"texture",7,"IntreesVote",2.67,2,2.25,3,3,3
"texture",7,"IntreesSTEL",2.67,2,2.25,3,3,3
"texture",8,"RF",9.99,2,8,10,12,24
"texture",8,"CART",5.62,2,5,6,6,8
"texture",8,"PreSelectedRules",5.25,2,5,5,6,6
"texture",8,"OptimalRules",5.38,3,5,6,6,6
"texture",8,"OPTSTEL",4.88,3,4,5,6,6
"texture",8,"IntreesRRFVote",2.8,2,2.25,3,3,4
"texture",8,"IntreesVote",3,2,3,3,3,4
"texture",8,"IntreesSTEL",3,2,3,3,3,4
"texture",9,"RF",10.04,2,8,10,12,24
"texture",9,"CART",5.87,2,4.5,6,7,8
"texture",9,"PreSelectedRules",5.26,2,5,6,6,6
"texture",9,"OptimalRules",5.4,2,5,6,6,6
"texture",9,"OPTSTEL",5.22,3,5,6,6,6
"texture",9,"IntreesRRFVote",2.89,2,2,3,3,4
"texture",9,"IntreesVote",3,2,2.5,3,3.5,4
"texture",9,"IntreesSTEL",3,2,2.5,3,3.5,4
"texture",10,"RF",10.07,2,8,10,12,26
"texture",10,"CART",6.29,2,5,7,8,9
"texture",10,"PreSelectedRules",5.27,2,5,6,6,6
"texture",10,"OptimalRules",5.49,2,5,6,6,6
"texture",10,"OPTSTEL",5.36,3,5,6,6,6
"texture",10,"IntreesRRFVote",2.7,2,2,3,3,4
"texture",10,"IntreesVote",2.83,2,2.25,3,3,4
"texture",10,"IntreesSTEL",2.83,2,2.25,3,3,4
