"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max"
"thyroid",1,"RF",8.7,1,6,8,11,19
"thyroid",1,"CART",4,2,2.5,4,5.5,6
"thyroid",1,"PreSelectedRules",4.71,1,4,5,6,6
"thyroid",1,"OptimalRules",4.14,1,3,4,6,6
"thyroid",1,"OPTSTEL",3.8,1,2,4,6,6
"thyroid",1,"IntreesRRFVote",2,1,1,1.5,3,4
"thyroid",1,"IntreesVote",1.67,1,1,1,2,3
"thyroid",1,"IntreesSTEL",1.67,1,1,1,2,3
"thyroid",2,"RF",8.71,1,6,9,11,20
"thyroid",2,"CART",4.3,2,3.25,4.5,5,6
"thyroid",2,"PreSelectedRules",4.74,1,4,5,6,6
"thyroid",2,"OptimalRules",3.67,1,2.25,3.5,5.5,6
"thyroid",2,"OPTSTEL",2,1,1.5,2,2.5,3
"thyroid",2,"IntreesRRFVote",2.12,1,1,2,3,4
"thyroid",2,"IntreesVote",1.75,1,1,1.5,2.25,3
"thyroid",2,"IntreesSTEL",1.75,1,1,1.5,2.25,3
"thyroid",3,"RF",8.47,1,6,8,10,18
"thyroid",3,"CART",3.17,2,3,3,3.75,4
"thyroid",3,"PreSelectedRules",4.69,1,4,5,6,6
"thyroid",3,"OptimalRules",3.4,1,2,4,5,5
"thyroid",3,"OPTSTEL",3,1,1.75,3,4.25,5
"thyroid",3,"IntreesRRFVote",2.4,1,1,2.5,3.75,4
"thyroid",3,"IntreesVote",2.25,1,1,2,3.25,4
"thyroid",3,"IntreesSTEL",2.25,1,1,2,3.25,4
"thyroid",4,"RF",8.63,1,6,9,11,19
"thyroid",4,"CART",3.88,2,3,4,5,5
"thyroid",4,"PreSelectedRules",4.59,1,4,5,6,6
"thyroid",4,"OptimalRules",3.2,1,2,4,4,5
"thyroid",4,"OPTSTEL",2.33,1,1.5,2,3,4
"thyroid",4,"IntreesRRFVote",2,1,1,2,2,4
"thyroid",4,"IntreesVote",2,1,1,2,2,4
"thyroid",4,"IntreesSTEL",2,1,1,2,2,4
"thyroid",5,"RF",8.6,1,6,8,11,19
"thyroid",5,"CART",3.4,2,3,4,4,4
"thyroid",5,"PreSelectedRules",4.75,1,4,5,6,6
"thyroid",5,"OptimalRules",3.33,1,3,3.5,4,5
"thyroid",5,"OPTSTEL",2.67,1,2,3,3.5,4
"thyroid",5,"IntreesRRFVote",2.12,1,1,2.5,3,3
"thyroid",5,"IntreesVote",2,1,1.5,2,2.5,3
"thyroid",5,"IntreesSTEL",2,1,1.5,2,2.5,3
"thyroid",6,"RF",8.64,1,6,8,11,20
"thyroid",6,"CART",4,2,2.5,4,5.5,6
"thyroid",6,"PreSelectedRules",4.76,1,4,5,6,6
"thyroid",6,"OptimalRules",4,1,3,4,5.5,6
"thyroid",6,"OPTSTEL",3.25,1,2.5,3,3.75,6
"thyroid",6,"IntreesRRFVote",2.33,1,2,2,3,3
"thyroid",6,"IntreesVote",2.5,2,2.25,2.5,2.75,3
"thyroid",6,"IntreesSTEL",2.5,2,2.25,2.5,2.75,3
"thyroid",7,"RF",8.76,1,7,9,11,20
"thyroid",7,"CART",3.83,2,3.25,4,4.75,5
"thyroid",7,"PreSelectedRules",4.73,1,4,5,6,6
"thyroid",7,"OptimalRules",4,1,2.75,5,5,6
"thyroid",7,"OPTSTEL",3.67,1,3,5,5,5
"thyroid",7,"IntreesRRFVote",1.8,1,1,1.5,2,4
"thyroid",7,"IntreesVote",1.71,1,1,1,2,4
"thyroid",7,"IntreesSTEL",1.71,1,1,1,2,4
"thyroid",8,"RF",8.6,1,6,8,11,18
"thyroid",8,"CART",4.14,2,3,4,5.5,6
"thyroid",8,"PreSelectedRules",4.74,1,4,5,6,6
"thyroid",8,"OptimalRules",2.83,1,2,2.5,3.75,5
"thyroid",8,"OPTSTEL",3,1,1.75,3,4.25,5
"thyroid",8,"IntreesRRFVote",2.09,1,1.5,2,3,3
"thyroid",8,"IntreesVote",1.75,1,1.75,2,2,2
"thyroid",8,"IntreesSTEL",1.75,1,1.75,2,2,2
"thyroid",9,"RF",8.68,1,6,8,11,19
"thyroid",9,"CART",4.29,2,3.5,4,5.5,6
"thyroid",9,"PreSelectedRules",4.7,1,4,5,6,6
"thyroid",9,"OptimalRules",3.5,1,2.25,3,5.25,6
"thyroid",9,"OPTSTEL",2.33,1,2,3,3,3
"thyroid",9,"IntreesRRFVote",2.11,1,1,2,3,4
"thyroid",9,"IntreesVote",2.67,1,2,3,3.5,4
"thyroid",9,"IntreesSTEL",2.67,1,2,3,3.5,4
"thyroid",10,"RF",8.65,1,6,8,11,19
"thyroid",10,"CART",4.12,2,3,4,5.25,6
"thyroid",10,"PreSelectedRules",4.76,1,4,5,6,6
"thyroid",10,"OptimalRules",3.5,1,2.5,4,5,5
"thyroid",10,"OPTSTEL",3,1,2,3,4,5
"thyroid",10,"IntreesRRFVote",2.29,1,1.5,2,3,4
"thyroid",10,"IntreesVote",1.75,1,1,1.5,2.25,3
"thyroid",10,"IntreesSTEL",1.75,1,1,1.5,2.25,3
