"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"titatnic",1,0.01,0.025,0.9812,0.2122,0.2077,0.1997,"Optimal",1.737,12.1611,40,3
"titatnic",2,0.01,0.025,0.9844,0.2135,0.2142,0.209,"Optimal",1.589,10.5951,35,3
"titatnic",3,0.01,0.025,0.9831,0.2174,0.2125,0.2145,"Optimal",1.688,11.6913,38,3
"titatnic",4,0.01,0.025,0.9987,0.2193,0.2229,0.2956,"Optimal",1.784,11.64,37,3
"titatnic",5,0.01,0.025,0.9838,0.2109,0.2091,0.2098,"Optimal",1.535,12.2371,41,3
"titatnic",6,0.01,0.025,0.9799,0.2135,0.2146,0.2106,"Optimal",1.325,10.4069,35,3
"titatnic",7,0.01,0.025,0.9766,0.218,0.2272,0.4724,"Optimal",1.385,12.0242,41,3
"titatnic",8,0.01,0.025,0.9844,0.2174,0.2162,0.2149,"Optimal",1.561,11.249,37,3
"titatnic",9,0.01,0.025,0.9825,0.2083,0.2074,0.2173,"Optimal",1.183,11.3422,39,3
"titatnic",10,0.01,0.025,0.976,0.2116,0.2207,0.2906,"Optimal",2.198,11.5316,36,3
