"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max"
"titatnic",1,"RF",2.34,1,2,2,3,3
"titatnic",1,"CART",2.4,2,2,2,3,3
"titatnic",1,"PreSelectedRules",2.15,1,2,2,3,3
"titatnic",1,"OptimalRules",1.67,1,1.5,2,2,2
"titatnic",1,"OPTSTEL",1.67,1,1.5,2,2,2
"titatnic",1,"IntreesRRFVote",1.2,1,1,1,1,2
"titatnic",1,"IntreesVote",1.33,1,1,1,1.5,2
"titatnic",1,"IntreesSTEL",1.33,1,1,1,1.5,2
"titatnic",2,"RF",2.28,1,2,2,3,3
"titatnic",2,"CART",1.67,1,1.5,2,2,2
"titatnic",2,"PreSelectedRules",2.17,1,2,2,3,3
"titatnic",2,"OptimalRules",1.67,1,1.5,2,2,2
"titatnic",2,"OPTSTEL",1.67,1,1.5,2,2,2
"titatnic",2,"IntreesRRFVote",1.2,1,1,1,1,2
"titatnic",2,"IntreesVote",1.33,1,1,1,1.5,2
"titatnic",2,"IntreesSTEL",1.33,1,1,1,1.5,2
"titatnic",3,"RF",2.36,1,2,2,3,3
"titatnic",3,"CART",1,1,1,1,1,1
"titatnic",3,"PreSelectedRules",2.21,1,2,2,3,3
"titatnic",3,"OptimalRules",1.67,1,1.5,2,2,2
"titatnic",3,"OPTSTEL",1.67,1,1.5,2,2,2
"titatnic",3,"IntreesRRFVote",1.4,1,1,1,2,2
"titatnic",3,"IntreesVote",2,2,2,2,2,2
"titatnic",3,"IntreesSTEL",2,2,2,2,2,2
"titatnic",4,"RF",2.36,1,2,2,3,3
"titatnic",4,"CART",1.67,1,1.5,2,2,2
"titatnic",4,"PreSelectedRules",2.22,1,2,2,3,3
"titatnic",4,"OptimalRules",1.67,1,1.5,2,2,2
"titatnic",4,"OPTSTEL",2,2,2,2,2,2
"titatnic",4,"IntreesRRFVote",1.2,1,1,1,1,2
"titatnic",4,"IntreesVote",1.33,1,1,1,1.5,2
"titatnic",4,"IntreesSTEL",1.33,1,1,1,1.5,2
"titatnic",5,"RF",2.32,1,2,2,3,3
"titatnic",5,"CART",2.4,2,2,2,3,3
"titatnic",5,"PreSelectedRules",2.22,1,2,2,3,3
"titatnic",5,"OptimalRules",1.67,1,1.5,2,2,2
"titatnic",5,"OPTSTEL",1.67,1,1.5,2,2,2
"titatnic",5,"IntreesRRFVote",1.17,1,1,1,1,2
"titatnic",5,"IntreesVote",1.33,1,1,1,1.5,2
"titatnic",5,"IntreesSTEL",1.33,1,1,1,1.5,2
"titatnic",6,"RF",2.31,1,2,2,3,3
"titatnic",6,"CART",1.67,1,1.5,2,2,2
"titatnic",6,"PreSelectedRules",2.23,1,2,2,3,3
"titatnic",6,"OptimalRules",1.67,1,1.5,2,2,2
"titatnic",6,"OPTSTEL",1.67,1,1.5,2,2,2
"titatnic",6,"IntreesRRFVote",1.67,1,1.5,2,2,2
"titatnic",6,"IntreesVote",1.67,1,1.5,2,2,2
"titatnic",6,"IntreesSTEL",1.67,1,1.5,2,2,2
"titatnic",7,"RF",2.35,1,2,2,3,3
"titatnic",7,"CART",1.67,1,1.5,2,2,2
"titatnic",7,"PreSelectedRules",2.24,1,2,2,3,3
"titatnic",7,"OptimalRules",1.67,1,1.5,2,2,2
"titatnic",7,"OPTSTEL",1.5,1,1.25,1.5,1.75,2
"titatnic",7,"IntreesRRFVote",1,1,1,1,1,1
"titatnic",7,"IntreesVote",1,1,1,1,1,1
"titatnic",7,"IntreesSTEL",1,1,1,1,1,1
"titatnic",8,"RF",2.32,1,2,2,3,3
"titatnic",8,"CART",1.67,1,1.5,2,2,2
"titatnic",8,"PreSelectedRules",2.22,1,2,2,3,3
"titatnic",8,"OptimalRules",1.67,1,1.5,2,2,2
"titatnic",8,"OPTSTEL",1.67,1,1.5,2,2,2
"titatnic",8,"IntreesRRFVote",1.2,1,1,1,1,2
"titatnic",8,"IntreesVote",1.33,1,1,1,1.5,2
"titatnic",8,"IntreesSTEL",1.33,1,1,1,1.5,2
"titatnic",9,"RF",2.35,1,2,2,3,3
"titatnic",9,"CART",1.67,1,1.5,2,2,2
"titatnic",9,"PreSelectedRules",2.23,1,2,2,3,3
"titatnic",9,"OptimalRules",1.67,1,1.5,2,2,2
"titatnic",9,"OPTSTEL",1.67,1,1.5,2,2,2
"titatnic",9,"IntreesRRFVote",1,1,1,1,1,1
"titatnic",9,"IntreesVote",1,1,1,1,1,1
"titatnic",9,"IntreesSTEL",1,1,1,1,1,1
"titatnic",10,"RF",2.26,1,2,2,3,3
"titatnic",10,"CART",2.4,2,2,2,3,3
"titatnic",10,"PreSelectedRules",2.25,1,2,2,3,3
"titatnic",10,"OptimalRules",2,2,2,2,2,2
"titatnic",10,"OPTSTEL",2,2,2,2,2,2
"titatnic",10,"IntreesRRFVote",1.2,1,1,1,1,2
"titatnic",10,"IntreesVote",1.25,1,1,1,1.25,2
"titatnic",10,"IntreesSTEL",1.25,1,1,1,1.25,2
