"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"vertebral",1,2.4559,7.2839,12.9315,0.426,26.3696,0.0078,0.0028,3.0987,NA,NA,NA,NA,NA
"vertebral",2,2.2899,7.1584,11.8612,0.651,25.021,0.0077,0.0028,2.9838,NA,NA,NA,NA,NA
"vertebral",3,2.2197,6.9185,12.2317,2.036,27.2014,0.0075,0.0028,3.2067,NA,NA,NA,NA,NA
"vertebral",4,2.3607,7.6109,12.4863,0.424,26.5288,0.0083,0.0029,3.2052,NA,NA,NA,NA,NA
"vertebral",5,2.4255,7.1733,11.5773,1.364,25.6886,0.008,0.0028,3.2278,NA,NA,NA,NA,NA
"vertebral",6,2.5675,7.7532,11.2689,3.395,27.1521,0.0082,0.0029,3.4482,NA,NA,NA,NA,NA
"vertebral",7,2.4533,7.8421,12.5567,1.228,27.3162,0.0082,0.0031,3.3421,NA,NA,NA,NA,NA
"vertebral",8,2.7914,7.7814,12.9038,1.114,24.7817,0.0083,0.0029,3.3339,NA,NA,NA,NA,NA
"vertebral",9,2.6887,8.0759,12.2731,1.937,27.3642,0.0084,0.0031,3.2977,NA,NA,NA,NA,NA
"vertebral",10,2.398,7.4077,11.6567,2.856,27.1391,0.0077,0.0029,3.3075,NA,NA,NA,NA,NA
