"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"vote",1,0.01,0.025,0.977,0.0262,0.0336,0.3725,"Optimal",1.019,29.655,580,6
"vote",2,0.01,0.025,0.9803,0.0262,0.0268,0.3043,"Optimal",0.437,28.374,563,5
"vote",3,0.01,0.025,0.9902,0.023,0.0298,0.2086,"Optimal",0.342,29.0052,578,4
"vote",4,0.01,0.025,0.977,0.0262,0.0268,0.4262,"Optimal",0.553,26.9416,530,5
"vote",5,0.01,0.025,0.977,0.0197,0.0235,0.2886,"Optimal",0.887,28.7458,564,4
"vote",6,0.01,0.025,0.977,0.0295,0.0336,0.2919,"Optimal",0.329,28.5811,568,4
"vote",7,0.01,0.025,0.9803,0.0262,0.0334,0.2809,"Optimal",0.365,29.216,581,4
"vote",8,0.01,0.025,0.9869,0.0295,0.0332,0.495,"Optimal",0.383,28.6719,573,4
"vote",9,0.01,0.025,0.977,0.0262,0.0336,0.4966,"Optimal",1.079,30.1471,585,5
"vote",10,0.01,0.025,0.977,0.0131,0.0168,0.3993,"Optimal",0.957,26.6235,519,5
