"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"vote",1,1.0128,5.7144,11.0104,1.019,29.655,0.0075,0.0044,2.7408,NA,NA,NA,NA,NA
"vote",2,0.9857,5.6021,10.7509,0.437,28.374,0.0074,0.0042,2.7594,NA,NA,NA,NA,NA
"vote",3,0.9821,5.5802,11.3201,0.342,29.0052,0.0074,0.0039,2.6558,NA,NA,NA,NA,NA
"vote",4,0.9542,5.499,10.48,0.553,26.9416,0.0076,0.0042,2.7562,NA,NA,NA,NA,NA
"vote",5,0.9889,5.5691,11.0634,0.887,28.7458,0.0078,0.0043,2.6837,NA,NA,NA,NA,NA
"vote",6,0.9637,5.6421,10.8614,0.329,28.5811,0.008,0.0044,2.7454,NA,NA,NA,NA,NA
"vote",7,1.0256,5.7137,11.1867,0.365,29.216,0.0077,0.0043,2.9037,NA,NA,NA,NA,NA
"vote",8,1.0243,5.6026,11.1544,0.383,28.6719,0.0077,0.0044,2.986,NA,NA,NA,NA,NA
"vote",9,0.9301,5.7512,11.6263,1.079,30.1471,0.0081,0.0042,2.5732,NA,NA,NA,NA,NA
"vote",10,0.9321,5.1594,10.1398,0.957,26.6235,0.0077,0.0039,2.3914,NA,NA,NA,NA,NA
