"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max"
"vote",1,"RF",4.85,1,4,5,6,11
"vote",1,"CART",2.25,1,1.75,2.5,3,3
"vote",1,"PreSelectedRules",4.34,2,3,4,5,6
"vote",1,"OptimalRules",2.33,2,2,2,2.75,3
"vote",1,"OPTSTEL",2.33,2,2,2,2.75,3
"vote",1,"IntreesRRFVote",2.71,1,2.5,3,3,4
"vote",1,"IntreesVote",2.67,1,2.25,3,3,4
"vote",1,"IntreesSTEL",2.67,1,2.25,3,3,4
"vote",2,"RF",4.86,1,4,5,6,11
"vote",2,"CART",1,1,1,1,1,1
"vote",2,"PreSelectedRules",4.27,2,3,4,5,6
"vote",2,"OptimalRules",2.6,2,2,2,3,4
"vote",2,"OPTSTEL",2.6,2,2,2,3,4
"vote",2,"IntreesRRFVote",3,1,2.25,3,3.75,5
"vote",2,"IntreesVote",2.75,1,1.75,2.5,3.5,5
"vote",2,"IntreesSTEL",2.75,1,1.75,2.5,3.5,5
"vote",3,"RF",4.82,1,4,5,6,11
"vote",3,"CART",1,1,1,1,1,1
"vote",3,"PreSelectedRules",4.27,2,3,4,5,6
"vote",3,"OptimalRules",2.25,2,2,2,2.25,3
"vote",3,"OPTSTEL",2.25,2,2,2,2.25,3
"vote",3,"IntreesRRFVote",3.17,1,2.25,3.5,4,5
"vote",3,"IntreesVote",3.5,1,3.25,4,4.25,5
"vote",3,"IntreesSTEL",3.5,1,3.25,4,4.25,5
"vote",4,"RF",4.77,1,4,5,6,11
"vote",4,"CART",1,1,1,1,1,1
"vote",4,"PreSelectedRules",4.3,2,4,4,5,6
"vote",4,"OptimalRules",3,2,2,3,3,5
"vote",4,"OPTSTEL",3,2,2,3,3,5
"vote",4,"IntreesRRFVote",2.67,1,2,2.5,3,5
"vote",4,"IntreesVote",3,1,2,3,4,5
"vote",4,"IntreesSTEL",3,1,2,3,4,5
"vote",5,"RF",4.79,1,4,5,6,11
"vote",5,"CART",2.25,1,1.75,2.5,3,3
"vote",5,"PreSelectedRules",4.33,1,4,4,5,6
"vote",5,"OptimalRules",2.25,1,1.75,2.5,3,3
"vote",5,"OPTSTEL",2.25,1,1.75,2.5,3,3
"vote",5,"IntreesRRFVote",2.29,1,1.5,3,3,3
"vote",5,"IntreesVote",2.6,1,3,3,3,3
"vote",5,"IntreesSTEL",2.6,1,3,3,3,3
"vote",6,"RF",4.76,2,4,5,6,10
"vote",6,"CART",1,1,1,1,1,1
"vote",6,"PreSelectedRules",4.32,2,4,4,5,6
"vote",6,"OptimalRules",2,2,2,2,2,2
"vote",6,"OPTSTEL",2,2,2,2,2,2
"vote",6,"IntreesRRFVote",2.4,1,2,2,3,4
"vote",6,"IntreesVote",2,1,1.75,2,2.25,3
"vote",6,"IntreesSTEL",2,1,1.75,2,2.25,3
"vote",7,"RF",4.88,1,4,5,6,11
"vote",7,"CART",1,1,1,1,1,1
"vote",7,"PreSelectedRules",4.34,1,4,4,5,6
"vote",7,"OptimalRules",2.5,1,2.5,3,3,3
"vote",7,"OPTSTEL",2.5,1,2.5,3,3,3
"vote",7,"IntreesRRFVote",2.86,1,2,3,3.5,5
"vote",7,"IntreesVote",2.25,1,1.75,2.5,3,3
"vote",7,"IntreesSTEL",2.25,1,1.75,2.5,3,3
"vote",8,"RF",4.93,1,4,5,6,12
"vote",8,"CART",2.25,1,1.75,2.5,3,3
"vote",8,"PreSelectedRules",4.36,1,4,4,5,6
"vote",8,"OptimalRules",2,1,1.75,2,2.25,3
"vote",8,"OPTSTEL",2,1,1.75,2,2.25,3
"vote",8,"IntreesRRFVote",2.14,1,1.5,2,2.5,4
"vote",8,"IntreesVote",2.17,1,1.25,2,2.75,4
"vote",8,"IntreesSTEL",2.17,1,1.25,2,2.75,4
"vote",9,"RF",4.56,2,4,4,5,9
"vote",9,"CART",1,1,1,1,1,1
"vote",9,"PreSelectedRules",4.23,2,3,4,5,6
"vote",9,"OptimalRules",2.8,2,2,3,3,4
"vote",9,"OPTSTEL",2.8,2,2,3,3,4
"vote",9,"IntreesRRFVote",2.17,1,2,2,2.75,3
"vote",9,"IntreesVote",1.67,1,1.5,2,2,2
"vote",9,"IntreesSTEL",1.67,1,1.5,2,2,2
"vote",10,"RF",4.77,1,4,5,6,11
"vote",10,"CART",2.25,1,1.75,2.5,3,3
"vote",10,"PreSelectedRules",4.33,1,4,4,5,6
"vote",10,"OptimalRules",2.8,1,3,3,3,4
"vote",10,"OPTSTEL",2.8,1,3,3,3,4
"vote",10,"IntreesRRFVote",2,1,1.5,2,2.5,3
"vote",10,"IntreesVote",1.83,1,1.25,2,2,3
"vote",10,"IntreesSTEL",1.83,1,1.25,2,2,3
