"data","iter","PS_rules","Opt_rules","RRF_rules","Intrees"
"vote",1,"democrat","democrat","republican","republican"
"vote",2,"democrat","democrat","republican","republican"
"vote",3,"democrat","democrat","republican","republican"
"vote",4,"democrat","democrat","republican","republican"
"vote",5,"democrat","democrat","republican","republican"
"vote",6,"democrat","republican","republican","republican"
"vote",7,"democrat","democrat","republican","republican"
"vote",8,"democrat","democrat","democrat","democrat"
"vote",9,"democrat","democrat","republican","republican"
"vote",10,"democrat","republican","democrat","democrat"
