"data","iter","RFTree","RFRules","PreSelectedRules","OPTRules","OPTRulesSTEL","IntreesRRFRules","IntreesSTELRules","CART","CBA","RIPPER","C4.5","RCAR","SBRL"
"vowel",1,100,13558,1448,114,39,25,16,19,NA,NA,NA,NA,NA
"vowel",2,100,13598,1529,110,43,22,16,19,NA,NA,NA,NA,NA
"vowel",3,100,13364,1463,110,39,29,17,17,NA,NA,NA,NA,NA
"vowel",4,100,13545,1530,110,36,26,20,16,NA,NA,NA,NA,NA
"vowel",5,100,13362,1425,112,41,26,19,20,NA,NA,NA,NA,NA
"vowel",6,100,13531,1451,103,41,24,17,20,NA,NA,NA,NA,NA
"vowel",7,100,13725,1444,113,42,23,13,19,NA,NA,NA,NA,NA
"vowel",8,100,13606,1399,111,37,19,12,17,NA,NA,NA,NA,NA
"vowel",9,100,13573,1494,111,41,31,19,20,NA,NA,NA,NA,NA
"vowel",10,100,13451,1432,101,41,27,12,17,NA,NA,NA,NA,NA
