"data","iter","error_tolerance","coverage_tolerance","coverage_ratio","init_error","covered_error_ratio","overlapping_ratio","optimality","opt_run_time","run_time","init_Rules_nbr","Rules_nbr"
"wdbc",1,0.01,0.025,0.9799,0.0176,0.0256,0.4436,"Optimal",755.59,785.6281,470,7
"wdbc",2,0.01,0.025,0.9774,0.0126,0.0206,0.3959,"Optimal",5.184,37.0546,492,6
"wdbc",3,0.01,0.025,0.9774,0.0126,0.018,0.473,"Optimal",72.395,100.8821,438,6
"wdbc",4,0.01,0.025,0.9774,0.0226,0.0257,0.4859,"Optimal",1.52,36.0838,531,5
"wdbc",5,0.01,0.025,0.9774,0.0176,0.0257,0.4961,"Optimal",11.329,45.8552,531,6
"wdbc",6,0.01,0.025,0.9774,0.0126,0.0206,0.4936,"Optimal",52.687,81.1348,438,6
"wdbc",7,0.01,0.025,0.9774,0.0201,0.0283,0.473,"Optimal",7.487,38.9883,481,5
"wdbc",8,0.01,0.025,0.9799,0.0176,0.0256,0.5,"Optimal",4.752,35.536,472,5
"wdbc",9,0.01,0.025,0.9774,0.0126,0.018,0.4447,"Optimal",70.639,101.4155,471,7
"wdbc",10,0.01,0.025,0.9774,0.0176,0.0257,0.2751,"Optimal",4.806,33.4831,443,5
