"data","iter","pred_set","pred_sub_set","method","fidelity","fidelity_macroPrecision","fidelity_macroRecall","fidelity_macroF1","fidelity_correct","fidelity_macroPrecision_correct","fidelity_macroRecall_correct","fidelity_macroF1_correct","fidelity_incorrect","fidelity_macroPrecision_incorrect","fidelity_macroRecall_incorrect","fidelity_macroF1_incorrect"
"wdbc",1,"train","all","PreSelectedRules",0.989949748743719,0.987924853777526,0.990622543838252,0.989243243243243,0.994884910485934,0.994503486279802,0.994503486279802,0.994503486279802,0.714285714285714,0.8,0.75,0.708333333333333
"wdbc",1,"train","covered","PreSelectedRules",0.989949748743719,0.987924853777526,0.990622543838252,0.989243243243243,0.994884910485934,0.994503486279802,0.994503486279802,0.994503486279802,0.714285714285714,0.8,0.75,0.708333333333333
"wdbc",1,"train","notcovered","PreSelectedRules",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wdbc",1,"test","all","PreSelectedRules",0.994152046783626,0.992063492063492,0.995412844036697,0.993695852534562,1,1,1,1,0.833333333333333,0.833333333333333,0.875,0.828571428571429
"wdbc",1,"test","covered","PreSelectedRules",0.994152046783626,0.992063492063492,0.995412844036697,0.993695852534562,1,1,1,1,0.833333333333333,0.833333333333333,0.875,0.828571428571429
"wdbc",1,"test","notcovered","PreSelectedRules",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wdbc",1,"train","all","OptimalRules",0.989949748743719,0.986754966887417,0.99203187250996,0.989272526346999,0.9923273657289,0.989795918367347,0.993927125506073,0.991790371008042,0.857142857142857,0.875,0.875,0.857142857142857
"wdbc",1,"train","covered","OptimalRules",0.992307692307692,0.98951048951049,0.994,0.991681537991198,0.994791666666667,0.992857142857143,0.995934959349593,0.994362061371311,0.833333333333333,0.833333333333333,0.875,0.828571428571429
"wdbc",1,"train","notcovered","OptimalRules",0.875,0.875,0.5,0.933333333333333,0.857142857142857,0.857142857142857,0.5,0.923076923076923,1,1,1,1
"wdbc",1,"test","all","OptimalRules",0.988304093567251,0.984375,0.990825688073395,0.987433862433862,0.987878787878788,0.983870967741935,0.990476190476191,0.986995586380832,1,1,1,1
"wdbc",1,"test","covered","OptimalRules",1,1,1,1,1,1,1,1,1,1,1,1
"wdbc",1,"test","notcovered","OptimalRules",0.333333333333333,0.333333333333333,0.5,0.5,0,0,0,NA,1,1,1,1
"wdbc",1,"train","all","OPTSTEL",0.987437185929648,0.983552631578947,0.99003984063745,0.986608614900103,0.989769820971867,0.986486486486487,0.991902834008097,0.989069052278446,0.857142857142857,0.875,0.875,0.857142857142857
"wdbc",1,"train","covered","OPTSTEL",0.98974358974359,0.986111111111111,0.992,0.988925488414357,0.9921875,0.98936170212766,0.99390243902439,0.991556171251402,0.833333333333333,0.833333333333333,0.875,0.828571428571429
"wdbc",1,"train","notcovered","OPTSTEL",0.875,0.875,0.5,0.933333333333333,0.857142857142857,0.857142857142857,0.5,0.923076923076923,1,1,1,1
"wdbc",1,"test","all","OPTSTEL",0.982456140350877,0.976923076923077,0.986238532110092,0.981212232191906,0.981818181818182,0.976190476190476,0.985714285714286,0.980558501237186,1,1,1,1
"wdbc",1,"test","covered","OPTSTEL",0.994047619047619,0.991935483870968,0.995327102803738,0.993587541509218,0.993865030674847,0.991803278688525,0.995145631067961,0.993428744204797,1,1,1,1
"wdbc",1,"test","notcovered","OPTSTEL",0.333333333333333,0.333333333333333,0.5,0.5,0,0,0,NA,1,1,1,1
"wdbc",1,"train","all","IntreesRRFVote",0.984924623115578,0.986699574934869,0.981001165406402,0.983726318658852,0.994884910485934,0.995983935742972,0.993055555555556,0.994487367471238,0.428571428571429,0.25,0.375,0.6
"wdbc",1,"train","covered","IntreesRRFVote",0.98469387755102,0.986546443394876,0.980277471673589,0.983279779338584,0.994805194805195,0.995983935742972,0.992753623188406,0.994334235931246,0.428571428571429,0.25,0.375,0.6
"wdbc",1,"train","notcovered","IntreesRRFVote",1,1,1,1,1,1,1,1,NA,NA,NA,NA
"wdbc",1,"test","all","IntreesRRFVote",0.976608187134503,0.978153153153153,0.971219295649601,0.97451564828614,0.987878787878788,0.986904761904762,0.986904761904762,0.986904761904762,0.666666666666667,0.666666666666667,0.5,0.8
"wdbc",1,"test","covered","IntreesRRFVote",0.976608187134503,0.978153153153153,0.971219295649601,0.97451564828614,0.987878787878788,0.986904761904762,0.986904761904762,0.986904761904762,0.666666666666667,0.666666666666667,0.5,0.8
