"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"wilt",1,3.4828,92.7985,75.6087,42.809,229.597,0.0631,0.016,73.0562,NA,NA,NA,NA,NA
"wilt",2,3.7468,106.0613,74.5772,5.148,190.3031,0.0651,0.0157,91.4856,NA,NA,NA,NA,NA
"wilt",3,4.1431,129.8244,76.6017,37.889,227.5042,0.0673,0.0162,88.3203,NA,NA,NA,NA,NA
"wilt",4,3.7269,144.2699,77.8729,39.767,230.1994,0.0663,0.016,82.5003,NA,NA,NA,NA,NA
"wilt",5,3.5446,109.3077,71.0604,9.476,185.3888,0.0653,0.016,86.777,NA,NA,NA,NA,NA
"wilt",6,3.6797,119.0211,76.6588,42.186,231.5532,0.0654,0.0156,87.713,NA,NA,NA,NA,NA
"wilt",7,3.6341,107.0085,77.1318,28.43,221.0859,0.0661,0.0158,80.9954,NA,NA,NA,NA,NA
"wilt",8,3.5763,139.4477,73.1408,35.613,215.1862,0.0648,0.0162,87.2037,NA,NA,NA,NA,NA
"wilt",9,3.9042,134.9731,71.8986,35.109,210.6145,0.0661,0.0159,81.7715,NA,NA,NA,NA,NA
"wilt",10,3.8584,145.0423,79.7348,37.263,230.3237,0.0655,0.0158,93.3546,NA,NA,NA,NA,NA
