"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max"
"wilt",1,"RF",4.36,1,4,5,5,5
"wilt",1,"CART",2.4,1,2,3,3,3
"wilt",1,"PreSelectedRules",3.7,1,3,4,4,5
"wilt",1,"OptimalRules",2.38,1,2,2,3,4
"wilt",1,"OPTSTEL",2.43,1,2,2,3,4
"wilt",1,"IntreesRRFVote",1.83,1,1,1,2.5,4
"wilt",1,"IntreesVote",1.67,1,1,1,2,3
"wilt",1,"IntreesSTEL",1.67,1,1,1,2,3
"wilt",2,"RF",4.39,1,4,5,5,5
"wilt",2,"CART",3.12,1,2.75,3.5,4,4
"wilt",2,"PreSelectedRules",3.83,1,3,4,4,5
"wilt",2,"OptimalRules",2.17,1,2,2,2.75,3
"wilt",2,"OPTSTEL",2.2,1,2,2,3,3
"wilt",2,"IntreesRRFVote",2.11,1,1,2,3,4
"wilt",2,"IntreesVote",1.25,1,1,1,1.25,2
"wilt",2,"IntreesSTEL",1.25,1,1,1,1.25,2
"wilt",3,"RF",4.4,1,4,5,5,5
"wilt",3,"CART",3.5,1,2.75,4,4.25,5
"wilt",3,"PreSelectedRules",3.83,1,3,4,5,5
"wilt",3,"OptimalRules",2.71,2,2,3,3,4
"wilt",3,"OPTSTEL",2.83,2,2.25,3,3,4
"wilt",3,"IntreesRRFVote",2,1,1,1.5,2.75,4
"wilt",3,"IntreesVote",3,3,3,3,3,3
"wilt",3,"IntreesSTEL",3,3,3,3,3,3
"wilt",4,"RF",4.36,1,4,5,5,5
"wilt",4,"CART",3.56,1,3,4,5,5
"wilt",4,"PreSelectedRules",3.76,1,3,4,4,5
"wilt",4,"OptimalRules",2.5,2,2,2.5,3,3
"wilt",4,"OPTSTEL",2.5,2,2,2.5,3,3
"wilt",4,"IntreesRRFVote",2.25,1,1,2,3.25,4
"wilt",4,"IntreesVote",2,1,1.5,2,2.5,3
"wilt",4,"IntreesSTEL",2,1,1.5,2,2.5,3
"wilt",5,"RF",4.35,1,4,5,5,5
"wilt",5,"CART",3.44,1,3,4,4,5
"wilt",5,"PreSelectedRules",3.76,1,3,4,4,5
"wilt",5,"OptimalRules",2.33,1,2,2.5,3,3
"wilt",5,"OPTSTEL",2.4,1,2,3,3,3
"wilt",5,"IntreesRRFVote",2.11,1,1,2,3,4
"wilt",5,"IntreesVote",1.25,1,1,1,1.25,2
"wilt",5,"IntreesSTEL",1.25,1,1,1,1.25,2
"wilt",6,"RF",4.36,1,4,5,5,5
"wilt",6,"CART",1.75,1,1.75,2,2,2
"wilt",6,"PreSelectedRules",3.74,1,3,4,4,5
"wilt",6,"OptimalRules",2.43,1,2,2,3,4
"wilt",6,"OPTSTEL",2.5,1,2,2,3.5,4
"wilt",6,"IntreesRRFVote",1.57,1,1,1,1.5,4
"wilt",6,"IntreesVote",1,1,1,1,1,1
"wilt",6,"IntreesSTEL",1,1,1,1,1,1
"wilt",7,"RF",4.36,1,4,5,5,5
"wilt",7,"CART",3.12,1,2.75,3.5,4,4
"wilt",7,"PreSelectedRules",3.81,1,3,4,4,5
"wilt",7,"OptimalRules",2.38,1,2,2.5,3,3
"wilt",7,"OPTSTEL",2.33,1,2,2.5,3,3
"wilt",7,"IntreesRRFVote",1.4,1,1,1,1,3
"wilt",7,"IntreesVote",1,1,1,1,1,1
"wilt",7,"IntreesSTEL",1,1,1,1,1,1
"wilt",8,"RF",4.33,1,4,5,5,5
"wilt",8,"CART",3.38,1,2,3.5,5,5
"wilt",8,"PreSelectedRules",3.77,1,3,4,4,5
"wilt",8,"OptimalRules",2.62,1,2,3,3,4
"wilt",8,"OPTSTEL",2.43,1,2,3,3,3
"wilt",8,"IntreesRRFVote",2.4,1,1,2,4,4
"wilt",8,"IntreesVote",1,1,1,1,1,1
"wilt",8,"IntreesSTEL",1,1,1,1,1,1
"wilt",9,"RF",4.38,1,4,5,5,5
"wilt",9,"CART",2.4,1,2,3,3,3
"wilt",9,"PreSelectedRules",3.78,1,3,4,4,5
"wilt",9,"OptimalRules",2.67,1,2,3,3,4
"wilt",9,"OPTSTEL",2.5,1,2,2.5,3,4
"wilt",9,"IntreesRRFVote",1.8,1,1,1,2,4
"wilt",9,"IntreesVote",1.25,1,1,1,1.25,2
"wilt",9,"IntreesSTEL",1.25,1,1,1,1.25,2
"wilt",10,"RF",4.35,1,4,5,5,5
"wilt",10,"CART",3.38,1,2.75,3.5,4.25,5
"wilt",10,"PreSelectedRules",3.68,1,3,4,4,5
"wilt",10,"OptimalRules",2.14,1,2,2,2.5,3
"wilt",10,"OPTSTEL",2.2,1,2,2,3,3
"wilt",10,"IntreesRRFVote",1.83,1,1,1.5,2,4
"wilt",10,"IntreesVote",1,1,1,1,1,1
"wilt",10,"IntreesSTEL",1,1,1,1,1,1
