"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"wine",1,0.9194,2.6045,4.4747,1.039,9.6688,0.0048,0.0036,1.4798,NA,NA,NA,NA,NA
"wine",2,1.0218,2.9893,5.0404,0.23,9.8467,0.0049,0.0032,1.7248,NA,NA,NA,NA,NA
"wine",3,1.0909,3.3127,5.0672,1.101,11.12,0.0049,0.0033,1.7973,NA,NA,NA,NA,NA
"wine",4,1.2002,3.3835,5.7122,1.432,12.5255,0.005,0.0033,1.8816,NA,NA,NA,NA,NA
"wine",5,1.0839,3.3385,6.0519,1.393,12.9953,0.005,0.0033,1.8309,NA,NA,NA,NA,NA
"wine",6,1.0083,3.0605,5.4023,1.748,12.2978,0.0051,0.0033,1.7124,NA,NA,NA,NA,NA
"wine",7,1.0687,3.0066,5.1303,1.603,11.2102,0.0052,0.0033,1.6253,NA,NA,NA,NA,NA
"wine",8,1.0159,3.0923,5.142,0.692,10.8746,0.0048,0.0032,1.7058,NA,NA,NA,NA,NA
"wine",9,1.1065,3.5462,6.2469,1.463,13.3547,0.005,0.0033,2.0279,NA,NA,NA,NA,NA
"wine",10,1.0526,3.221,5.5592,0.85,11.7858,0.005,0.0034,1.8293,NA,NA,NA,NA,NA
