"data","iter","method","mean","min","lower_quartile","median","upper_quartile","max"
"wine",1,"RF",3.79,1,3,4,5,8
"wine",1,"CART",3,3,3,3,3,3
"wine",1,"PreSelectedRules",3.77,1,3,4,4,6
"wine",1,"OptimalRules",2.6,1,2,3,3,4
"wine",1,"OPTSTEL",2.6,1,2,3,3,4
"wine",1,"IntreesRRFVote",1.91,1,1,2,2.5,3
"wine",1,"IntreesVote",2.17,1,2,2,2.75,3
"wine",1,"IntreesSTEL",2.17,1,2,2,2.75,3
"wine",2,"RF",3.85,1,3,4,5,7
"wine",2,"CART",3,3,3,3,3,3
"wine",2,"PreSelectedRules",3.68,1,3,4,4,6
"wine",2,"OptimalRules",3.75,3,3,3.5,4.25,5
"wine",2,"OPTSTEL",3.75,3,3,3.5,4.25,5
"wine",2,"IntreesRRFVote",2,1,2,2,2,3
"wine",2,"IntreesVote",2.25,2,2,2,2.25,3
"wine",2,"IntreesSTEL",2.25,2,2,2,2.25,3
"wine",3,"RF",3.96,1,3,4,5,8
"wine",3,"CART",3,3,3,3,3,3
"wine",3,"PreSelectedRules",3.8,1,3,4,5,6
"wine",3,"OptimalRules",3.2,2,3,3,4,4
"wine",3,"OPTSTEL",3,2,2.75,3,3.25,4
"wine",3,"IntreesRRFVote",2.38,1,2,2.5,3,3
"wine",3,"IntreesVote",2.4,1,2,3,3,3
"wine",3,"IntreesSTEL",2.4,1,2,3,3,3
"wine",4,"RF",3.95,1,3,4,5,7
"wine",4,"CART",3.8,2,3,4,5,5
"wine",4,"PreSelectedRules",3.84,1,3,4,4,6
"wine",4,"OptimalRules",3,2,2,2,4,5
"wine",4,"OPTSTEL",3,2,2,2,4,5
"wine",4,"IntreesRRFVote",2.13,1,1,2,3,4
"wine",4,"IntreesVote",2.2,1,2,2,3,3
"wine",4,"IntreesSTEL",2.2,1,2,2,3,3
"wine",5,"RF",3.96,1,3,4,5,8
"wine",5,"CART",2.67,2,2.5,3,3,3
"wine",5,"PreSelectedRules",3.87,1,3,4,5,6
"wine",5,"OptimalRules",2.8,2,2,3,3,4
"wine",5,"OPTSTEL",3,2,2.75,3,3.25,4
"wine",5,"IntreesRRFVote",2,1,2,2,2,3
"wine",5,"IntreesVote",2.4,2,2,2,3,3
"wine",5,"IntreesSTEL",2.4,2,2,2,3,3
"wine",6,"RF",3.8,1,3,4,4,7
"wine",6,"CART",3,3,3,3,3,3
"wine",6,"PreSelectedRules",3.72,1,3,4,4,6
"wine",6,"OptimalRules",3.2,2,3,3,4,4
"wine",6,"OPTSTEL",3,2,2.75,3,3.25,4
"wine",6,"IntreesRRFVote",2.36,1,2,2,3,3
"wine",6,"IntreesVote",2.5,1,2.5,3,3,3
"wine",6,"IntreesSTEL",2.5,1,2.5,3,3,3
"wine",7,"RF",3.91,1,3,4,5,7
"wine",7,"CART",3,3,3,3,3,3
"wine",7,"PreSelectedRules",3.79,1,3,4,4,6
"wine",7,"OptimalRules",3,2,3,3,3,4
"wine",7,"OPTSTEL",3,2,3,3,3,4
"wine",7,"IntreesRRFVote",2.5,1,2,3,3,3
"wine",7,"IntreesVote",2.75,2,2.75,3,3,3
"wine",7,"IntreesSTEL",2.75,2,2.75,3,3,3
"wine",8,"RF",3.92,1,3,4,5,9
"wine",8,"CART",3.25,2,2.75,3.5,4,4
"wine",8,"PreSelectedRules",3.79,1,3,4,4,6
"wine",8,"OptimalRules",2.75,2,2.75,3,3,3
"wine",8,"OPTSTEL",2.75,2,2.75,3,3,3
"wine",8,"IntreesRRFVote",2.17,1,2,2,2.75,3
"wine",8,"IntreesVote",2.33,2,2,2,2.5,3
"wine",8,"IntreesSTEL",2.33,2,2,2,2.5,3
"wine",9,"RF",3.97,1,3,4,5,8
"wine",9,"CART",3.25,2,2.75,3.5,4,4
"wine",9,"PreSelectedRules",3.82,1,3,4,5,6
"wine",9,"OptimalRules",2.8,2,2,3,3,4
"wine",9,"OPTSTEL",2.75,2,2,2.5,3.25,4
"wine",9,"IntreesRRFVote",2.4,2,2,2,3,3
"wine",9,"IntreesVote",2.4,2,2,2,3,3
"wine",9,"IntreesSTEL",2.4,2,2,2,3,3
"wine",10,"RF",3.86,1,3,4,5,8
"wine",10,"CART",3.4,2,3,4,4,4
"wine",10,"PreSelectedRules",3.71,1,3,4,4,6
"wine",10,"OptimalRules",2.8,2,2,2,4,4
"wine",10,"OPTSTEL",2.8,2,2,2,4,4
"wine",10,"IntreesRRFVote",2.57,1,2,3,3,4
"wine",10,"IntreesVote",2.75,2,2.75,3,3,3
"wine",10,"IntreesSTEL",2.75,2,2.75,3,3,3
