"data","iter","id","confidence","support","class_suppport","var_length","levels_length","var_nbr_scaled","levels_nbr_scaled","cond","Ypred","var_used"
"wireless",1,29,0.995024875621891,0.143571428571429,0.574285714285714,3,7,0.5,0.368421052631579,"X[,3] %in% c('(-Inf,-65.9]','(-65.9,-59.4]','(-59.4,-53.6]') & X[,4] %in% c('(-Inf,-71]','(-71,-63.3]') & X[,5] %in% c('(-Inf,-70.6]','(-70.6,-59.7]')","'1'","V3,V4,V5"
"wireless",1,32,0.792682926829268,0.0585714285714286,0.234285714285714,4,7,0.666666666666667,0.368421052631579,"X[,2] %in% c('(-59.1,-55.9]') & X[,4] %in% c('(-53.7,-43.1]') & X[,5] %in% c('(-70.6,-59.7]','(-59.7,-51]','(-51, Inf]') & X[,7] %in% c('(-93.4,-83.1]','(-83.1,-74.8]')","'3'","V2,V4,V5,V7"
"wireless",1,39,1,0.199285714285714,0.797142857142857,2,3,0.333333333333333,0.157894736842105,"X[,1] %in% c('(-45.1, Inf]') & X[,4] %in% c('(-Inf,-71]','(-43.1, Inf]')","'2'","V1,V4"
"wireless",1,224,0.866666666666667,0.0214285714285714,0.0857142857142857,3,7,0.5,0.368421052631579,"X[,4] %in% c('(-Inf,-71]','(-71,-63.3]','(-63.3,-53.7]') & X[,5] %in% c('(-59.7,-51]','(-51, Inf]') & X[,6] %in% c('(-82.5,-74.9]','(-74.9, Inf]')","'4'","V4,V5,V6"
"wireless",1,454,0.994219653179191,0.123571428571429,0.494285714285714,5,14,0.833333333333333,0.736842105263158,"X[,1] %in% c('(-57.1,-47.5]','(-47.5,-45.1]') & X[,2] %in% c('(-Inf,-63.5]','(-63.5,-59.1]','(-55.9,-50.4]','(-50.4, Inf]') & X[,4] %in% c('(-53.7,-43.1]','(-43.1, Inf]') & X[,5] %in% c('(-70.6,-59.7]','(-59.7,-51]','(-51, Inf]') & X[,6] %in% c('(-Inf,-90.5]','(-90.5,-82.5]','(-82.5,-74.9]')","'3'","V1,V2,V4,V5,V6"
"wireless",1,550,0.98876404494382,0.127142857142857,0.508571428571429,4,9,0.666666666666667,0.473684210526316,"X[,1] %in% c('(-57.1,-47.5]','(-47.5,-45.1]') & X[,3] %in% c('(-53.6,-46.1]','(-46.1, Inf]') & X[,5] %in% c('(-Inf,-70.6]','(-70.6,-59.7]') & X[,6] %in% c('(-Inf,-90.5]','(-90.5,-82.5]','(-82.5,-74.9]')","'3'","V1,V3,V5,V6"
"wireless",1,573,1,0.171428571428571,0.685714285714286,2,3,0.333333333333333,0.157894736842105,"X[,1] %in% c('(-47.5,-45.1]','(-45.1, Inf]') & X[,6] %in% c('(-74.9, Inf]')","'2'","V1,V6"
"wireless",1,723,0.818181818181818,0.0314285714285714,0.125714285714286,5,14,0.833333333333333,0.736842105263158,"X[,1] %in% c('(-57.1,-47.5]','(-47.5,-45.1]','(-45.1, Inf]') & X[,3] %in% c('(-Inf,-65.9]','(-59.4,-53.6]','(-53.6,-46.1]','(-46.1, Inf]') & X[,4] %in% c('(-Inf,-71]','(-63.3,-53.7]') & X[,5] %in% c('(-70.6,-59.7]') & X[,7] %in% c('(-Inf,-93.5]','(-93.5,-93.4]','(-83.1,-74.8]','(-74.8, Inf]')","'3'","V1,V3,V4,V5,V7"
"wireless",1,800,0.977611940298508,0.0957142857142857,0.382857142857143,5,10,0.833333333333333,0.526315789473684,"X[,2] %in% c('(-Inf,-63.5]','(-55.9,-50.4]','(-50.4, Inf]') & X[,4] %in% c('(-53.7,-43.1]') & X[,5] %in% c('(-70.6,-59.7]') & X[,6] %in% c('(-Inf,-90.5]','(-90.5,-82.5]','(-82.5,-74.9]') & X[,7] %in% c('(-93.4,-83.1]','(-83.1,-74.8]')","'3'","V2,V4,V5,V6,V7"
"wireless",1,814,0.978102189781022,0.0978571428571429,0.391428571428571,4,8,0.666666666666667,0.421052631578947,"X[,1] %in% c('(-Inf,-60.9]','(-60.9,-57.1]') & X[,4] %in% c('(-63.3,-53.7]') & X[,5] %in% c('(-Inf,-70.6]','(-70.6,-59.7]') & X[,6] %in% c('(-Inf,-90.5]','(-90.5,-82.5]','(-82.5,-74.9]')","'1'","V1,V4,V5,V6"
"wireless",1,855,0.987616099071207,0.230714285714286,0.922857142857143,3,7,0.5,0.368421052631579,"X[,4] %in% c('(-Inf,-71]','(-71,-63.3]','(-63.3,-53.7]') & X[,5] %in% c('(-59.7,-51]','(-51, Inf]') & X[,6] %in% c('(-Inf,-90.5]','(-90.5,-82.5]')","'4'","V4,V5,V6"
"wireless",1,932,0.774193548387097,0.0221428571428571,0.0885714285714286,2,2,0.333333333333333,0.105263157894737,"X[,4] %in% c('(-53.7,-43.1]') & X[,5] %in% c('(-Inf,-70.6]')","'2'","V4,V5"
"wireless",2,53,0.793103448275862,0.0207142857142857,0.0828571428571429,4,6,0.666666666666667,0.333333333333333,"X[,4] %in% c('(-53.7,-43.1]','(-43.1, Inf]') & X[,5] %in% c('(-Inf,-70.6]') & X[,6] %in% c('(-82.5,-74.9]') & X[,7] %in% c('(-93.4,-83.1]','(-83.1,-74.8]')","'2'","V4,V5,V6,V7"
"wireless",2,64,0.996415770609319,0.199285714285714,0.797142857142857,2,4,0.333333333333333,0.222222222222222,"X[,1] %in% c('(-Inf,-60.9]','(-60.9,-57.1]') & X[,5] %in% c('(-59.7,-51]','(-51, Inf]')","'4'","V1,V5"
"wireless",2,68,0.857142857142857,0.015,0.06,4,8,0.666666666666667,0.444444444444444,"X[,1] %in% c('(-57.1,-47.5]','(-47.5,-45.1]') & X[,4] %in% c('(-63.3,-53.7]') & X[,5] %in% c('(-Inf,-70.6]','(-70.6,-59.7]') & X[,6] %in% c('(-Inf,-90.5]','(-90.5,-82.5]','(-74.9, Inf]')","'3'","V1,V4,V5,V6"
"wireless",2,75,1,0.150714285714286,0.602857142857143,1,1,0.166666666666667,0.0555555555555556,"X[,5] %in% c('(-51, Inf]')","'4'","V5"
"wireless",2,117,0.932203389830508,0.0842857142857143,0.337142857142857,4,6,0.666666666666667,0.333333333333333,"X[,2] %in% c('(-55.9,-50.4]') & X[,4] %in% c('(-53.7,-43.1]') & X[,5] %in% c('(-70.6,-59.7]') & X[,6] %in% c('(-Inf,-90.5]','(-90.5,-82.5]','(-82.5,-74.9]')","'3'","V2,V4,V5,V6"
"wireless",2,260,0.943181818181818,0.125714285714286,0.502857142857143,5,11,0.833333333333333,0.611111111111111,"X[,1] %in% c('(-57.1,-47.5]','(-47.5,-45.1]') & X[,3] %in% c('(-Inf,-65.9]','(-59.4,-53.6]','(-53.6,-46.1]','(-46.1, Inf]') & X[,5] %in% c('(-70.6,-59.7]') & X[,6] %in% c('(-82.5,-74.9]') & X[,7] %in% c('(-Inf,-93.5]','(-93.4,-83.1]','(-83.1,-74.8]')","'3'","V1,V3,V5,V6,V7"
"wireless",2,343,0.8,0.025,0.1,4,8,0.666666666666667,0.444444444444444,"X[,1] %in% c('(-57.1,-47.5]','(-47.5,-45.1]') & X[,4] %in% c('(-Inf,-71]','(-71,-63.3]','(-63.3,-53.7]') & X[,5] %in% c('(-59.7,-51]') & X[,6] %in% c('(-Inf,-90.5]','(-90.5,-82.5]')","'4'","V1,V4,V5,V6"
"wireless",2,360,0.82258064516129,0.0442857142857143,0.177142857142857,4,8,0.666666666666667,0.444444444444444,"X[,1] %in% c('(-45.1, Inf]') & X[,4] %in% c('(-53.7,-43.1]') & X[,5] %in% c('(-Inf,-70.6]','(-70.6,-59.7]') & X[,7] %in% c('(-Inf,-93.5]','(-93.5,-93.4]','(-83.1,-74.8]','(-74.8, Inf]')","'2'","V1,V4,V5,V7"
"wireless",2,505,0.996941896024465,0.233571428571429,0.934285714285714,4,10,0.666666666666667,0.555555555555556,"X[,1] %in% c('(-Inf,-60.9]','(-60.9,-57.1]') & X[,3] %in% c('(-Inf,-65.9]','(-65.9,-59.4]','(-59.4,-53.6]') & X[,4] %in% c('(-Inf,-71]','(-71,-63.3]','(-63.3,-53.7]') & X[,5] %in% c('(-Inf,-70.6]','(-70.6,-59.7]')","'1'","V1,V3,V4,V5"
"wireless",2,669,1,0.155714285714286,0.622857142857143,5,15,0.833333333333333,0.833333333333333,"X[,1] %in% c('(-Inf,-60.9]','(-60.9,-57.1]') & X[,2] %in% c('(-Inf,-63.5]','(-63.5,-59.1]','(-59.1,-55.9]','(-55.9,-50.4]') & X[,3] %in% c('(-Inf,-65.9]','(-65.9,-59.4]','(-53.6,-46.1]','(-46.1, Inf]') & X[,5] %in% c('(-Inf,-70.6]','(-70.6,-59.7]') & X[,6] %in% c('(-Inf,-90.5]','(-90.5,-82.5]','(-82.5,-74.9]')","'1'","V1,V2,V3,V5,V6"
"wireless",2,729,0.945945945945946,0.0264285714285714,0.105714285714286,4,9,0.666666666666667,0.5,"X[,1] %in% c('(-57.1,-47.5]','(-47.5,-45.1]','(-45.1, Inf]') & X[,4] %in% c('(-Inf,-71]','(-53.7,-43.1]','(-43.1, Inf]') & X[,5] %in% c('(-59.7,-51]') & X[,6] %in% c('(-90.5,-82.5]','(-82.5,-74.9]')","'3'","V1,V4,V5,V6"
"wireless",2,916,1,0.193571428571429,0.774285714285714,2,3,0.333333333333333,0.166666666666667,"X[,1] %in% c('(-Inf,-60.9]','(-45.1, Inf]') & X[,4] %in% c('(-43.1, Inf]')","'2'","V1,V4"
"wireless",2,1192,0.914285714285714,0.05,0.2,4,13,0.666666666666667,0.722222222222222,"X[,1] %in% c('(-Inf,-60.9]','(-60.9,-57.1]','(-57.1,-47.5]','(-47.5,-45.1]') & X[,2] %in% c('(-Inf,-63.5]','(-63.5,-59.1]','(-59.1,-55.9]','(-50.4, Inf]') & X[,4] %in% c('(-53.7,-43.1]','(-43.1, Inf]') & X[,6] %in% c('(-Inf,-90.5]','(-90.5,-82.5]','(-74.9, Inf]')","'3'","V1,V2,V4,V6"
"wireless",3,36,0.996587030716723,0.209285714285714,0.837142857142857,2,4,0.333333333333333,0.222222222222222,"X[,1] %in% c('(-Inf,-60.9]','(-60.9,-57.1]') & X[,5] %in% c('(-59.7,-51]','(-51, Inf]')","'4'","V1,V5"
