"data","iter","extract_rules","preselect_rules","prepare_opt_input","run_opt","buildandrun_opt","RF","CART","Intrees","CBA","RIPPER","C4.5","RCAR","SBRL"
"wisconsin",1,1.0978,6.1829,13.7772,3.017,39.3821,0.0105,0.0044,2.3384,NA,NA,NA,NA,NA
"wisconsin",2,1.0732,6.1867,14.9863,8.933,47.3867,0.0108,0.0043,2.2747,NA,NA,NA,NA,NA
"wisconsin",3,1.1101,6.0665,13.3935,20.932,55.9457,0.0117,0.0041,2.359,NA,NA,NA,NA,NA
"wisconsin",4,1.0098,5.8871,13.2082,0.832,35.6414,0.012,0.0041,2.435,NA,NA,NA,NA,NA
"wisconsin",5,1.0024,5.5343,12.3673,4.909,37.0934,0.01,0.004,2.181,NA,NA,NA,NA,NA
"wisconsin",6,1.1393,6.5819,14.3298,8.545,46.3531,0.0118,0.0043,2.5484,NA,NA,NA,NA,NA
"wisconsin",7,1.4791,6.3583,16.4908,4.429,41.3953,0.011,0.0044,2.5092,NA,NA,NA,NA,NA
"wisconsin",8,1.0568,5.517,14.4327,22.989,55.9165,0.01,0.0044,1.9547,NA,NA,NA,NA,NA
"wisconsin",9,0.9739,5.6602,12.4834,7.445,40.2505,0.0116,0.0042,2.0733,NA,NA,NA,NA,NA
"wisconsin",10,1.1766,6.3566,16.1386,2.355,39.7624,0.0102,0.0042,2.2049,NA,NA,NA,NA,NA
