"data","iter","pred_set","pred_sub_set","method","fidelity","fidelity_macroPrecision","fidelity_macroRecall","fidelity_macroF1","fidelity_correct","fidelity_macroPrecision_correct","fidelity_macroRecall_correct","fidelity_macroF1_correct","fidelity_incorrect","fidelity_macroPrecision_incorrect","fidelity_macroRecall_incorrect","fidelity_macroF1_incorrect","abl_model"
"Appendicitis",1,"train","all","OptimalRules",0.972972972972973,0.950268817204301,0.950268817204301,0.950268817204301,0.985915492957746,0.991666666666667,0.958333333333333,0.974059188892948,0.666666666666667,0.5,0.666666666666667,0.8,"no_abl"
"Appendicitis",1,"train","covered","OptimalRules",0.972602739726027,0.950136612021858,0.950136612021858,0.950136612021858,0.985714285714286,0.991525423728814,0.958333333333333,0.973987365291713,0.666666666666667,0.5,0.666666666666667,0.8,"no_abl"
"Appendicitis",1,"train","notcovered","OptimalRules",1,1,1,1,1,1,1,1,NA,NA,NA,NA,"no_abl"
"Appendicitis",1,"test","all","OptimalRules",1,1,1,1,1,1,1,1,1,1,1,1,"no_abl"
"Appendicitis",1,"test","covered","OptimalRules",1,1,1,1,1,1,1,1,1,1,1,1,"no_abl"
"Appendicitis",1,"test","notcovered","OptimalRules",1,1,1,1,1,1,1,1,NA,NA,NA,NA,"no_abl"
"Appendicitis",1,"train","all","OPTSTEL",0.972972972972973,0.950268817204301,0.950268817204301,0.950268817204301,0.985915492957746,0.991666666666667,0.958333333333333,0.974059188892948,0.666666666666667,0.5,0.666666666666667,0.8,"no_abl"
"Appendicitis",1,"train","covered","OPTSTEL",0.96875,0.948717948717949,0.948717948717949,0.948717948717949,0.984126984126984,0.990384615384615,0.958333333333333,0.973406500633178,0,0,0,NA,"no_abl"
"Appendicitis",1,"train","notcovered","OPTSTEL",1,1,1,1,1,1,1,1,1,1,1,1,"no_abl"
"Appendicitis",1,"test","all","OPTSTEL",1,1,1,1,1,1,1,1,1,1,1,1,"no_abl"
"Appendicitis",1,"test","covered","OPTSTEL",1,1,1,1,1,1,1,1,1,1,1,1,"no_abl"
"Appendicitis",1,"test","notcovered","OPTSTEL",1,1,1,1,1,1,1,1,NA,NA,NA,NA,"no_abl"
"Appendicitis",1,"train","all","OptimalRules",0.972972972972973,0.928571428571429,0.983870967741935,0.953341740226986,0.985915492957746,0.961538461538462,0.991525423728814,0.975726495726496,0.666666666666667,0.5,0.666666666666667,0.8,"abl_conf"
"Appendicitis",1,"train","covered","OptimalRules",0.972602739726027,0.923076923076923,0.983870967741935,0.950136612021858,0.985714285714286,0.958333333333333,0.991525423728814,0.973987365291713,0.666666666666667,0.5,0.666666666666667,0.8,"abl_conf"
"Appendicitis",1,"train","notcovered","OptimalRules",1,1,1,1,1,1,1,1,NA,NA,NA,NA,"abl_conf"
"Appendicitis",1,"test","all","OptimalRules",0.96875,0.875,0.982758620689655,0.919799498746867,0.96551724137931,0.875,0.980769230769231,0.918767507002801,1,1,1,1,"abl_conf"
"Appendicitis",1,"test","covered","OptimalRules",1,1,1,1,1,1,1,1,1,1,1,1,"abl_conf"
"Appendicitis",1,"test","notcovered","OptimalRules",0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,"abl_conf"
"Appendicitis",1,"train","all","OPTSTEL",0.945945945945946,0.875,0.967741935483871,0.911904761904762,0.971830985915493,0.928571428571429,0.983050847457627,0.952917771883289,0.333333333333333,0.5,0.333333333333333,0.5,"abl_conf"
"Appendicitis",1,"train","covered","OPTSTEL",0.971830985915493,0.923076923076923,0.983333333333333,0.949858757062147,0.985507246376812,0.958333333333333,0.991379310344828,0.973913043478261,0.5,0.5,0.5,0.666666666666667,"abl_conf"
"Appendicitis",1,"train","notcovered","OPTSTEL",0.333333333333333,0.333333333333333,0.5,0.5,0.5,0.5,0.5,0.666666666666667,0,0,0,NA,"abl_conf"
"Appendicitis",1,"test","all","OPTSTEL",0.96875,0.875,0.982758620689655,0.919799498746867,0.96551724137931,0.875,0.980769230769231,0.918767507002801,1,1,1,1,"abl_conf"
"Appendicitis",1,"test","covered","OPTSTEL",1,1,1,1,1,1,1,1,1,1,1,1,"abl_conf"
"Appendicitis",1,"test","notcovered","OPTSTEL",0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,"abl_conf"
